index	name	L	a	b	c	h
1	Caucasian	64.15	19.56	19.63	27.71	45.10
2	Oriental	62.11	18.96	19.76	27.39	46.18
3	South Asian	56.01	18.25	18.72	26.14	45.72
4	African	41.06	17.37	17.94	24.97	45.93
5	Pork	61.60	33.92	13.24	36.42	21.32
6	Carrot	47.13	35.90	31.59	47.81	41.35
7	Orange	59.68	31.61	54.06	62.62	59.68
8	Orange-Yellow	70.78	20.16	63.01	66.15	72.26
9	Banana	74.58	10.26	74.09	74.80	82.12
10	Yellow-Green	71.71	−20.57	56.04	59.69	110.15
11	Green Apple	54.76	−15.46	33.01	36.45	115.10
12	Summer Grass	47.23	−24.82	28.40	37.72	131.16
13	Bluish-Green	71.24	−28.73	3.09	28.90	173.86
14	Smurf	67.12	−15.69	−31.66	35.33	243.64
15	Blue Sky	54.48	−1.90	−36.77	36.82	267.05
16	Lavender	44.31	14.8	−32.61	35.81	294.4
17	Purple	33.86	18.71	−21.28	28.33	311.33
18	Purple Cabbage	34.51	28.40	−11.62	30.69	337.75
19	Unitary Red	40.86	47.67	23.72	53.24	26.45
20	Unitary Yellow	80.15	2.33	67.69	67.73	88.03
21	Unitary-Green	51.89	−38.75	14.78	41.47	159.13
22	Unitary Blue	36.18	11.34	−42.68	44.16	284.88
23	Magenta	51.75	42.02	−15.29	44.72	340.00
24	Cyan	53.22	−29.06	−22.76	36.91	218.06
25	White	96.22	−0.16	0.82	0.84	101.26
26	Gray-80	81.84	−0.17	−0.11	0.20	213.58
27	Gray-70	67.41	0.07	−0.32	0.33	281.98
28	Gray-50	51.67	−0.03	−0.13	0.13	256.06
29	Gray-35	37.67	−0.12	−0.31	0.33	249.10'
30	Black	25.47	0.18	0.19	0.27	46.02
