,element,spectrum_number,wavelength_nm,intensity,log10_intensity,tags,visible
5,Ar,17,0.3137,0.0,-inf,None,False
8,Ar,17,0.3198,13.0,1.1139433523068367,None,False
9,Ar,17,0.3362,19.0,1.2787536009528289,None,False
40,Ar,18,0.3731105,13.0,1.1139433523068367,None,False
42,Ar,18,0.3736522,7.0,0.8450980400142568,None,False
63,Ar,17,0.3949065,100.0,2.0,None,False
65,Ar,17,0.3963,55.0,1.7403626894942439,None,False
207,Ar,14,2.1167,3.0,0.47712125471966244,None,False
208,Ar,14,2.128,2.0,0.3010299956639812,None,False
213,Ar,13,2.2996,6.0,0.7781512503836436,None,False
220,Ar,12,2.5041,7.0,0.8450980400142568,bl,False
222,Ar,14,2.556,60.0,1.7781512503836436,*,False
223,Ar,14,2.556,60.0,1.7781512503836436,*,False
229,Ar,14,2.6273,7.0,0.8450980400142568,bl,False
231,Ar,14,2.722,1.0,0.0,None,False
232,Ar,14,2.742,4.0,0.6020599913279624,None,False
233,Ar,14,2.7469,20.0,1.3010299956639813,None,False
234,Ar,14,2.7631,19.0,1.2787536009528289,bl,False
238,Ar,10,2.7938,2.0,0.3010299956639812,None,False
239,Ar,10,2.8101,1.0,0.0,None,False
240,Ar,14,2.8223,4.0,0.6020599913279624,None,False
243,Ar,14,2.878,4.0,0.6020599913279624,*,False
244,Ar,14,2.878,4.0,0.6020599913279624,*,False
245,Ar,10,2.911,3.0,0.47712125471966244,None,False
246,Ar,13,2.9209,8.0,0.9030899869919435,bl*,False
247,Ar,13,2.9209,8.0,0.9030899869919435,bl*,False
248,Ar,13,2.9249,2.0,0.3010299956639812,None,False
252,Ar,13,2.9348,20.0,1.3010299956639813,bl,False
254,Ar,13,2.9549,4.0,0.6020599913279624,None,False
257,Ar,13,3.0214,2.0,0.3010299956639812,None,False
258,Ar,14,3.0215,4.0,0.6020599913279624,None,False
259,Ar,13,3.024,1.0,0.0,None,False
260,Ar,13,3.026,1.0,0.0,None,False
261,Ar,14,3.0344,3.0,0.47712125471966244,None,False
263,Ar,12,3.0602,2.0,0.3010299956639812,bl,False
264,Ar,10,3.0959,7.0,0.8450980400142568,bl,False
265,Ar,12,3.1347,6.0,0.7781512503836436,None,False
266,Ar,12,3.1374,20.0,1.3010299956639813,bl,False
267,Ar,12,3.1458,3.0,0.47712125471966244,None,False
268,Ar,12,3.1483,2.0,0.3010299956639812,*,False
269,Ar,12,3.1483,2.0,0.3010299956639812,*,False
270,Ar,10,3.1491,5.0,0.6989700043360189,bl,False
272,Ar,12,3.155,2.0,0.3010299956639812,None,False
273,Ar,10,3.1641,4.0,0.6020599913279624,bl,False
274,Ar,12,3.1642,8.0,0.9030899869919435,None,False
276,Ar,13,3.1864,1.0,0.0,None,False
277,Ar,12,3.1962,3.0,0.47712125471966244,None,False
278,Ar,12,3.1984,2.0,0.3010299956639812,None,False
279,Ar,14,3.2014,6.0,0.7781512503836436,bl*,False
280,Ar,14,3.2014,6.0,0.7781512503836436,bl*,False
281,Ar,12,3.2027,1.0,0.0,*,False
282,Ar,12,3.2027,1.0,0.0,*,False
283,Ar,12,3.2147,3.0,0.47712125471966244,None,False
285,Ar,13,3.234,1.0,0.0,None,False
286,Ar,12,3.2344,3.0,0.47712125471966244,None,False
287,Ar,12,3.2459,2.0,0.3010299956639812,None,False
288,Ar,12,3.2546,3.0,0.47712125471966244,*,False
289,Ar,12,3.2546,3.0,0.47712125471966244,*,False
291,Ar,10,3.274,1.0,0.0,None,False
315,Ar,12,3.4675,2.0,0.3010299956639812,bl,False
316,Ar,12,3.478,4.0,0.6020599913279624,None,False
318,Ar,12,3.488,2.0,0.3010299956639812,*,False
319,Ar,12,3.488,2.0,0.3010299956639812,*,False
327,Ar,12,3.568,220.0,2.342422680822206,*,False
328,Ar,12,3.568,220.0,2.342422680822206,*,False
329,Ar,12,3.568,220.0,2.342422680822206,*,False
331,Ar,12,3.626,1.0,0.0,None,False
332,Ar,10,3.6553,5.0,0.6989700043360189,None,False
334,Ar,10,3.6758,2.0,0.3010299956639812,None,False
