element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ac,89,"=""""","=""""","=""0.0113079""","=""0.0000003""","=""""","=""884334000""","=""""","=""9.8309e+07""","=""3.7692e-02""","=""2.8063e-05""","=""-1.12272""",AA,"=""0""","=""884334000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ac,89,"=""""","=""""","=""0.0114290""","=""0.0000004""","=""""","=""874960000""","=""""","=""9.2702e+07""","=""1.8154e-02""","=""1.3661e-05""","=""-1.44001""",AA,"=""0""","=""874965000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ac,87,"=""""","=""""","=""0.0128688""","=""0.0000004""","=""""","=""777075000""","=""""","=""""","=""""","=""""","=""""",,"=""[2147000]""","=""(779222000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Ac,87,"=""""","=""""","=""0.0128737""","=""0.0000004""","=""""","=""776779000""","=""""","=""""","=""""","=""""","=""""",,"=""[2147000]""","=""(778926000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Ac,89,"=""""","=""""","=""0.0131370""","=""0.0000004""","=""""","=""761210000""","=""""","=""3.4359e+08""","=""1.7779e-01""","=""1.5379e-04""","=""-0.44905""",AA,"=""0""","=""761206400""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ac,87,"=""""","=""""","=""0.0133542""","=""0.0000003""","=""""","=""748828000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""748828000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ac,87,"=""""","=""""","=""0.0133621""","=""0.0000004""","=""""","=""748384000""","=""""","=""""","=""""","=""""","=""""",,"=""[30838000]""","=""(779222000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Ac,87,"=""""","=""""","=""0.0133674""","=""0.0000004""","=""""","=""748088000""","=""""","=""""","=""""","=""""","=""""",,"=""[30838000]""","=""(778926000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Ac,87,"=""""","=""""","=""0.0133715""","=""0.0000003""","=""""","=""747861000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""747861000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
