element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ag,47,"=""""","=""""","=""0.04493288""","=""0.00000006""","=""""","=""222554200""","=""""","=""8.0381e+06""","=""4.8660e-02""","=""1.4396e-04""","=""-1.01180""",AA,"=""0""","=""222554160""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ag,47,"=""""","=""""","=""0.04504874""","=""0.00000006""","=""""","=""221981800""","=""""","=""7.9743e+06""","=""2.4261e-02""","=""7.1962e-05""","=""-1.31405""",AA,"=""0""","=""221981800""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ag,47,"=""""","=""""","=""0.05299285""","=""0.00000003""","=""""","=""188704710""","=""""","=""2.9628e+07""","=""2.4947e-01""","=""8.7046e-04""","=""-0.30194""",AA,"=""0""","=""188704708""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ag,47,"=""""","=""""","=""0.05353979""","=""0.00000003""","=""""","=""186776960""","=""""","=""3.0915e+07""","=""1.3286e-01""","=""4.6834e-04""","=""-0.57559""",AA,"=""0""","=""186776963""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ag,45,"=""""","=""""","=""0.0539078""","=""0.0000003""","=""""","=""185502000""","=""""","=""""","=""""","=""""","=""""",,"=""[801970]""","=""(186304000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0539606""","=""0.0000003""","=""""","=""185320500""","=""""","=""""","=""""","=""""","=""""",,"=""[801970]""","=""(186122470)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0543496""","=""0.0000003""","=""""","=""183993900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""183993900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0543908""","=""0.0000003""","=""""","=""183854600""","=""""","=""""","=""""","=""""","=""""",,"=""[2449380]""","=""(186304000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0543918""","=""0.0000003""","=""""","=""183851300""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""183851300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0544446""","=""0.0000003""","=""""","=""183673100""","=""""","=""""","=""""","=""""","=""""",,"=""[2449380]""","=""(186122470)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0544645""","=""0.0000003""","=""""","=""183605900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""183605900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0544687""","=""0.0000003""","=""""","=""183591800""","=""""","=""""","=""""","=""""","=""""",,"=""[801970]""","=""(184393780)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0544987""","=""0.0000003""","=""""","=""183490600""","=""""","=""""","=""""","=""""","=""""",,"=""[801970]""","=""(184292530)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0545292""","=""0.0000003""","=""""","=""183387900""","=""""","=""""","=""""","=""""","=""""",,"=""[2449380]""","=""(185837280)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0545412""","=""0.0000003""","=""""","=""183347700""","=""""","=""""","=""""","=""""","=""""",,"=""[801970]""","=""(184149670)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0545727""","=""0.0000003""","=""""","=""183241700""","=""""","=""""","=""""","=""""","=""""",,"=""[801970]""","=""(184043700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0545931""","=""0.0000003""","=""""","=""183173300""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""183173260""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0548836""","=""0.0000003""","=""""","=""182203800""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""182203800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0549618""","=""0.0000003""","=""""","=""181944400""","=""""","=""""","=""""","=""""","=""""",,"=""[2449380]""","=""(184393780)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0549924""","=""0.0000003""","=""""","=""181843200""","=""""","=""""","=""""","=""""","=""""",,"=""[2449380]""","=""(184292530)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0550080""","=""0.0000003""","=""""","=""181791900""","=""""","=""""","=""""","=""""","=""""",,"=""[801970]""","=""(182593840)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0550357""","=""0.0000003""","=""""","=""181700300""","=""""","=""""","=""""","=""""","=""""",,"=""[2449380]""","=""(184149670)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0550505""","=""0.0000003""","=""""","=""181651400""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""181651370""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0550678""","=""0.0000003""","=""""","=""181594300""","=""""","=""""","=""""","=""""","=""""",,"=""[2449380]""","=""(184043700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0550848""","=""0.0000003""","=""""","=""181538300""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""181538270""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0553932""","=""0.0000003""","=""""","=""180527400""","=""""","=""""","=""""","=""""","=""""",,"=""[801970]""","=""(181329400)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0555110""","=""0.0000003""","=""""","=""180144500""","=""""","=""""","=""""","=""""","=""""",,"=""[2449380]""","=""(182593840)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Ag,45,"=""""","=""""","=""0.0559034""","=""0.0000003""","=""""","=""178880000""","=""""","=""""","=""""","=""""","=""""",,"=""[2449380]""","=""(181329400)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
