element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Al,13,"=""""","=""""","=""0.543518962""","=""0.000000003""","=""""","=""18398622.14""","=""6g""","=""1.2019e+03""","=""1.0646e-03""","=""3.8098e-05""","=""-2.67178""",AA,"=""0.00""","=""(18398622.135)""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Al,13,"=""""","=""""","=""0.543521444""","=""0.000000003""","=""""","=""18398538.10""","=""3g""","=""1.1976e+03""","=""5.3040e-04""","=""1.8981e-05""","=""-2.97437""",AA,"=""0.00""","=""(18398538.100)""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Al,13,"=""""","=""""","=""0.544807813""","=""0.000000003""","=""""","=""18355096.54""","=""7g""","=""1.6513e+03""","=""1.4696e-03""","=""5.2717e-05""","=""-2.53177""",AA,"=""0.00""","=""(18355096.540)""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Al,13,"=""""","=""""","=""0.544811235""","=""0.000000003""","=""""","=""18354981.26""","=""3g""","=""1.6457e+03""","=""7.3232e-04""","=""2.6269e-05""","=""-2.83427""",AA,"=""0.00""","=""(18354981.256)""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Al,13,"=""0.54634""","=""""","=""0.546620026""","=""0.000000003""","=""-0.00028""","=""18304000""","=""12g*""","=""2.3565e+03""","=""2.1112e-03""","=""7.5983e-05""","=""-2.37445""",AA,"=""0.00""","=""(18294243.777)""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L2560c7""",
Al,13,"=""0.54634""","=""""","=""0.546624931""","=""0.000000003""","=""-0.00028""","=""18304000""","=""12g*""","=""2.3487e+03""","=""1.0521e-03""","=""3.7867e-05""","=""-2.67691""",AA,"=""0.00""","=""(18294079.617)""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L2560c7""",
Al,13,"=""0.54914""","=""""","=""0.549285153""","=""0.000000003""","=""-0.00015""","=""18210000""","=""15g*""","=""3.5291e+03""","=""3.1926e-03""","=""1.1546e-04""","=""-2.19482""",AA,"=""0.00""","=""(18205480.237)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L2560c7""",
Al,13,"=""0.54914""","=""""","=""0.549292547""","=""0.000000003""","=""-0.00015""","=""18210000""","=""15g*""","=""3.5182e+03""","=""1.5914e-03""","=""5.7556e-05""","=""-2.49719""",AA,"=""0.00""","=""(18205235.167)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L2560c7""",
Al,13,"=""0.55341""","=""""","=""0.553442924""","=""0.000000003""","=""-0.00003""","=""18070000""","=""20g*""","=""5.6324e+03""","=""5.1729e-03""","=""1.8850e-04""","=""-1.98524""",AA,"=""0.00""","=""(18068710.539)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L2560c7""",
Al,13,"=""0.55341""","=""""","=""0.553454846""","=""0.000000003""","=""-0.00004""","=""18070000""","=""20g*""","=""5.6164e+03""","=""2.5792e-03""","=""9.3988e-05""","=""-2.28749""",AA,"=""0.00""","=""(18068321.319)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L2560c7""",
