element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ar,18,"=""""","=""""","=""0.288103238""","=""0.000000003""","=""""","=""34709779.9""","=""""","=""2.0565e+04""","=""2.5591e-03""","=""4.8545e-05""","=""-2.29088""",AA,"=""0.0""","=""(34709779.92)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.291749237""","=""0.000000003""","=""""","=""34276010.8""","=""""","=""3.6034e+04""","=""9.1964e-03""","=""1.7666e-04""","=""-1.73535""",AA,"=""0.0""","=""(34276010.83)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.291770388""","=""0.000000003""","=""""","=""34273526.1""","=""""","=""3.5864e+04""","=""4.5772e-03""","=""8.7931e-05""","=""-2.03837""",AA,"=""0.0""","=""(34273526.13)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.298732543""","=""0.000000003""","=""""","=""33474759.3""","=""""","=""7.1479e+04""","=""1.9126e-02""","=""3.7620e-04""","=""-1.41734""",AA,"=""0.0""","=""(33474759.34)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.298775875""","=""0.000000005""","=""""","=""33469904.5""","=""""","=""7.1234e+04""","=""9.5331e-03""","=""1.8754e-04""","=""-1.71974""",AA,"=""0.0""","=""(33469904.5)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ar,17,"=""0.3137""","=""0.0007""","=""0.3128283""","=""0.0000020""","=""0.0009""","=""31880000""","=""0""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(31966417)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""""","=""L1845""",
Ar,18,"=""""","=""""","=""0.315022760""","=""0.000000007""","=""""","=""31743738.1""","=""""","=""1.7527e+05""","=""5.2153e-02""","=""1.0817e-03""","=""-0.98169""",AA,"=""0.0""","=""(31743738.1)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.315137049""","=""0.000000010""","=""""","=""31732225.8""","=""""","=""1.7512e+05""","=""2.6073e-02""","=""5.4100e-04""","=""-1.28278""",AA,"=""0.0""","=""(31732225.8)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ar,17,"=""0.3198""","=""0.0005""","=""0.3199710""","=""0.0000020""","=""-0.0002""","=""31270000""","=""13""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(31252834)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""""","=""L1845""",
Ar,17,"=""0.3362""","=""0.0003""","=""0.3365615""","=""0.0000005""","=""-0.0004""","=""29740000""","=""19""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(29712252)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""""","=""L1845""",
Ar,17,"=""""","=""""","=""0.3368908""","=""0.0000005""","=""""","=""29683210""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(29683212)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""2""",1,5,M2,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.3369658""","=""0.0000005""","=""""","=""29676600""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(29676600)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",1,3,,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.3374575""","=""0.0000005""","=""""","=""29633360""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(29633358)""","=""1s2""","=""1S""","=""0""","=""1s.3s""","=""3S""","=""1""",1,3,M1,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34059""","=""0.00005""","=""""","=""29361000""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""29360800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1S).3p""","=""2P*""","=""1/2""",2,2,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34059""","=""0.00005""","=""""","=""29361000""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""29360800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1S).3p""","=""2P*""","=""3/2""",2,4,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34155""","=""0.00003""","=""""","=""29278000""","=""""","=""""","=""""","=""""","=""""",,"=""257023""","=""29535300""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).3p""","=""2P""","=""3/2""",2,4,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34166""","=""0.00004""","=""""","=""29269000""","=""""","=""""","=""""","=""""","=""""",,"=""257023""","=""29526300""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).3p""","=""2D""","=""3/2""",2,4,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34185""","=""0.00004""","=""""","=""29253000""","=""""","=""""","=""""","=""""","=""""",,"=""282598.2""","=""29535300""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2P""","=""3/2""",4,4,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34194""","=""0.00005""","=""""","=""29245000""","=""""","=""""","=""""","=""""","=""""",,"=""282598.2""","=""29527500""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2D""","=""5/2""",4,6,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34195""","=""0.00004""","=""""","=""29244000""","=""""","=""""","=""""","=""""","=""""",,"=""282598.2""","=""29526300""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2D""","=""3/2""",4,4,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34222""","=""0.00004""","=""""","=""29221000""","=""""","=""""","=""""","=""""","=""""",,"=""257023""","=""29478400""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34231""","=""0.00005""","=""""","=""29213000""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""29213300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""2P*""","=""1/2""",2,2,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34232""","=""0.00005""","=""""","=""29212000""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""29212400""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""2P*""","=""3/2""",2,4,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34245""","=""0.00005""","=""""","=""29201000""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""29201300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""4P*""","=""3/2""",2,4,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34245""","=""0.00005""","=""""","=""29201000""","=""""","=""""","=""""","=""""","=""""",,"=""257023""","=""29458400""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""4P""","=""3/2""",2,4,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34251""","=""0.00004""","=""""","=""29196000""","=""""","=""""","=""""","=""""","=""""",,"=""282598.2""","=""29478400""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2S""","=""1/2""",4,2,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34271""","=""0.00004""","=""""","=""29179000""","=""""","=""""","=""""","=""""","=""""",,"=""257023""","=""29436200""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""4S""","=""3/2""",2,4,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34271""","=""0.00004""","=""""","=""29179000""","=""""","=""""","=""""","=""""","=""""",,"=""257023""","=""29436200""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2D""","=""3/2""",2,4,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34278""","=""0.00005""","=""""","=""29173000""","=""""","=""""","=""""","=""""","=""""",,"=""282598.2""","=""29455800""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2D""","=""5/2""",4,6,,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34301""","=""0.00004""","=""""","=""29154000""","=""""","=""""","=""""","=""""","=""""",,"=""282598.2""","=""29436200""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""4S""","=""3/2""",4,4,,"=""""","=""""",
