element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
As,33,"=""""","=""""","=""0.084840522""","=""0.000000007""","=""""","=""117868204""","=""""","=""2.2798e+05""","=""2.4602e-03""","=""1.3743e-05""","=""-2.30800""",AA,"=""0""","=""117868204""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
As,33,"=""""","=""""","=""0.085898232""","=""0.000000007""","=""""","=""116416832""","=""""","=""4.0511e+05""","=""8.9624e-03""","=""5.0689e-05""","=""-1.74654""",AA,"=""0""","=""116416832""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
As,33,"=""""","=""""","=""0.085919469""","=""0.000000009""","=""""","=""116388056""","=""""","=""3.9843e+05""","=""4.4096e-03""","=""2.4946e-05""","=""-2.05457""",AA,"=""0""","=""116388056""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
As,33,"=""""","=""""","=""0.087940305""","=""0.000000011""","=""""","=""113713501""","=""""","=""8.0363e+05""","=""1.8635e-02""","=""1.0790e-04""","=""-1.42865""",AA,"=""0""","=""113713501""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
As,33,"=""""","=""""","=""0.087983847""","=""0.000000017""","=""""","=""113657226""","=""""","=""7.9392e+05""","=""9.2138e-03""","=""5.3376e-05""","=""-1.73453""",AA,"=""0""","=""113657226""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
As,33,"=""""","=""""","=""0.092700867""","=""0.000000022""","=""""","=""107873860""","=""""","=""1.9690e+06""","=""5.0735e-02""","=""3.0967e-04""","=""-0.99366""",AA,"=""0""","=""107873856""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
As,33,"=""""","=""""","=""0.09281579""","=""0.00000004""","=""""","=""107740290""","=""""","=""1.9624e+06""","=""2.5345e-02""","=""1.5489e-04""","=""-1.29508""",AA,"=""0""","=""107740290""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
As,33,"=""""","=""""","=""0.109610325""","=""0.000000014""","=""""","=""91232281""","=""""","=""7.3187e+06""","=""2.6365e-01""","=""1.9028e-03""","=""-0.27794""",AA,"=""0""","=""91232281.1""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
As,33,"=""""","=""""","=""0.110154087""","=""0.000000014""","=""""","=""90781925""","=""""","=""7.4706e+06""","=""1.3590e-01""","=""9.8565e-04""","=""-0.56575""",AA,"=""0""","=""90781924.8""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
As,31,"=""""","=""""","=""0.1130604""","=""0.0000005""","=""""","=""88448300""","=""""","=""""","=""""","=""""","=""""",,"=""[517816]""","=""(88966150)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
As,31,"=""""","=""""","=""0.1132753""","=""0.0000005""","=""""","=""88280500""","=""""","=""""","=""""","=""""","=""""",,"=""[517816]""","=""(88798350)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""3/2""",2,4,,"=""""","=""""",
