element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
At,85,"=""""","=""""","=""0.01257490""","=""0.00000021""","=""""","=""795235000""","=""""","=""8.2436e+07""","=""3.9085e-02""","=""3.2361e-05""","=""-1.10695""",AA,"=""0""","=""795235000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
At,85,"=""""","=""""","=""0.0126953""","=""0.0000003""","=""""","=""787692000""","=""""","=""7.8482e+07""","=""1.8963e-02""","=""1.5851e-05""","=""-1.42106""",AA,"=""0""","=""787692000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
At,83,"=""""","=""""","=""0.0144008""","=""0.0000003""","=""""","=""694406000""","=""""","=""""","=""""","=""""","=""""",,"=""[1982800]""","=""(696389000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
At,83,"=""""","=""""","=""0.0144066""","=""0.0000003""","=""""","=""694126000""","=""""","=""""","=""""","=""""","=""""",,"=""[1982800]""","=""(696109000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
At,85,"=""""","=""""","=""0.0146386""","=""0.0000004""","=""""","=""683126000""","=""""","=""2.9032e+08""","=""1.8654e-01""","=""1.7979e-04""","=""-0.42821""",AA,"=""0""","=""683126170""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
At,83,"=""""","=""""","=""0.0148858""","=""0.0000003""","=""""","=""671782000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""671782000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
At,83,"=""""","=""""","=""0.0148948""","=""0.0000003""","=""""","=""671373000""","=""""","=""""","=""""","=""""","=""""",,"=""[25015600]""","=""(696389000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
At,83,"=""""","=""""","=""0.0149011""","=""0.0000003""","=""""","=""671093000""","=""""","=""""","=""""","=""""","=""""",,"=""[25015600]""","=""(696109000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
At,83,"=""""","=""""","=""0.0149040""","=""0.0000003""","=""""","=""670961000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""670961000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
