element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Au,79,"=""""","=""""","=""0.01484003""","=""0.00000012""","=""""","=""673853000""","=""""","=""6.2120e+07""","=""4.1019e-02""","=""4.0080e-05""","=""-1.08598""",AA,"=""0""","=""673853000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Au,79,"=""""","=""""","=""0.01495949""","=""0.00000020""","=""""","=""668472000""","=""""","=""5.9826e+07""","=""2.0071e-02""","=""1.9770e-05""","=""-1.39639""",AA,"=""0""","=""668472000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Au,77,"=""""","=""""","=""0.01714394""","=""0.00000011""","=""""","=""583296000""","=""""","=""""","=""""","=""""","=""""",,"=""[1743240]""","=""(585039600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Au,77,"=""""","=""""","=""0.01715156""","=""0.00000011""","=""""","=""583037000""","=""""","=""""","=""""","=""""","=""""",,"=""[1743240]""","=""(584780500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Au,79,"=""""","=""""","=""0.01732338""","=""0.00000007""","=""""","=""577254400""","=""""","=""2.2101e+08""","=""1.9887e-01""","=""2.2683e-04""","=""-0.40040""",AA,"=""0""","=""577254440""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Au,77,"=""""","=""""","=""0.01762733""","=""0.00000013""","=""""","=""567301000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""567300800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Au,77,"=""""","=""""","=""0.01763855""","=""0.00000012""","=""""","=""566940000""","=""""","=""""","=""""","=""""","=""""",,"=""[18099670]""","=""(585039600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Au,77,"=""""","=""""","=""0.01764662""","=""0.00000012""","=""""","=""566681000""","=""""","=""""","=""""","=""""","=""""",,"=""[18099670]""","=""(584780500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Au,77,"=""""","=""""","=""0.01764729""","=""0.00000013""","=""""","=""566659000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""566659200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Au,77,"=""""","=""""","=""0.01766111""","=""0.00000012""","=""""","=""566216000""","=""""","=""""","=""""","=""""","=""""",,"=""[1743240]""","=""(567959200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Au,77,"=""""","=""""","=""0.01766249""","=""0.00000013""","=""""","=""566172000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""566171600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Au,77,"=""""","=""""","=""0.01766472""","=""0.00000012""","=""""","=""566100000""","=""""","=""""","=""""","=""""","=""""",,"=""[18099670]""","=""(584199900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Au,77,"=""""","=""""","=""0.01767349""","=""0.00000012""","=""""","=""565819000""","=""""","=""""","=""""","=""""","=""""",,"=""[1743240]""","=""(567562300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
