element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
B,5,"=""""","=""""","=""3.680972442""","=""0.000000007""","=""""","=""2716673.422""","=""""","=""2.6333e+01""","=""1.0698e-03""","=""2.5928e-04""","=""-2.66966""",AA,"=""0.000""","=""(2716673.42158)""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
B,5,"=""""","=""""","=""3.680974924""","=""0.000000007""","=""""","=""2716671.590""","=""""","=""2.6319e+01""","=""5.3462e-04""","=""1.2957e-04""","=""-2.97092""",AA,"=""0.000""","=""(2716671.59005)""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
B,5,"=""""","=""""","=""3.689712866""","=""0.000000007""","=""""","=""2710237.995""","=""""","=""3.6178e+01""","=""1.4768e-03""","=""3.5877e-04""","=""-2.52965""",AA,"=""0.000""","=""(2710237.99496)""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
B,5,"=""""","=""""","=""3.689716286""","=""0.000000007""","=""""","=""2710235.483""","=""""","=""3.6159e+01""","=""7.3801e-04""","=""1.7929e-04""","=""-2.83091""",AA,"=""0.000""","=""(2710235.48253)""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
B,5,"=""3.703""","=""0.006""","=""3.702002103""","=""0.000000007""","=""0.001""","=""2701000""","=""10*""","=""5.1626e+01""","=""2.1214e-03""","=""5.1709e-04""","=""-2.37234""",AA,"=""0.000""","=""(2701241.03721)""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L4250,L12548""",
B,5,"=""3.703""","=""0.006""","=""3.702007005""","=""0.000000007""","=""0.001""","=""2701000""","=""10*""","=""5.1601e+01""","=""1.0602e-03""","=""2.5842e-04""","=""-2.67358""",AA,"=""0.000""","=""(2701237.45990)""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
B,5,"=""3.721""","=""0.006""","=""3.720074621""","=""0.000000007""","=""0.001""","=""2687000""","=""20*""","=""7.7311e+01""","=""3.2080e-03""","=""7.8576e-04""","=""-2.19274""",AA,"=""0.000""","=""(2688118.12078)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L4250,L12548""",
B,5,"=""3.721""","=""0.006""","=""3.720082011""","=""0.000000007""","=""0.001""","=""2687000""","=""20*""","=""7.7276e+01""","=""1.6033e-03""","=""3.9270e-04""","=""-2.49396""",AA,"=""0.000""","=""(2688112.78079)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
B,5,"=""3.748""","=""0.006""","=""3.748267927""","=""0.000000007""","="" 0.000""","=""2668000""","=""80*""","=""1.2339e+02""","=""5.1977e-03""","=""1.2828e-03""","=""-1.98316""",AA,"=""0.000""","=""(2667898.93187)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3762""",
B,5,"=""3.748""","=""0.006""","=""3.748279841""","=""0.000000007""","="" 0.000""","=""2668000""","=""80*""","=""1.2334e+02""","=""2.5978e-03""","=""6.4113e-04""","=""-2.28436""",AA,"=""0.000""","=""(2667890.45198)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
B,5,"=""3.794""","=""0.006""","=""3.795979929""","=""0.000000007""","=""-0.002""","=""2636000""","=""150*""","=""2.1499e+02""","=""9.2887e-03""","=""2.3216e-03""","=""-1.73101""",AA,"=""0.000""","=""(2634365.87841)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3762""",
B,5,"=""3.794""","=""0.006""","=""3.796001044""","=""0.000000007""","=""-0.002""","=""2636000""","=""150*""","=""2.1491e+02""","=""4.6427e-03""","=""1.1604e-03""","=""-2.03220""",AA,"=""0.000""","=""(2634351.22480)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
