element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ba,56,"=""""","=""""","=""0.03118822""","=""0.00000006""","=""""","=""320633900""","=""""","=""1.6092e+07""","=""4.6932e-02""","=""9.6374e-05""","=""-1.02750""",AA,"=""0""","=""320633900""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ba,56,"=""""","=""""","=""0.03130486""","=""0.00000008""","=""""","=""319439200""","=""""","=""1.5887e+07""","=""2.3341e-02""","=""4.8110e-05""","=""-1.33085""",AA,"=""0""","=""319439200""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ba,56,"=""""","=""""","=""0.03670130""","=""0.00000004""","=""""","=""272469900""","=""""","=""5.8875e+07""","=""2.3778e-01""","=""5.7461e-04""","=""-0.32279""",AA,"=""0""","=""272469948""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ba,54,"=""""","=""""","=""0.03705416""","=""0.00000018""","=""""","=""269875200""","=""""","=""""","=""""","=""""","=""""",,"=""[1016980]""","=""(270892200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Ba,54,"=""""","=""""","=""0.03708117""","=""0.00000018""","=""""","=""269678600""","=""""","=""""","=""""","=""""","=""""",,"=""[1016980]""","=""(270695600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Ba,56,"=""""","=""""","=""0.03724182""","=""0.00000004""","=""""","=""268515300""","=""""","=""9.155e+03""","=""1.904e-05""","=""3.51e-03""","=""-4.419""",,"=""0""","=""268515320""","=""1s""","=""2S""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,M1,"=""T7771""","=""""",
Ba,56,"=""""","=""""","=""0.03725090""","=""0.00000004""","=""""","=""268449900""","=""""","=""6.2606e+07""","=""1.3024e-01""","=""3.1944e-04""","=""-0.58422""",AA,"=""0""","=""268449880""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ba,55,"=""""","=""""","=""0.037346""","=""0.000015""","=""""","=""267770000""","=""""","=""1.38e+04""","=""9.62e-06""","=""2.66e-03""","=""-4.54""",,"=""(262304710)""","=""(530070000)""","=""1s.2s""","=""3S""","=""1""","=""2s2""","=""1S""","=""0""",3,1,M1,"=""T7956""","=""""",
Ba,55,"=""""","=""""","=""0.037437""","=""0.000015""","=""""","=""267110000""","=""""","=""2.26e+07""","=""1.58e-02""","=""5.85e-05""","=""-1.32""",,"=""(262955368)""","=""(530070000)""","=""1s.2p""","=""3P*""","=""1""","=""2s2""","=""1S""","=""0""",3,1,,"=""T7956""","=""""",
Ba,55,"=""""","=""""","=""0.03746330""","=""0.00000020""","=""""","=""266927900""","=""""","=""7.75e+07""","=""4.89e-01""","=""6.03e-04""","=""-0.31""",,"=""0""","=""266927919.6""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T6910""","=""""",
Ba,55,"=""""","=""""","=""0.03750549""","=""0.00000020""","=""""","=""266627600""","=""""","=""3.45e+04""","=""3.64e-04""","=""8.59e-03""","=""-3.44""",,"=""0""","=""266627600.0""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",1,5,M2,"=""T6910""","=""""",
Ba,54,"=""""","=""""","=""0.03751572""","=""0.00000021""","=""""","=""266554900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""266554900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ba,54,"=""""","=""""","=""0.03754369""","=""0.00000018""","=""""","=""266356300""","=""""","=""""","=""""","=""""","=""""",,"=""[4535880]""","=""(270892200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Ba,54,"=""""","=""""","=""0.03754815""","=""0.00000021""","=""""","=""266324700""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""266324700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Ba,54,"=""""","=""""","=""0.03757143""","=""0.00000018""","=""""","=""266159700""","=""""","=""""","=""""","=""""","=""""",,"=""[4535880]""","=""(270695600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Ba,54,"=""""","=""""","=""0.03759178""","=""0.00000018""","=""""","=""266015600""","=""""","=""""","=""""","=""""","=""""",,"=""[1016980]""","=""(267032600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Ba,54,"=""""","=""""","=""0.03759182""","=""0.00000021""","=""""","=""266015300""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""266015300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ba,54,"=""""","=""""","=""0.03761309""","=""0.00000018""","=""""","=""265864900""","=""""","=""""","=""""","=""""","=""""",,"=""[1016980]""","=""(266881900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
