element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Be,4,"=""5.813""","=""""","=""5.813322512""","=""0.000000003""","="" 0.000""","=""1720000""","=""""","=""3.1668e+01""","=""3.2089e-03""","=""1.2283e-03""","=""-2.19261""",AA,"=""0.0000""","=""(1720186.68841)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3412""",
Be,4,"=""5.813""","=""""","=""5.813329901""","=""0.000000003""","="" 0.000""","=""1720000""","=""""","=""3.1659e+01""","=""1.6040e-03""","=""6.1395e-04""","=""-2.49376""",AA,"=""0.0000""","=""(1720184.50175)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3412""",
Be,4,"=""5.857""","=""""","=""5.857383101""","=""0.000000003""","="" 0.000""","=""1707000""","=""""","=""5.0539e+01""","=""5.1991e-03""","=""2.0051e-03""","=""-1.98304""",AA,"=""0.0000""","=""(1707247.04668)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3412""",
Be,4,"=""5.857""","=""""","=""5.857395014""","=""0.000000003""","="" 0.000""","=""1707000""","=""""","=""5.0525e+01""","=""2.5988e-03""","=""1.0023e-03""","=""-2.28419""",AA,"=""0.0000""","=""(1707243.57429)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3412""",
Be,4,"=""5.932""","=""""","=""5.931947431""","=""0.000000003""","=""0.000""","=""1686000""","=""""","=""8.8061e+01""","=""9.2911e-03""","=""3.6288e-03""","=""-1.73090""",AA,"=""0.0000""","=""(1685787.023070)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3412""",
Be,4,"=""5.932""","=""""","=""5.931968545""","=""0.000000003""","=""0.000""","=""1686000""","=""""","=""8.8041e+01""","=""4.6445e-03""","=""1.8140e-03""","=""-2.03203""",AA,"=""0.0000""","=""(1685781.02269)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3412""",
Be,4,"=""6.074""","=""""","=""6.074297580""","=""0.000000003""","="" 0.000""","=""1646000""","=""""","=""1.7468e+02""","=""1.9325e-02""","=""7.7290e-03""","=""-1.41285""",AA,"=""0.0000""","=""(1646280.88582)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3412""",
Be,4,"=""6.074""","=""""","=""6.074340822""","=""0.000000003""","="" 0.000""","=""1646000""","=""""","=""1.7465e+02""","=""9.6610e-03""","=""3.8639e-03""","=""-1.71395""",AA,"=""0.0000""","=""(1646269.16610)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3412""",
Be,4,"=""6.406""","=""""","=""6.406444130""","=""0.000000003""","="" 0.000""","=""1561000""","=""""","=""4.2845e+02""","=""5.2726e-02""","=""2.2240e-02""","=""-0.97695""",AA,"=""0.0000""","=""(1560928.30867)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3412""",
Be,4,"=""6.406""","=""""","=""6.406558150""","=""0.000000003""","=""-0.001""","=""1561000""","=""""","=""4.2844e+02""","=""2.6363e-02""","=""1.1121e-02""","=""-1.27797""",AA,"=""0.0000""","=""(1560900.52810)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3412""",
Be,4,"=""7.593""","=""""","=""7.592593562""","=""0.000000007""","=""0.000""","=""1317000""","=""""","=""1.6047e+03""","=""2.7738e-01""","=""1.3866e-01""","=""-0.25590""",AA,"=""0.0000""","=""(1317073.002568)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3412""",
Be,4,"=""7.593""","=""""","=""7.593134095""","=""0.000000007""","="" 0.000""","=""1317000""","=""""","=""1.6052e+03""","=""1.3875e-01""","=""6.9368e-02""","=""-0.55674""",AA,"=""0.0000""","=""(1316979.24398)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3412""",
Be,3,"=""7.610""","=""""","=""7.6099""","=""0.0012""","=""0.000""","=""1314100""","=""1w""","=""""","=""""","=""""","=""""",,"=""[1127716.0]""","=""2441800""","=""1s.3s""","=""1S""","=""0""","=""2.3.sp+""","=""1P*""","=""1""",1,3,,"=""""","=""L539""",
Be,3,"=""7.648""","=""""","=""7.6482""","=""0.0012""","="" 0.000""","=""1307500""","=""2*""","=""""","=""""","=""""","=""""",,"=""[1121199.30]""","=""2428700""","=""1s.3s""","=""3S""","=""1""","=""2.3.sp-""","=""3P*""","=""2""",3,5,,"=""""","=""L539""",
Be,3,"=""7.648""","=""""","=""7.6482""","=""0.0012""","="" 0.000""","=""1307500""","=""2*""","=""""","=""""","=""""","=""""",,"=""[1121199.30]""","=""2428700""","=""1s.3s""","=""3S""","=""1""","=""2.3.sp-""","=""3P*""","=""1""",3,3,,"=""""","=""L539""",
Be,3,"=""7.648""","=""""","=""7.6482""","=""0.0012""","="" 0.000""","=""1307500""","=""2*""","=""""","=""""","=""""","=""""",,"=""[1121199.30]""","=""2428700""","=""1s.3s""","=""3S""","=""1""","=""2.3.sp-""","=""3P*""","=""0""",3,1,,"=""""","=""L539""",
Be,3,"=""7.853""","=""""","=""7.8531""","=""0.0003""","="" 0.000""","=""1273400""","=""3*""","=""""","=""""","=""""","=""""",,"=""[956518.70]""","=""2229900""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""1""",3,3,,"=""""","=""L539""",
Be,3,"=""7.853""","=""""","=""7.8531""","=""0.0003""","="" 0.000""","=""1273400""","=""3*""","=""""","=""""","=""""","=""""",,"=""[956518.70]""","=""2229900""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""0""",3,1,,"=""""","=""L539""",
Be,3,"=""7.853""","=""""","=""7.8531""","=""0.0003""","="" 0.000""","=""1273400""","=""3*""","=""""","=""""","=""""","=""""",,"=""[956518.70]""","=""2229900""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""2""",3,5,,"=""""","=""L539""",
Be,3,"=""7.866""","=""""","=""7.8659""","=""0.0003""","=""0.000""","=""1271300""","=""4*""","=""""","=""""","=""""","=""""",,"=""[983371.80]""","=""2254680""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""1""",3,3,,"=""""","=""L539""",
