element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Bi,83,"=""""","=""""","=""0.01327667""","=""0.00000011""","=""""","=""753201000""","=""""","=""7.5209e+07""","=""3.9750e-02""","=""3.4748e-05""","=""-1.09963""",AA,"=""0""","=""753201000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Bi,83,"=""""","=""""","=""0.01339676""","=""0.00000022""","=""""","=""746449000""","=""""","=""7.1901e+07""","=""1.9346e-02""","=""1.7065e-05""","=""-1.41238""",AA,"=""0""","=""746449000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Bi,81,"=""""","=""""","=""0.01525012""","=""0.00000011""","=""""","=""655733000""","=""""","=""""","=""""","=""""","=""""",,"=""[1900540]""","=""(657633100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Bi,81,"=""""","=""""","=""0.01525647""","=""0.00000011""","=""""","=""655460000""","=""""","=""""","=""""","=""""","=""""",,"=""[1900540]""","=""(657360100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Bi,83,"=""""","=""""","=""0.01547036""","=""0.00000008""","=""""","=""646397000""","=""""","=""2.6581e+08""","=""1.9075e-01""","=""1.9430e-04""","=""-0.41851""",AA,"=""0""","=""646397200""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Bi,81,"=""""","=""""","=""0.01573471""","=""0.00000013""","=""""","=""635538000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""635537800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Bi,81,"=""""","=""""","=""0.01574443""","=""0.00000012""","=""""","=""635145000""","=""""","=""""","=""""","=""""","=""""",,"=""22487900""","=""(657633100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Bi,81,"=""""","=""""","=""0.01575120""","=""0.00000012""","=""""","=""634872000""","=""""","=""""","=""""","=""""","=""""",,"=""22487900""","=""(657360100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Bi,81,"=""""","=""""","=""0.01575346""","=""0.00000013""","=""""","=""634781000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""634781200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Bi,81,"=""""","=""""","=""0.01576493""","=""0.00000012""","=""""","=""634319000""","=""""","=""""","=""""","=""""","=""""",,"=""[1900540]""","=""(636220000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Bi,81,"=""""","=""""","=""0.01576644""","=""0.00000013""","=""""","=""634258000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""634258400""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
