element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Br,35,"=""""","=""""","=""0.075280353""","=""0.000000008""","=""""","=""132836784""","=""""","=""2.8749e+05""","=""2.4426e-03""","=""1.2107e-05""","=""-2.31112""",AA,"=""0""","=""132836784""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Br,35,"=""""","=""""","=""0.076216297""","=""0.000000009""","=""""","=""131205535""","=""""","=""5.1219e+05""","=""8.9210e-03""","=""4.4768e-05""","=""-1.74856""",AA,"=""0""","=""131205535""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Br,35,"=""""","=""""","=""0.076237552""","=""0.000000009""","=""""","=""131168955""","=""""","=""5.0263e+05""","=""4.3797e-03""","=""2.1985e-05""","=""-2.05753""",AA,"=""0""","=""131168955""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Br,35,"=""""","=""""","=""0.078025916""","=""0.000000010""","=""""","=""128162545""","=""""","=""1.0160e+06""","=""1.8547e-02""","=""9.5282e-05""","=""-1.43070""",AA,"=""0""","=""128162545""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Br,35,"=""""","=""""","=""0.078069501""","=""0.000000014""","=""""","=""128090995""","=""""","=""1.0021e+06""","=""9.1569e-03""","=""4.7069e-05""","=""-1.73722""",AA,"=""0""","=""128090995""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Br,35,"=""""","=""""","=""0.08224408""","=""0.00000003""","=""""","=""121589300""","=""""","=""2.4892e+06""","=""5.0484e-02""","=""2.7338e-04""","=""-0.99582""",AA,"=""0""","=""121589300""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Br,35,"=""""","=""""","=""0.08235912""","=""0.00000003""","=""""","=""121419460""","=""""","=""2.4797e+06""","=""2.5216e-02""","=""1.3674e-04""","=""-1.29730""",AA,"=""0""","=""121419460""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Br,35,"=""""","=""""","=""0.097216478""","=""0.000000016""","=""""","=""102863221""","=""""","=""9.2428e+06""","=""2.6192e-01""","=""1.6766e-03""","=""-0.28080""",AA,"=""0""","=""102863220.7""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Br,35,"=""""","=""""","=""0.097760627""","=""0.000000016""","=""""","=""102290669""","=""""","=""9.4595e+06""","=""1.3554e-01""","=""8.7242e-04""","=""-0.56692""",AA,"=""0""","=""102290669.4""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
