element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
C,6,"=""""","=""""","=""2.6025967573""","=""0.0000000012""","=""""","=""3842316.3219""","=""""","=""2.5584e+02""","=""5.1960e-03""","=""8.9039e-04""","=""-1.98330""",AA,"=""0.0000""","=""(3842316.32191)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
C,6,"=""""","=""""","=""2.6026086718""","=""0.0000000012""","=""""","=""3842298.7321""","=""""","=""2.5568e+02""","=""2.5964e-03""","=""4.4492e-04""","=""-2.28460""",AA,"=""0.0000""","=""(3842298.73212)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
C,6,"=""""","=""""","=""2.6357225331""","=""0.0000000013""","=""""","=""3794026.0686""","=""""","=""4.4578e+02""","=""9.2857e-03""","=""1.6115e-03""","=""-1.73116""",AA,"=""0.0000""","=""(3794026.06860)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
C,6,"=""""","=""""","=""2.6357436496""","=""0.0000000013""","=""""","=""3793995.6723""","=""""","=""4.4555e+02""","=""4.6405e-03""","=""8.0533e-04""","=""-2.03240""",AA,"=""0.0000""","=""(3793995.6723)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
C,6,"=""""","=""""","=""2.6989626939""","=""0.0000000013""","=""""","=""3705127.1670""","=""""","=""8.8424e+02""","=""1.9313e-02""","=""3.4321e-03""","=""-1.41312""",AA,"=""0.0000""","=""(3705127.1670)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
C,6,"=""""","=""""","=""2.6990059424""","=""0.0000000014""","=""""","=""3705067.7966""","=""""","=""8.8391e+02""","=""9.6533e-03""","=""1.7155e-03""","=""-1.71429""",AA,"=""0.0000""","=""(3705067.7966)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
C,6,"=""""","=""""","=""2.8465191647""","=""0.0000000016""","=""""","=""3513062.5938""","=""""","=""2.1688e+03""","=""5.2692e-02""","=""9.8755e-03""","=""-0.97723""",AA,"=""0.0000""","=""(3513062.5938)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
C,6,"=""""","=""""","=""2.8466332024""","=""0.0000000017""","=""""","=""3512921.8585""","=""""","=""2.1686e+03""","=""2.6345e-02""","=""4.9379e-03""","=""-1.27826""",AA,"=""0.0000""","=""(3512921.8585)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
C,5,"=""""","=""""","=""3.3426065""","=""0.0000018""","=""""","=""2991677.3""","=""""","=""1.065e+03""","=""5.352e-02""","=""5.889e-03""","=""-1.271""",AA,"=""0.00""","=""(2991677.3)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
C,6,"=""""","=""""","=""3.373417110""","=""0.000000003""","=""""","=""2964353.258""","=""""","=""8.1219e+03""","=""2.7713e-01""","=""6.1555e-02""","=""-0.25628""",AA,"=""0.0000""","=""(2964353.25787)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
