element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ca,20,"=""""","=""""","=""0.233131110""","=""0.000000003""","=""""","=""42894318.1""","=""""","=""3.1288e+04""","=""2.5493e-03""","=""3.9132e-05""","=""-2.29254""",AA,"=""0.0""","=""(42894318.1)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ca,20,"=""""","=""""","=""0.236077157""","=""0.000000003""","=""""","=""42359032.7""","=""""","=""5.4896e+04""","=""9.1736e-03""","=""1.4259e-04""","=""-1.73643""",AA,"=""0.0""","=""(42359032.73)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ca,20,"=""""","=""""","=""0.236098316""","=""0.000000004""","=""""","=""42355236.4""","=""""","=""5.4576e+04""","=""4.5608e-03""","=""7.0899e-05""","=""-2.03993""",AA,"=""0.0""","=""(42355236.4)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ca,20,"=""""","=""""","=""0.241724196""","=""0.000000004""","=""""","=""41369462.3""","=""""","=""1.0889e+05""","=""1.9078e-02""","=""3.0364e-04""","=""-1.41844""",AA,"=""0.0""","=""(41369462.3)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ca,20,"=""""","=""""","=""0.241767548""","=""0.000000006""","=""""","=""41362044.1""","=""""","=""1.0843e+05""","=""9.5020e-03""","=""1.5126e-04""","=""-1.72115""",AA,"=""0.0""","=""(41362044.1)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ca,20,"=""""","=""""","=""0.254896432""","=""0.000000007""","=""""","=""39231620.1""","=""""","=""2.6700e+05""","=""5.2015e-02""","=""8.7297e-04""","=""-0.98284""",AA,"=""0.0""","=""(39231620.1)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ca,20,"=""""","=""""","=""0.255010783""","=""0.000000013""","=""""","=""39214028.1""","=""""","=""2.6670e+05""","=""2.6001e-02""","=""4.3658e-04""","=""-1.28397""",AA,"=""0.0""","=""(39214028.1)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ca,20,"=""""","=""""","=""0.301847847""","=""0.000000006""","=""""","=""33129273.9""","=""""","=""9.9729e+05""","=""2.7245e-01""","=""5.4147e-03""","=""-0.26369""",AA,"=""0.0""","=""(33129273.85)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ca,20,"=""""","=""""","=""0.302389601""","=""0.000000006""","=""""","=""33069920.3""","=""""","=""1.0047e+06""","=""1.3773e-01""","=""2.7423e-03""","=""-0.55993""",AA,"=""0.0""","=""(33069920.30)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ca,18,"=""""","=""""","=""0.3185547""","=""0.0000016""","=""""","=""31391780""","=""""","=""""","=""""","=""""","=""""",,"=""290049""","=""(31681830)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
Ca,18,"=""0.31888""","=""0.00007""","=""0.3189698""","=""0.0000016""","=""-0.00009""","=""31360000""","=""""","=""""","=""""","=""""","=""""",,"=""[330900]""","=""(31681830)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2S""","=""1/2""",4,2,,"=""""","=""L22456,L8287,L2560c164""",
Ca,18,"=""0.31901""","=""0.00009""","=""0.3190579""","=""0.0000015""","=""-0.00005""","=""31347000""","=""g*""","=""""","=""""","=""""","=""""",,"=""0""","=""31342270""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L22456,L2560c164""",
Ca,18,"=""0.31901""","=""0.00009""","=""0.3191456""","=""0.0000015""","=""-0.00014""","=""31347000""","=""g*""","=""""","=""""","=""""","=""""",,"=""0""","=""31333660""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L22456,L2560c164""",
