element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cd,48,"=""""","=""""","=""0.04301655""","=""0.00000006""","=""""","=""232468700""","=""""","=""8.7383e+06""","=""4.8483e-02""","=""1.3732e-04""","=""-1.01338""",AA,"=""0""","=""232468690""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Cd,48,"=""""","=""""","=""0.04313247""","=""0.00000006""","=""""","=""231843900""","=""""","=""8.6650e+06""","=""2.4168e-02""","=""6.8635e-05""","=""-1.31573""",AA,"=""0""","=""231843900""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cd,48,"=""""","=""""","=""0.05072143""","=""0.00000003""","=""""","=""197155340""","=""""","=""3.2185e+07""","=""2.4827e-01""","=""8.2913e-04""","=""-0.30404""",AA,"=""0""","=""197155338""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Cd,48,"=""""","=""""","=""0.05126864""","=""0.00000003""","=""""","=""195051000""","=""""","=""3.3647e+07""","=""1.3259e-01""","=""4.4757e-04""","=""-0.57646""",AA,"=""0""","=""195050999""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cd,46,"=""""","=""""","=""0.05155268""","=""0.00000025""","=""""","=""193976300""","=""""","=""""","=""""","=""""","=""""",,"=""[824400]""","=""(194800720)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Cd,46,"=""""","=""""","=""0.05160134""","=""0.00000025""","=""""","=""193793400""","=""""","=""""","=""""","=""""","=""""",,"=""[824400]""","=""(194617820)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Cd,46,"=""""","=""""","=""0.0519972""","=""0.0000003""","=""""","=""192318200""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""192318200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Cd,46,"=""""","=""""","=""0.0520366""","=""0.0000003""","=""""","=""192172300""","=""""","=""""","=""""","=""""","=""""",,"=""[2628390]""","=""(194800720)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Cd,46,"=""""","=""""","=""0.0520380""","=""0.0000003""","=""""","=""192167200""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""192167200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Cd,46,"=""""","=""""","=""0.0520862""","=""0.0000003""","=""""","=""191989400""","=""""","=""""","=""""","=""""","=""""",,"=""[2628390]""","=""(194617820)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Cd,46,"=""""","=""""","=""0.0521065""","=""0.0000003""","=""""","=""191914700""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""191914700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Cd,46,"=""""","=""""","=""0.05210978""","=""0.00000025""","=""""","=""191902600""","=""""","=""""","=""""","=""""","=""""",,"=""[824400]""","=""(192726950)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Cd,46,"=""""","=""""","=""0.0521387""","=""0.0000003""","=""""","=""191796300""","=""""","=""""","=""""","=""""","=""""",,"=""[824400]""","=""(192620660)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Cd,46,"=""""","=""""","=""0.0521659""","=""0.0000003""","=""""","=""191696200""","=""""","=""""","=""""","=""""","=""""",,"=""[2628390]""","=""(194324570)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
