element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ce,58,"=""""","=""""","=""0.02896634""","=""0.00000006""","=""""","=""345228300""","=""""","=""1.8485e+07""","=""4.6505e-02""","=""8.8695e-05""","=""-1.03147""",AA,"=""0""","=""345228300""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ce,58,"=""""","=""""","=""0.02908321""","=""0.00000009""","=""""","=""343841000""","=""""","=""1.8226e+07""","=""2.3111e-02""","=""4.4256e-05""","=""-1.33515""",AA,"=""0""","=""343841000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ce,58,"=""""","=""""","=""0.03406766""","=""0.00000004""","=""""","=""293533500""","=""""","=""6.7508e+07""","=""2.3492e-01""","=""5.2695e-04""","=""-0.32805""",AA,"=""0""","=""293533502""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ce,56,"=""""","=""""","=""0.03433856""","=""0.00000017""","=""""","=""291217800""","=""""","=""""","=""""","=""""","=""""",,"=""[1069180]""","=""(292287000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03436224""","=""0.00000017""","=""""","=""291017100""","=""""","=""""","=""""","=""""","=""""",,"=""[1069180]""","=""(292086300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Ce,58,"=""""","=""""","=""0.03461793""","=""0.00000004""","=""""","=""288867600""","=""""","=""7.2126e+07""","=""1.2958e-01""","=""2.9536e-04""","=""-0.58642""",AA,"=""0""","=""288867650""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ce,56,"=""""","=""""","=""0.03480342""","=""0.00000019""","=""""","=""287328100""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""287328100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03482910""","=""0.00000017""","=""""","=""287116200""","=""""","=""""","=""""","=""""","=""""",,"=""[5170780]""","=""(292287000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03483420""","=""0.00000019""","=""""","=""287074200""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""287074200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03485346""","=""0.00000017""","=""""","=""286915500""","=""""","=""""","=""""","=""""","=""""",,"=""[5170780]""","=""(292086300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03487318""","=""0.00000017""","=""""","=""286753300""","=""""","=""""","=""""","=""""","=""""",,"=""[1069180]""","=""(287822500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03487353""","=""0.00000019""","=""""","=""286750400""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""286750400""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03489307""","=""0.00000017""","=""""","=""286589800""","=""""","=""""","=""""","=""""","=""""",,"=""[1069180]""","=""(287659000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03489926""","=""0.00000017""","=""""","=""286539000""","=""""","=""""","=""""","=""""","=""""",,"=""[5170780]""","=""(291709800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03491527""","=""0.00000017""","=""""","=""286407600""","=""""","=""""","=""""","=""""","=""""",,"=""[1069180]""","=""(287476800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03492583""","=""0.00000017""","=""""","=""286321000""","=""""","=""""","=""""","=""""","=""""",,"=""[1069180]""","=""(287390200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03493812""","=""0.00000020""","=""""","=""286220300""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""286220300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03533686""","=""0.00000020""","=""""","=""282990600""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""282990600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03537923""","=""0.00000018""","=""""","=""282651700""","=""""","=""""","=""""","=""""","=""""",,"=""[5170780]""","=""(287822500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03539971""","=""0.00000018""","=""""","=""282488200""","=""""","=""""","=""""","=""""","=""""",,"=""[5170780]""","=""(287659000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03541029""","=""0.00000018""","=""""","=""282403800""","=""""","=""""","=""""","=""""","=""""",,"=""[1069180]""","=""(283473000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03542255""","=""0.00000018""","=""""","=""282306000""","=""""","=""""","=""""","=""""","=""""",,"=""[5170780]""","=""(287476800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03543342""","=""0.00000018""","=""""","=""282219400""","=""""","=""""","=""""","=""""","=""""",,"=""[5170780]""","=""(287390200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03543388""","=""0.00000020""","=""""","=""282215800""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""282215800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03544783""","=""0.00000020""","=""""","=""282104700""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""282104700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03561969""","=""0.00000024""","=""""","=""280743600""","=""""","=""""","=""""","=""""","=""""",,"=""[1069180]""","=""(281812800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Ce,56,"=""""","=""""","=""0.03593216""","=""0.00000018""","=""""","=""278302200""","=""""","=""""","=""""","=""""","=""""",,"=""[5170780]""","=""(283473000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
