element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cl,17,"=""""","=""""","=""0.323142838""","=""0.000000006""","=""""","=""30946067.2""","=""""","=""1.6376e+04""","=""2.5637e-03""","=""5.4546e-05""","=""-2.29011""",AA,"=""0.0""","=""(30946067.22)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cl,17,"=""""","=""""","=""0.327234983""","=""0.000000006""","=""""","=""30559080.0""","=""""","=""2.8677e+04""","=""9.2075e-03""","=""1.9838e-04""","=""-1.73483""",AA,"=""0.0""","=""(30559079.96)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Cl,17,"=""""","=""""","=""0.327256129""","=""0.000000007""","=""""","=""30557105.3""","=""""","=""2.8557e+04""","=""4.5851e-03""","=""9.8796e-05""","=""-2.03762""",AA,"=""0.0""","=""(30557105.32)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cl,17,"=""""","=""""","=""0.335070022""","=""0.000000007""","=""""","=""29844508.1""","=""""","=""5.6885e+04""","=""1.9150e-02""","=""4.2247e-04""","=""-1.41681""",AA,"=""0.0""","=""(29844508.14)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Cl,17,"=""""","=""""","=""0.335113344""","=""0.000000008""","=""""","=""29840650.0""","=""""","=""5.6711e+04""","=""9.5480e-03""","=""2.1067e-04""","=""-1.71906""",AA,"=""0.0""","=""(29840650.0)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cl,17,"=""""","=""""","=""0.353347627""","=""0.000000009""","=""""","=""28300741.9""","=""""","=""1.3949e+05""","=""5.2219e-02""","=""1.2149e-03""","=""-0.98114""",AA,"=""0.0""","=""(28300741.9)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Cl,17,"=""""","=""""","=""0.353461884""","=""0.000000012""","=""""","=""28291593.7""","=""""","=""1.3938e+05""","=""2.6106e-02""","=""6.0756e-04""","=""-1.28223""",AA,"=""0.0""","=""(28291593.7)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cl,17,"=""""","=""""","=""0.418532768""","=""0.000000016""","=""""","=""23892991.8""","=""""","=""5.2143e+05""","=""2.7387e-01""","=""7.5471e-03""","=""-0.26143""",AA,"=""0.0""","=""(23892991.828)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Cl,17,"=""""","=""""","=""0.419074183""","=""0.000000016""","=""""","=""23862123.7""","=""""","=""5.2424e+05""","=""1.3803e-01""","=""3.8086e-03""","=""-0.55900""",AA,"=""0.0""","=""(23862123.70)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cl,15,"=""0.44592""","=""0.00010""","=""0.446009""","=""0.000004""","=""-0.00009""","=""22426000""","=""""","=""""","=""""","=""""","=""""",,"=""[240659]""","=""(22661730)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",2,2,,"=""""","=""L22456,L2560c164""",
Cl,15,"=""0.44637""","=""0.00005""","=""0.446403""","=""0.000004""","=""-0.00003""","=""22403000""","=""""","=""""","=""""","=""""","=""""",,"=""[260453]""","=""(22661730)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2S""","=""1/2""",4,2,,"=""""","=""L22456,L2560c164""",
Cl,15,"=""0.44676""","=""0.00005""","=""0.446677""","=""0.000004""","=""0.00008""","=""22384000""","=""g*""","=""""","=""""","=""""","=""""",,"=""0""","=""22387540""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L22456,L2560c164""",
Cl,15,"=""0.44676""","=""0.00005""","=""0.446760""","=""0.000004""","="" 0.00000""","=""22384000""","=""g*""","=""""","=""""","=""""","=""""",,"=""0""","=""22383380""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L22456,L2560c164""",
Cl,15,"=""0.44829584""","=""0.00000049""","=""0.4482958""","=""0.0000005""","="" 0.0000000""","=""22306698""","=""g""","=""""","=""""","=""""","=""""",,"=""0""","=""22306698""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L22456,L18507""",
Cl,15,"=""""","=""""","=""0.448415""","=""0.000004""","=""""","=""22300760""","=""""","=""""","=""""","=""""","=""""",,"=""[240659]""","=""(22541420)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""3/2""",2,4,,"=""""","=""""",
