element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Co,27,"=""""","=""""","=""0.127358785""","=""0.000000006""","=""""","=""78518337""","=""""","=""1.0309e+05""","=""2.5068e-03""","=""2.1021e-05""","=""-2.29985""",AA,"=""0""","=""78518337.0""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Co,27,"=""""","=""""","=""0.128957973""","=""0.000000005""","=""""","=""77544643""","=""""","=""1.8194e+05""","=""9.0723e-03""","=""7.7032e-05""","=""-1.74125""",AA,"=""0""","=""77544643.1""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Co,27,"=""""","=""""","=""0.128979170""","=""0.000000007""","=""""","=""77531899""","=""""","=""1.7997e+05""","=""4.4886e-03""","=""3.8118e-05""","=""-2.04686""",AA,"=""0""","=""77531899""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Co,27,"=""""","=""""","=""0.132033757""","=""0.000000007""","=""""","=""75738207""","=""""","=""3.6093e+05""","=""1.8866e-02""","=""1.6401e-04""","=""-1.42329""",AA,"=""0""","=""75738207""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Co,27,"=""""","=""""","=""0.132077202""","=""0.000000010""","=""""","=""75713294""","=""""","=""3.5807e+05""","=""9.3644e-03""","=""8.1435e-05""","=""-1.72749""",AA,"=""0""","=""75713294""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Co,26,"=""""","=""""","=""0.13512654""","=""0.00000013""","=""""","=""74004710""","=""""","=""2.92e+05""","=""2.40e-02""","=""1.07e-04""","=""-1.620""",B,"=""0.0""","=""(74004709)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5298interp""","=""""",
Co,26,"=""""","=""""","=""0.13515857""","=""0.00000013""","=""""","=""73987170""","=""""","=""4.0e+04""","=""3.3e-03""","=""1.5e-05""","=""-2.48""",E,"=""0.0""","=""(73987171)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""T5298interp""","=""""",
Co,26,"=""""","=""""","=""0.13825398""","=""0.00000013""","=""""","=""72330650""","=""""","=""5.68e+05""","=""4.88e-02""","=""2.22e-04""","=""-1.311""",B,"=""0.0""","=""(72330649)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5298interp""","=""""",
Co,26,"=""""","=""""","=""0.13831995""","=""0.00000013""","=""""","=""72296150""","=""""","=""7.7e+04""","=""6.6e-03""","=""3.0e-05""","=""-2.18""",E,"=""0.0""","=""(72296152)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",1,3,,"=""T5298interp""","=""""",
Co,27,"=""""","=""""","=""0.139206337""","=""0.000000015""","=""""","=""71835810""","=""""","=""8.8468e+05""","=""5.1403e-02""","=""4.7115e-04""","=""-0.98798""",AA,"=""0""","=""71835810""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Co,27,"=""""","=""""","=""0.139320954""","=""0.000000020""","=""""","=""71776712""","=""""","=""8.8279e+05""","=""2.5689e-02""","=""2.3565e-04""","=""-1.28922""",AA,"=""0""","=""71776712""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Co,26,"=""""","=""""","=""0.14552829""","=""0.00000015""","=""""","=""68715160""","=""""","=""1.42e+06""","=""1.35e-01""","=""6.48e-04""","=""-0.869""",B,"=""0.0""","=""(68715162)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5298interp""","=""""",
Co,26,"=""""","=""""","=""0.14570421""","=""0.00000015""","=""""","=""68632200""","=""""","=""1.9e+05""","=""1.8e-02""","=""8.7e-05""","=""-1.74""",E,"=""0.0""","=""(68632197)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",1,3,,"=""T5298interp""","=""""",
Co,26,"=""""","=""""","=""0.16440""","=""0.00003""","=""""","=""60826000""","=""""","=""""","=""""","=""""","=""""",,"=""(58119738.7)""","=""(118946000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""1S""","=""0""",3,1,,"=""""","=""L11926""",
Co,27,"=""""","=""""","=""0.164730127""","=""0.000000011""","=""""","=""60705350""","=""""","=""3.2967e+06""","=""2.6824e-01""","=""2.9093e-03""","=""-0.27045""",AA,"=""0""","=""60705350.01""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Co,26,"=""""","=""""","=""0.16483""","=""0.00003""","=""""","=""60667000""","=""""","=""1.5e+05""","=""6.1e-03""","=""9.9e-05""","=""-1.74""",D,"=""(57857500.2)""","=""(118525000)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""1P*""","=""1""",3,3,,"=""T3506""","=""L11926""",
Co,26,"=""""","=""""","=""0.16518""","=""0.00003""","=""""","=""60539000""","=""""","=""""","=""""","=""""","=""""",,"=""(58119738.7)""","=""(118659000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""1D""","=""2""",3,5,,"=""""","=""L11926""",
