element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cr,24,"=""""","=""""","=""0.161519182""","=""0.000000004""","=""""","=""61912151.1""","=""""","=""6.4599e+04""","=""2.5266e-03""","=""2.6870e-05""","=""-2.29644""",AA,"=""0.0""","=""(61912151.1)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cr,24,"=""""","=""""","=""0.163553371""","=""0.000000005""","=""""","=""61142120.9""","=""""","=""1.1370e+05""","=""9.1193e-03""","=""9.8204e-05""","=""-1.73901""",AA,"=""0.0""","=""(61142120.9)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Cr,24,"=""""","=""""","=""0.163574550""","=""0.000000005""","=""""","=""61134204.6""","=""""","=""1.1273e+05""","=""4.5220e-03""","=""4.8702e-05""","=""-2.04364""",AA,"=""0.0""","=""(61134204.6)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cr,24,"=""""","=""""","=""0.167459600""","=""0.000000005""","=""""","=""59715895.7""","=""""","=""2.2554e+05""","=""1.8964e-02""","=""2.0910e-04""","=""-1.42103""",AA,"=""0.0""","=""(59715895.7)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Cr,24,"=""""","=""""","=""0.167503001""","=""0.000000009""","=""""","=""59700423""","=""""","=""2.2414e+05""","=""9.4282e-03""","=""1.0398e-04""","=""-1.72454""",AA,"=""0.0""","=""(59700423)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cr,23,"=""""","=""""","=""0.17235631""","=""0.00000015""","=""""","=""58019340""","=""""","=""1.86e+05""","=""2.49e-02""","=""1.41e-04""","=""-1.605""",C+,"=""0.0""","=""(58019343)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5297interp""","=""""",
Cr,23,"=""""","=""""","=""0.17239482""","=""0.00000015""","=""""","=""58006380""","=""""","=""1.6e+04""","=""2.1e-03""","=""1.2e-05""","=""-2.67""",E,"=""0.0""","=""(58006383)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""T5297interp""","=""""",
Cr,23,"=""""","=""""","=""0.17633396""","=""0.00000016""","=""""","=""56710570""","=""""","=""3.68e+05""","=""5.15e-02""","=""2.99e-04""","=""-1.289""",C+,"=""0.0""","=""(56710574)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5297interp""","=""""",
Cr,23,"=""""","=""""","=""0.17641340""","=""0.00000016""","=""""","=""56685040""","=""""","=""3.2e+04""","=""4.5e-03""","=""2.6e-05""","=""-2.35""",E,"=""0.0""","=""(56685038)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",1,3,,"=""T5297interp""","=""""",
Cr,24,"=""""","=""""","=""0.176569908""","=""0.000000010""","=""""","=""56634792""","=""""","=""5.5292e+05""","=""5.1687e-02""","=""6.0090e-04""","=""-0.98559""",AA,"=""0.0""","=""(56634792)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Cr,24,"=""""","=""""","=""0.176684408""","=""0.000000019""","=""""","=""56598090""","=""""","=""5.5200e+05""","=""2.5834e-02""","=""3.0054e-04""","=""-1.28677""",AA,"=""0.0""","=""(56598090)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cr,23,"=""""","=""""","=""0.18558303""","=""0.00000017""","=""""","=""53884240""","=""""","=""8.97e+05""","=""1.39e-01""","=""8.49e-04""","=""-0.857""",C+,"=""0.0""","=""(53884238)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5297interp""","=""""",
Cr,23,"=""""","=""""","=""0.18579563""","=""0.00000018""","=""""","=""53822580""","=""""","=""8.4e+04""","=""1.3e-02""","=""8.0e-05""","=""-1.88""",E,"=""0.0""","=""(53822579)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",1,3,,"=""T5297interp""","=""""",
