element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cs,55,"=""""","=""""","=""0.03239080""","=""0.00000007""","=""""","=""308729600""","=""""","=""1.4984e+07""","=""4.7137e-02""","=""1.0053e-04""","=""-1.02561""",AA,"=""0""","=""308729600""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Cs,55,"=""""","=""""","=""0.03250735""","=""0.00000008""","=""""","=""307622700""","=""""","=""1.4803e+07""","=""2.3452e-02""","=""5.0196e-05""","=""-1.32879""",AA,"=""0""","=""307622700""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cs,55,"=""""","=""""","=""0.03812675""","=""0.00000003""","=""""","=""262283060""","=""""","=""5.4876e+07""","=""2.3918e-01""","=""6.0043e-04""","=""-0.32024""",AA,"=""0""","=""262283063""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Cs,53,"=""""","=""""","=""0.03852508""","=""0.00000019""","=""""","=""259571100""","=""""","=""""","=""""","=""""","=""""",,"=""[991560]""","=""(260562700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Cs,53,"=""""","=""""","=""0.03855399""","=""0.00000019""","=""""","=""259376500""","=""""","=""""","=""""","=""""","=""""",,"=""[991560]""","=""(260368100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Cs,55,"=""""","=""""","=""0.03866687""","=""0.00000003""","=""""","=""258619350""","=""""","=""7.591e+03""","=""1.702e-05""","=""4.332e-08""","=""-4.4681""",,"=""0""","=""258619350""","=""1s""","=""2S""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Cs,55,"=""""","=""""","=""0.03867603""","=""0.00000003""","=""""","=""258558070""","=""""","=""5.8219e+07""","=""1.3056e-01""","=""3.3247e-04""","=""-0.58317""",AA,"=""0""","=""258558070""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cs,54,"=""""","=""""","=""0.03892927""","=""0.00000020""","=""""","=""256876100""","=""""","=""7.24e+07""","=""4.94e-01""","=""6.32e-04""","=""-0.307""",,"=""0""","=""256876129.3""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T6910""","=""L10054""",
Cs,54,"=""""","=""""","=""0.03897388""","=""0.00000020""","=""""","=""256582100""","=""""","=""2.97e+04""","=""3.38e-04""","=""8.96e-03""","=""-3.47""",,"=""0""","=""256582087.7""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",1,5,M2,"=""T6957""","=""L10054""",
Cs,53,"=""""","=""""","=""0.03898485""","=""0.00000021""","=""""","=""256509900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""256509900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Cs,53,"=""""","=""""","=""0.03901405""","=""0.00000020""","=""""","=""256317900""","=""""","=""""","=""""","=""""","=""""",,"=""[4244810]""","=""(260562700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Cs,53,"=""""","=""""","=""0.03901818""","=""0.00000021""","=""""","=""256290800""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""256290800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Cs,53,"=""""","=""""","=""0.03904370""","=""0.00000020""","=""""","=""256123300""","=""""","=""""","=""""","=""""","=""""",,"=""[4244810]""","=""(260368100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Cs,53,"=""""","=""""","=""0.03906424""","=""0.00000021""","=""""","=""255988600""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""255988600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Cs,53,"=""""","=""""","=""0.03906440""","=""0.00000020""","=""""","=""255987500""","=""""","=""""","=""""","=""""","=""""",,"=""[991560]""","=""(256979100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Cs,53,"=""""","=""""","=""0.03908646""","=""0.00000020""","=""""","=""255843000""","=""""","=""""","=""""","=""""","=""""",,"=""[991560]""","=""(256834600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Cs,53,"=""""","=""""","=""0.03909726""","=""0.00000020""","=""""","=""255772400""","=""""","=""""","=""""","=""""","=""""",,"=""[4244810]""","=""(260017200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Cs,53,"=""""","=""""","=""0.03911232""","=""0.00000020""","=""""","=""255673900""","=""""","=""""","=""""","=""""","=""""",,"=""[991560]""","=""(256665500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Cs,53,"=""""","=""""","=""0.03912684""","=""0.00000020""","=""""","=""255579000""","=""""","=""""","=""""","=""""","=""""",,"=""[991560]""","=""(256570600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
