element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cu,29,"=""""","=""""","=""0.110231012""","=""0.000000005""","=""""","=""90718572""","=""""","=""1.3682e+05""","=""2.4923e-03""","=""1.8089e-05""","=""-2.30236""",AA,"=""0""","=""90718572.0""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cu,29,"=""""","=""""","=""0.111612083""","=""0.000000006""","=""""","=""89596034""","=""""","=""2.4198e+05""","=""9.0385e-03""","=""6.6422e-05""","=""-1.74287""",AA,"=""0""","=""89596034.1""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Cu,29,"=""""","=""""","=""0.111633293""","=""0.000000007""","=""""","=""89579011""","=""""","=""2.3894e+05""","=""4.4640e-03""","=""3.2812e-05""","=""-2.04924""",AA,"=""0""","=""89579011""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cu,29,"=""""","=""""","=""0.114271468""","=""0.000000008""","=""""","=""87510909""","=""""","=""4.8002e+05""","=""1.8794e-02""","=""1.4140e-04""","=""-1.42495""",AA,"=""0""","=""87510909""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Cu,29,"=""""","=""""","=""0.114314944""","=""0.000000012""","=""""","=""87477627""","=""""","=""4.7561e+05""","=""9.3178e-03""","=""7.0133e-05""","=""-1.72966""",AA,"=""0""","=""87477627""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cu,28,"=""""","=""""","=""0.11658622""","=""0.00000011""","=""""","=""85773430""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(85773430)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""""","=""L11926""",
Cu,28,"=""""","=""""","=""0.11661556""","=""0.00000011""","=""""","=""85751850""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(85751851)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""""","=""L11926""",
Cu,28,"=""""","=""""","=""0.11928809""","=""0.00000011""","=""""","=""83830660""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(83830665)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""""","=""L11926""",
Cu,28,"=""""","=""""","=""0.11934846""","=""0.00000011""","=""""","=""83788260""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(83788261)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",1,3,,"=""""","=""L11926""",
Cu,29,"=""""","=""""","=""0.120472441""","=""0.000000016""","=""""","=""83006536""","=""""","=""1.1764e+06""","=""5.1195e-02""","=""4.0609e-04""","=""-0.98975""",AA,"=""0""","=""83006536""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Cu,29,"=""""","=""""","=""0.12058716""","=""0.00000003""","=""""","=""82927567""","=""""","=""1.1735e+06""","=""2.5583e-02""","=""2.0312e-04""","=""-1.29102""",AA,"=""0""","=""82927567""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Cu,27,"=""0.1213""","=""0.0002""","=""0.12130""","=""0.00021""","="" 0.0000""","=""82440000""","=""""","=""""","=""""","=""""","=""""",,"=""[651449]""","=""83090000""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).4p""","=""2D""","=""5/2""",4,6,,"=""""","=""L6483""",
Cu,28,"=""""","=""""","=""0.12557338""","=""0.00000013""","=""""","=""79634710""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(79634711)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""""","=""L11926""",
Cu,28,"=""""","=""""","=""0.12573402""","=""0.00000013""","=""""","=""79532970""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(79532969)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",1,3,,"=""""","=""L11926""",
Cu,27,"=""0.1272""","=""0.0002""","=""0.12721""","=""0.00019""","="" 0.0000""","=""78620000""","=""""","=""""","=""""","=""""","=""""",,"=""[651449]""","=""79260000""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2D""","=""5/2""",4,6,,"=""""","=""L6483""",
Cu,28,"=""""","=""""","=""0.14222""","=""0.00003""","=""""","=""70316000""","=""""","=""""","=""""","=""""","=""""",,"=""(67323043.7)""","=""(137639000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""1S""","=""0""",3,1,,"=""""","=""L11926""",
Cu,29,"=""""","=""""","=""0.142526189""","=""0.000000012""","=""""","=""70162544""","=""""","=""4.3805e+06""","=""2.6681e-01""","=""2.5038e-03""","=""-0.27277""",AA,"=""0""","=""70162544.1""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Cu,28,"=""""","=""""","=""0.14262""","=""0.00003""","=""""","=""70116000""","=""""","=""""","=""""","=""""","=""""",,"=""(67035539.3)""","=""(137152000)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""1P*""","=""1""",3,3,,"=""""","=""L11926""",
Cu,28,"=""""","=""""","=""0.14281""","=""0.00003""","=""""","=""70025000""","=""""","=""""","=""""","=""""","=""""",,"=""(67323043.7)""","=""(137348000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""1D""","=""2""",3,5,,"=""""","=""L11926""",
Cu,28,"=""""","=""""","=""0.14294""","=""0.00003""","=""""","=""69961000""","=""""","=""""","=""""","=""""","=""""",,"=""(67678265.8)""","=""(137639000)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""1S""","=""0""",3,1,,"=""""","=""L11926""",
Cu,29,"=""""","=""""","=""0.143069237""","=""0.000000012""","=""""","=""69896228""","=""""","=""4.4502e+06""","=""1.3656e-01""","=""1.2864e-03""","=""-0.56364""",AA,"=""0""","=""69896227.8""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
