element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Db,105,"=""""","=""0.0075649""","=""0.0000005""","=""""","=""1321890000""","=""""","=""1.8142e+08""","=""3.1130e-02""","=""1.5506e-05""","=""-1.20579""",AA,"=""0""","=""1321890000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Db,105,"=""""","=""0.0076898""","=""0.0000009""","=""""","=""1300420000""","=""""","=""1.6066e+08""","=""1.4243e-02""","=""7.2113e-06""","=""-1.54538""",AA,"=""0""","=""1300420000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Db,105,"=""""","=""0.0087023""","=""0.0000009""","=""""","=""1149120000""","=""""","=""6.0942e+08""","=""1.3838e-01""","=""7.9288e-05""","=""-0.55790""",AA,"=""0""","=""1149122000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Db,105,"=""""","=""0.0092812""","=""0.0000010""","=""""","=""1077440000""","=""""","=""7.8993e+08""","=""1.0201e-01""","=""6.2340e-05""","=""-0.69031""",AA,"=""0""","=""1077445000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Db,105,"=""""","=""0.040913""","=""0.000014""","=""""","=""244420000""","=""""","=""8.2117e+07""","=""4.1213e-01""","=""1.1102e-03""","=""-0.08393""",AA,"=""(1077445000)""","=""(1321867600)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Db,105,"=""""","=""0.041190""","=""0.000014""","=""""","=""242780000""","=""""","=""1.5452e+07""","=""7.8607e-02""","=""2.1318e-04""","=""-0.80351""",AA,"=""(1079110000)""","=""(1321890000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Db,105,"=""""","=""0.044726""","=""0.000018""","=""""","=""223580000""","=""""","=""4.1166e+06""","=""1.2346e-02""","=""3.6356e-05""","=""-1.60746""",AA,"=""(1077445000)""","=""(1301030000)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Db,105,"=""""","=""0.04519""","=""0.00003""","=""""","=""221310000""","=""""","=""4.4850e+07""","=""1.3728e-01""","=""4.0843e-04""","=""-0.56135""",AA,"=""(1079110000)""","=""(1300420000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Db,105,"=""""","=""0.05629""","=""0.00003""","=""""","=""177640000""","=""""","=""7.6386e+07""","=""5.4437e-01""","=""4.0355e-03""","=""0.33795""",AA,"=""(1149122000)""","=""(1326759500)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Db,105,"=""""","=""0.05789""","=""0.00003""","=""""","=""172750000""","=""""","=""1.2522e+07""","=""6.2910e-02""","=""4.7956e-04""","=""-0.59922""",AA,"=""(1149122000)""","=""(1321867600)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Db,105,"=""""","=""0.06583""","=""0.00004""","=""""","=""151910000""","=""""","=""1.8000e+07""","=""5.8471e-02""","=""5.0687e-04""","=""-0.63100""",AA,"=""(1149122000)""","=""(1301030000)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Db,105,"=""""","=""0.14283""","=""0.00004""","=""""","=""70012000""","=""""","=""4.1757e+06""","=""2.5543e-01""","=""2.4022e-03""","=""-0.29170""",AA,"=""(1079110000)""","=""(1149122000)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Db,105,"=""""","=""6.01""","=""0.06""","=""""","=""1665000""","=""""","=""""","=""""","=""""","=""""",,"=""(1077445000)""","=""(1079110000)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
