element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Dy,66,"=""""","=""""","=""0.02199974""","=""0.00000008""","=""""","=""454550900""","=""""","=""3.0758e+07""","=""4.4636e-02""","=""6.4656e-05""","=""-1.04929""",AA,"=""0""","=""454550900""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Dy,66,"=""""","=""""","=""0.02211744""","=""0.00000011""","=""""","=""452131900""","=""""","=""3.0126e+07""","=""2.2094e-02""","=""3.2174e-05""","=""-1.35470""",AA,"=""0""","=""452131900""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Dy,66,"=""""","=""""","=""0.02581000""","=""0.00000007""","=""""","=""387446700""","=""""","=""1.1138e+08""","=""2.2247e-01""","=""3.7807e-04""","=""-0.35169""",AA,"=""0""","=""387446660""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Dy,64,"=""""","=""""","=""0.02584228""","=""0.00000015""","=""""","=""386962800""","=""""","=""""","=""""","=""""","=""""",,"=""[1296580]""","=""(388259400)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02585698""","=""0.00000015""","=""""","=""386742800""","=""""","=""""","=""""","=""""","=""""",,"=""[1296580]""","=""(388039400)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02631720""","=""0.00000017""","=""""","=""379979600""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""379979600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02633564""","=""0.00000015""","=""""","=""379713600""","=""""","=""""","=""""","=""""","=""""",,"=""[8545820]""","=""(388259400)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02634269""","=""0.00000017""","=""""","=""379611900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""379611900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02635091""","=""0.00000015""","=""""","=""379493600""","=""""","=""""","=""""","=""""","=""""",,"=""[8545820]""","=""(388039400)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Dy,66,"=""""","=""""","=""0.02636322""","=""0.00000008""","=""""","=""379316300""","=""""","=""1.2155e+08""","=""1.2665e-01""","=""2.1984e-04""","=""-0.59636""",AA,"=""0""","=""379316270""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Dy,64,"=""""","=""""","=""0.02636837""","=""0.00000015""","=""""","=""379242300""","=""""","=""""","=""""","=""""","=""""",,"=""[1296580]""","=""(380538900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02636930""","=""0.00000017""","=""""","=""379228900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""379228900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02638209""","=""0.00000015""","=""""","=""379045000""","=""""","=""""","=""""","=""""","=""""",,"=""[8545820]""","=""(387590800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02638413""","=""0.00000015""","=""""","=""379015700""","=""""","=""""","=""""","=""""","=""""",,"=""[1296580]""","=""(380312300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02639987""","=""0.00000015""","=""""","=""378789700""","=""""","=""""","=""""","=""""","=""""",,"=""[1296580]""","=""(380086300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02640356""","=""0.00000015""","=""""","=""378736800""","=""""","=""""","=""""","=""""","=""""",,"=""[1296580]""","=""(380033400)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02641203""","=""0.00000017""","=""""","=""378615400""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""378615400""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02685367""","=""0.00000017""","=""""","=""372388600""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""372388600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02688222""","=""0.00000016""","=""""","=""371993100""","=""""","=""""","=""""","=""""","=""""",,"=""[8545820]""","=""(380538900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02689861""","=""0.00000016""","=""""","=""371766500""","=""""","=""""","=""""","=""""","=""""",,"=""[8545820]""","=""(380312300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02690911""","=""0.00000016""","=""""","=""371621300""","=""""","=""""","=""""","=""""","=""""",,"=""[1296580]""","=""(372917900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02691497""","=""0.00000016""","=""""","=""371540500""","=""""","=""""","=""""","=""""","=""""",,"=""[8545820]""","=""(380086300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02691880""","=""0.00000016""","=""""","=""371487600""","=""""","=""""","=""""","=""""","=""""",,"=""[8545820]""","=""(380033400)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02692585""","=""0.00000017""","=""""","=""371390300""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""371390300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02693170""","=""0.00000017""","=""""","=""371309700""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""371309700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02705284""","=""0.00000019""","=""""","=""369647000""","=""""","=""""","=""""","=""""","=""""",,"=""[1296580]""","=""(370943600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02744447""","=""0.00000017""","=""""","=""364372100""","=""""","=""""","=""""","=""""","=""""",,"=""[8545820]""","=""(372917900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Dy,64,"=""""","=""""","=""0.02759399""","=""0.00000020""","=""""","=""362398000""","=""""","=""""","=""""","=""""","=""""",,"=""[8545820]""","=""(370943600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Dy,66,"=""""","=""""","=""0.1329252""","=""0.0000014""","=""""","=""75230300""","=""""","=""1.1268e+07""","=""5.9699e-01""","=""5.2249e-03""","=""0.07700""",AA,"=""(379316270)""","=""(454546570)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Dy,66,"=""""","=""""","=""0.133133""","=""0.000003""","=""""","=""75112600""","=""""","=""3.8663e+06""","=""2.0548e-01""","=""1.8012e-03""","=""-0.38621""",AA,"=""(379438300)""","=""(454550900)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Dy,66,"=""""","=""""","=""0.137265""","=""0.000006""","=""""","=""72852000""","=""""","=""4.6888e+05""","=""1.3245e-02""","=""1.1970e-04""","=""-1.57693""",AA,"=""(379316270)""","=""(452168000)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Dy,66,"=""""","=""""","=""0.137564""","=""0.000004""","=""""","=""72693600""","=""""","=""5.0317e+06""","=""1.4275e-01""","=""1.2930e-03""","=""-0.54439""",AA,"=""(379438300)""","=""(452131900)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Dy,66,"=""""","=""""","=""0.1474609""","=""0.0000017""","=""""","=""67814600""","=""""","=""1.2147e+07""","=""5.9397e-01""","=""1.1534e-02""","=""0.37582""",AA,"=""(387446660)""","=""(455261240)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Dy,66,"=""""","=""""","=""0.1490315""","=""0.0000018""","=""""","=""67099900""","=""""","=""2.0128e+06""","=""6.7021e-02""","=""1.3153e-03""","=""-0.57173""",AA,"=""(387446660)""","=""(454546570)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Dy,66,"=""""","=""""","=""0.154509""","=""0.000007""","=""""","=""64721000""","=""""","=""1.4148e+06""","=""2.5317e-02""","=""5.1512e-04""","=""-0.99452""",AA,"=""(387446660)""","=""(452168000)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Dy,64,"=""1.170163""","=""0.000027""","=""1.17016""","=""0.00003""","=""0.00000""","=""8545820""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""8545820""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""3/2""",2,4,,"=""""","=""u57""",
Dy,66,"=""""","=""""","=""1.248695""","=""0.000019""","=""""","=""8008360""","=""""","=""1.9668e+04""","=""9.1950e-02""","=""7.5599e-03""","=""-0.73542""",AA,"=""(379438300)""","=""(387446660)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Dy,64,"=""7.7126""","=""0.0011""","=""7.7126""","=""0.0011""","=""0.0000""","=""1296580""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""1296580""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""1/2""",2,2,,"=""""","=""u57""",
Dy,66,"=""""","=""""","=""81.95""","=""0.08""","=""""","=""122030""","=""""","=""""","=""""","=""""","=""""",,"=""(379316270)""","=""(379438300)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Dy,2,"=""235.691""","=""""","=""""","=""""","=""""","=""42415.5""","=""260""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
Dy,2,"=""238.736""","=""""","=""""","=""""","=""""","=""41874.5""","=""130""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
Dy,2,"=""240.229""","=""""","=""""","=""""","=""""","=""41614.3""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
Dy,2,"=""241.001""","=""""","=""""","=""""","=""""","=""41481.0""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
