element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Er,68,"=""""","=""""","=""0.02062851""","=""0.00000007""","=""""","=""484766100""","=""""","=""3.4585e+07""","=""4.4127e-02""","=""5.9935e-05""","=""-1.05426""",AA,"=""0""","=""484766100""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Er,68,"=""""","=""""","=""0.02074645""","=""0.00000009""","=""""","=""482010100""","=""""","=""3.3805e+07""","=""2.1814e-02""","=""2.9797e-05""","=""-1.36024""",AA,"=""0""","=""482010100""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Er,66,"=""""","=""""","=""0.02417351""","=""0.00000013""","=""""","=""413675900""","=""""","=""""","=""""","=""""","=""""",,"=""[1358680]""","=""(415034600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Er,68,"=""""","=""""","=""0.02418464""","=""0.00000005""","=""""","=""413485600""","=""""","=""1.2494e+08""","=""2.1911e-01""","=""3.4891e-04""","=""-0.35831""",AA,"=""0""","=""413485570""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Er,66,"=""""","=""""","=""0.02418668""","=""0.00000013""","=""""","=""413450700""","=""""","=""""","=""""","=""""","=""""",,"=""[1358680]""","=""(414809400)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02465029""","=""0.00000015""","=""""","=""405675000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""405674700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02466732""","=""0.00000014""","=""""","=""405394700""","=""""","=""""","=""""","=""""","=""""",,"=""[9639880]""","=""(415034600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02467472""","=""0.00000015""","=""""","=""405273000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""405273100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02468103""","=""0.00000014""","=""""","=""405169500""","=""""","=""""","=""""","=""""","=""""",,"=""[9639880]""","=""(414809400)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02469797""","=""0.00000013""","=""""","=""404891500""","=""""","=""""","=""""","=""""","=""""",,"=""[1358680]""","=""(406250200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02469899""","=""0.00000015""","=""""","=""404875000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""404874800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02470955""","=""0.00000014""","=""""","=""404701800""","=""""","=""""","=""""","=""""","=""""",,"=""[9639880]""","=""(414341700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02471301""","=""0.00000013""","=""""","=""404645200""","=""""","=""""","=""""","=""""","=""""",,"=""[1358680]""","=""(406003900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02472761""","=""0.00000013""","=""""","=""404406200""","=""""","=""""","=""""","=""""","=""""",,"=""[1358680]""","=""(405764900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02473018""","=""0.00000013""","=""""","=""404364200""","=""""","=""""","=""""","=""""","=""""",,"=""[1358680]""","=""(405722900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02473786""","=""0.00000015""","=""""","=""404239000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""404238700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Er,68,"=""""","=""""","=""0.02473868""","=""0.00000005""","=""""","=""404225400""","=""""","=""1.3715e+08""","=""1.2583e-01""","=""2.0496e-04""","=""-0.59918""",AA,"=""0""","=""404225360""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Er,66,"=""""","=""""","=""0.02518769""","=""0.00000016""","=""""","=""397019000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""397019400""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02521367""","=""0.00000014""","=""""","=""396610300""","=""""","=""""","=""""","=""""","=""""",,"=""[9639880]""","=""(406250200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02522933""","=""0.00000014""","=""""","=""396364000""","=""""","=""""","=""""","=""""","=""""",,"=""[9639880]""","=""(406003900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02523988""","=""0.00000014""","=""""","=""396198400""","=""""","=""""","=""""","=""""","=""""",,"=""[1358680]""","=""(397557100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02524456""","=""0.00000014""","=""""","=""396125000""","=""""","=""""","=""""","=""""","=""""",,"=""[9639880]""","=""(405764900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02524723""","=""0.00000014""","=""""","=""396083000""","=""""","=""""","=""""","=""""","=""""",,"=""[9639880]""","=""(405722900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02525540""","=""0.00000016""","=""""","=""395955000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""395955000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02525977""","=""0.00000016""","=""""","=""395886000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""395886500""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02537161""","=""0.00000017""","=""""","=""394141000""","=""""","=""""","=""""","=""""","=""""",,"=""[1358680]""","=""(395500000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02577870""","=""0.00000015""","=""""","=""387917200""","=""""","=""""","=""""","=""""","=""""",,"=""[9639880]""","=""(397557100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Er,66,"=""""","=""""","=""0.02591613""","=""0.00000018""","=""""","=""385860000""","=""""","=""""","=""""","=""""","=""""",,"=""[9639880]""","=""(395500000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Er,68,"=""""","=""""","=""0.1241684""","=""0.0000010""","=""""","=""80535800""","=""""","=""1.2772e+07""","=""5.9044e-01""","=""4.8272e-03""","=""0.07221""",AA,"=""(404225360)""","=""(484761120)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Er,68,"=""""","=""""","=""0.1243730""","=""0.0000025""","=""""","=""80403300""","=""""","=""4.3175e+06""","=""2.0025e-01""","=""1.6398e-03""","=""-0.39740""",AA,"=""(404362800)""","=""(484766100)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Er,68,"=""""","=""""","=""0.128491""","=""0.000005""","=""""","=""77827000""","=""""","=""5.3406e+05""","=""1.3219e-02""","=""1.1183e-04""","=""-1.57778""",AA,"=""(404225360)""","=""(482052000)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Er,68,"=""""","=""""","=""0.128787""","=""0.000003""","=""""","=""77647300""","=""""","=""5.7347e+06""","=""1.4260e-01""","=""1.2092e-03""","=""-0.54485""",AA,"=""(404362800)""","=""(482010100)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Er,68,"=""""","=""""","=""0.1387291""","=""0.0000012""","=""""","=""72082900""","=""""","=""1.3677e+07""","=""5.9193e-01""","=""1.0814e-02""","=""0.37433""",AA,"=""(413485570)""","=""(485568510)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Er,68,"=""""","=""""","=""0.1403006""","=""0.0000012""","=""""","=""71275600""","=""""","=""2.2656e+06""","=""6.6859e-02""","=""1.2352e-03""","=""-0.57278""",AA,"=""(413485570)""","=""(484761120)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Er,68,"=""""","=""""","=""0.145844""","=""0.000007""","=""""","=""68566000""","=""""","=""1.6456e+06""","=""2.6238e-02""","=""5.0391e-04""","=""-0.97901""",AA,"=""(413485570)""","=""(482052000)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Er,66,"=""1.037357""","=""0.000023""","=""1.037357""","=""0.000023""","="" 0.000000""","=""9639880""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""9639880""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""3/2""",2,4,,"=""""","=""u57""",
Er,68,"=""""","=""""","=""1.096158""","=""0.000012""","=""""","=""9122770""","=""""","=""2.7213e+04""","=""9.8040e-02""","=""7.0759e-03""","=""-0.70757""",AA,"=""(404362800)""","=""(413485570)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Er,66,"=""7.3601""","=""0.0010""","=""7.3601""","=""0.0010""","=""0.0000""","=""1358680""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""1358680""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""1/2""",2,2,,"=""""","=""u57""",
Er,68,"=""""","=""""","=""72.76""","=""0.05""","=""""","=""137440""","=""""","=""""","=""""","=""""","=""""",,"=""(404225360)""","=""(404362800)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Er,3,"=""216.526""","=""""","=""""","=""""","=""""","=""46169.3""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""219.077""","=""""","=""""","=""""","=""""","=""45631.8""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""219.815""","=""""","=""""","=""""","=""""","=""45478.6""","=""10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""222.398""","=""""","=""""","=""""","=""""","=""44950.4""","=""1""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""223.235""","=""""","=""""","=""""","=""""","=""44781.9""","=""4""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""223.528""","=""""","=""""","=""""","=""""","=""44723.2""","=""60""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""224.560""","=""""","=""""","=""""","=""""","=""44517.7""","=""8""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""225.595""","=""""","=""""","=""""","=""""","=""44313.5""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""226.936""","=""""","=""""","=""""","=""""","=""44051.7""","=""80""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""227.765""","=""""","=""""","=""""","=""""","=""43891.3""","=""600""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""230.919""","=""""","=""""","=""""","=""""","=""43291.9""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,2,"=""235.851""","=""""","=""""","=""""","=""""","=""42386.7""","=""110""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
Er,3,"=""235.869""","=""""","=""""","=""""","=""""","=""42383.5""","=""40""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""235.879""","=""""","=""""","=""""","=""""","=""42381.7""","=""10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""235.933""","=""""","=""""","=""""","=""""","=""42372.0""","=""50""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""236.764""","=""""","=""""","=""""","=""""","=""42223.3""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""237.550""","=""""","=""""","=""""","=""""","=""42083.6""","=""20""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""237.707""","=""""","=""""","=""""","=""""","=""42055.8""","=""10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""238.125""","=""""","=""""","=""""","=""""","=""41981.9""","=""80""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""238.140""","=""""","=""""","=""""","=""""","=""41979.3""","=""20""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""238.175""","=""""","=""""","=""""","=""""","=""41973.1""","=""40""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,2,"=""238.658""","=""""","=""""","=""""","=""""","=""41888.2""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
Er,2,"=""238.717""","=""""","=""""","=""""","=""""","=""41877.8""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
Er,3,"=""239.196""","=""""","=""""","=""""","=""""","=""41794.0""","=""6""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""239.308""","=""""","=""""","=""""","=""""","=""41774.4""","=""60""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""239.360""","=""""","=""""","=""""","=""""","=""41765.4""","=""5""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""239.640""","=""""","=""""","=""""","=""""","=""41716.6""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""239.891""","=""""","=""""","=""""","=""""","=""41672.9""","=""10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""240.275""","=""""","=""""","=""""","=""""","=""41606.3""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""240.458""","=""""","=""""","=""""","=""""","=""41574.7""","=""80""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""241.047""","=""""","=""""","=""""","=""""","=""41473.1""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""241.981""","=""""","=""""","=""""","=""""","=""41313.0""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
Er,3,"=""242.247""","=""""","=""""","=""""","=""""","=""41267.6""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L1925""",
