element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Eu,63,"=""""","=""""","=""0.02430486""","=""0.00000007""","=""""","=""411440400""","=""""","=""2.5613e+07""","=""4.5367e-02""","=""7.2601e-05""","=""-1.04223""",AA,"=""0""","=""411440400""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Eu,63,"=""""","=""""","=""0.02442223""","=""0.00000012""","=""""","=""409463000""","=""""","=""2.5155e+07""","=""2.2494e-02""","=""3.6170e-05""","=""-1.34691""",AA,"=""0""","=""409463000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Eu,63,"=""""","=""""","=""0.02854231""","=""0.00000005""","=""""","=""350357000""","=""""","=""9.3065e+07""","=""2.2733e-01""","=""4.2722e-04""","=""-0.34232""",AA,"=""0""","=""350357022""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Eu,61,"=""""","=""""","=""0.02865031""","=""0.00000016""","=""""","=""349036400""","=""""","=""""","=""""","=""""","=""""",,"=""[1207600]""","=""(350244000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02866774""","=""0.00000016""","=""""","=""348824100""","=""""","=""""","=""""","=""""","=""""",,"=""[1207600]""","=""(350031700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Eu,63,"=""""","=""""","=""0.02909437""","=""0.00000005""","=""""","=""343709100""","=""""","=""1.0072e+08""","=""1.2781e-01""","=""2.4484e-04""","=""-0.59239""",AA,"=""0""","=""343709100""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Eu,61,"=""""","=""""","=""0.02912198""","=""0.00000018""","=""""","=""343383200""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""343383200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02914281""","=""0.00000016""","=""""","=""343137800""","=""""","=""""","=""""","=""""","=""""",,"=""[7106230]""","=""(350244000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02914923""","=""0.00000018""","=""""","=""343062200""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""343062200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02916086""","=""0.00000016""","=""""","=""342925500""","=""""","=""""","=""""","=""""","=""""",,"=""[7106230]""","=""(350031700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02917911""","=""0.00000015""","=""""","=""342710900""","=""""","=""""","=""""","=""""","=""""",,"=""[1207600]""","=""(343918500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02917990""","=""0.00000018""","=""""","=""342701700""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""342701700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02919618""","=""0.00000015""","=""""","=""342510600""","=""""","=""""","=""""","=""""","=""""",,"=""[1207600]""","=""(343718200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02919668""","=""0.00000016""","=""""","=""342504700""","=""""","=""""","=""""","=""""","=""""",,"=""[7106230]""","=""(349610900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02921393""","=""0.00000015""","=""""","=""342302500""","=""""","=""""","=""""","=""""","=""""",,"=""[1207600]""","=""(343510100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02921969""","=""0.00000015""","=""""","=""342235000""","=""""","=""""","=""""","=""""","=""""",,"=""[1207600]""","=""(343442600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02922945""","=""0.00000018""","=""""","=""342120700""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""342120700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02965714""","=""0.00000018""","=""""","=""337186900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""337186900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02969013""","=""0.00000016""","=""""","=""336812300""","=""""","=""""","=""""","=""""","=""""",,"=""[7106230]""","=""(343918500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02970780""","=""0.00000016""","=""""","=""336612000""","=""""","=""""","=""""","=""""","=""""",,"=""[7106230]""","=""(343718200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02971828""","=""0.00000016""","=""""","=""336493200""","=""""","=""""","=""""","=""""","=""""",,"=""[1207600]""","=""(337700800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02972617""","=""0.00000016""","=""""","=""336403900""","=""""","=""""","=""""","=""""","=""""",,"=""[7106230]""","=""(343510100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Eu,61,"=""""","=""""","=""0.02973214""","=""0.00000016""","=""""","=""336336400""","=""""","=""""","=""""","=""""","=""""",,"=""[7106230]""","=""(343442600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
