element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
F,9,"=""""","=""""","=""1.1560326641""","=""0.0000000020""","=""""","=""8650274.607""","=""""","=""1.2947e+03""","=""5.1881e-03""","=""3.9490e-04""","=""-1.98396""",AA,"=""0.000""","=""(8650274.6075)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
F,9,"=""""","=""""","=""1.1560445812""","=""0.0000000020""","=""""","=""8650185.436""","=""""","=""1.2929e+03""","=""2.5905e-03""","=""1.9718e-04""","=""-2.28559""",AA,"=""0.000""","=""(8650185.4365)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
F,9,"=""""","=""""","=""1.1707412454""","=""0.0000000021""","=""""","=""8541597.078""","=""""","=""2.2560e+03""","=""9.2714e-03""","=""7.1468e-04""","=""-1.73182""",AA,"=""0.000""","=""(8541597.0775)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
F,9,"=""""","=""""","=""1.1707623673""","=""0.0000000021""","=""""","=""8541442.977""","=""""","=""2.2534e+03""","=""4.6305e-03""","=""3.5695e-04""","=""-2.03334""",AA,"=""0.000""","=""(8541442.977)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
F,9,"=""""","=""""","=""1.1988212874""","=""0.0000000022""","=""""","=""8341526.886""","=""""","=""4.4750e+03""","=""1.9284e-02""","=""1.5221e-03""","=""-1.41378""",AA,"=""0.000""","=""(8341526.886)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
F,9,"=""""","=""""","=""1.1988645490""","=""0.0000000024""","=""""","=""8341225.878""","=""""","=""4.4712e+03""","=""9.6344e-03""","=""7.6050e-04""","=""-1.71514""",AA,"=""0.000""","=""(8341225.878)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
F,9,"=""""","=""""","=""1.264337379""","=""0.000000003""","=""""","=""7909281.312""","=""""","=""1.0976e+04""","=""5.2607e-02""","=""4.3794e-03""","=""-0.97793""",AA,"=""0.000""","=""(7909281.312)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
F,9,"=""""","=""""","=""1.264451456""","=""0.000000004""","=""""","=""7908567.75""","=""""","=""1.0974e+04""","=""2.6303e-02""","=""2.1899e-03""","=""-1.27896""",AA,"=""0.000""","=""(7908567.746)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
F,8,"=""""","=""""","=""1.3335232""","=""0.0000010""","=""""","=""7498932""","=""""","=""1.904e+03""","=""1.523e-02""","=""6.68e-04""","=""-1.817""",AA,"=""0.0""","=""(7498932.2)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
F,8,"=""""","=""""","=""1.3489205""","=""0.0000010""","=""""","=""7413335""","=""""","=""3.31e+03""","=""2.71e-02""","=""1.201e-03""","=""-1.568""",AA,"=""0.0""","=""(7413335.2)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
F,8,"=""""","=""""","=""1.3781902""","=""0.0000010""","=""""","=""7255892""","=""""","=""6.51e+03""","=""5.56e-02""","=""2.52e-03""","=""-1.255""",AA,"=""0.0""","=""(7255892.4)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
F,8,"=""""","=""""","=""1.4458616""","=""0.0000011""","=""""","=""6916291""","=""""","=""1.573e+04""","=""1.479e-01""","=""7.04e-03""","=""-0.830""",AA,"=""0.0""","=""(6916291.3)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
F,9,"=""""","=""""","=""1.498232850""","=""0.000000005""","=""""","=""6674529.929""","=""""","=""4.1088e+04""","=""2.7654e-01""","=""2.7280e-02""","=""-0.25721""",AA,"=""0.000""","=""(6674529.9291)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
F,9,"=""""","=""""","=""1.498773602""","=""0.000000005""","=""""","=""6672121.783""","=""""","=""4.1150e+04""","=""1.3858e-01""","=""1.3675e-02""","=""-0.55727""",AA,"=""0.000""","=""(6672121.7826)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
F,8,"=""""","=""""","=""1.6806366""","=""0.0000006""","=""""","=""5950126.2""","=""""","=""5.59e+04""","=""7.10e-01""","=""3.93e-02""","=""-0.149""",AA,"=""0.0""","=""(5950126.181)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
F,7,"=""1.6936""","=""0.0003""","=""1.69302""","=""0.00003""","=""0.0006""","=""5904500""","=""*""","=""""","=""""","=""""","=""""",,"=""112264.0""","=""(6018883)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",2,2,,"=""""","=""L22456,L2543c164,L3082c164""",
F,7,"=""1.6936""","=""0.0003""","=""1.69330""","=""0.00003""","=""0.0003""","=""5904500""","=""*""","=""""","=""""","=""""","=""""",,"=""113238.2""","=""(6018883)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2S""","=""1/2""",4,2,,"=""""","=""L22456,L2543c164,L3082c164""",
F,7,"=""1.6965""","=""0.0003""","=""1.696998""","=""0.000010""","=""-0.0005""","=""5894300""","=""*""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(5892759)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L22456,L2543c164,L3082c164,L2714c164""",
F,7,"=""1.6965""","=""0.0003""","=""1.697033""","=""0.000012""","=""-0.0005""","=""5894300""","=""*""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(5892638)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L22456,L2543c164,L3082c164,L2714c164""",
F,7,"=""1.709250""","=""0.000007""","=""1.709250""","=""0.000007""","=""0.000000""","=""5850520""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""5850520""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L23119,L7418,L2543,L5145,L2670,L3082,L627""",
F,7,"=""1.709432""","=""0.000007""","=""1.709432""","=""0.000007""","="" 0.000000""","=""5849895""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""5849895""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L23119,L7418,L2543,L5145,L2670,L3082,L627""",
F,7,"=""1.71177""","=""0.00008""","=""1.711423""","=""0.000008""","=""0.00035""","=""5841900""","=""*""","=""""","=""""","=""""","=""""",,"=""112264.0""","=""(5955354)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""3/2""",2,4,,"=""""","=""L22456,L7418c164,L5145c164,L2543c164,L3082c164,L2670c164,L627""",
F,7,"=""1.71177""","=""0.00008""","=""1.711709""","=""0.000008""","=""0.00006""","=""5841900""","=""*""","=""""","=""""","=""""","=""""",,"=""113238.2""","=""(5955354)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""3/2""",4,4,,"=""""","=""L22456,L7418c164,L5145c164,L2543c164,L3082c164,L2670c164,L627""",
F,7,"=""1.71177""","=""0.00008""","=""1.711719""","=""0.000008""","=""0.00005""","=""5841900""","=""*""","=""""","=""""","=""""","=""""",,"=""112264.0""","=""(5954343)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""1/2""",2,2,,"=""""","=""L22456,L7418c164,L5145c164,L2543c164,L3082c164,L2670c164,L627""",
F,7,"=""1.71177""","=""0.00008""","=""1.712005""","=""0.000008""","=""-0.00023""","=""5841900""","=""*""","=""""","=""""","=""""","=""""",,"=""113238.2""","=""(5954343)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""1/2""",4,2,,"=""""","=""L22456,L7418c164,L5145c164,L2543c164,L3082c164,L2670c164,L627""",
F,7,"=""1.71676""","=""0.00015""","=""1.716636""","=""0.000015""","=""0.00012""","=""5824900""","=""*""","=""""","=""""","=""""","=""""",,"=""112264.0""","=""(5937612)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2D""","=""3/2""",2,4,,"=""""","=""L22456,L2543c164,L3082c164,L2670c164""",
F,7,"=""1.71676""","=""0.00015""","=""1.716923""","=""0.000015""","=""-0.00016""","=""5824900""","=""*""","=""""","=""""","=""""","=""""",,"=""113238.2""","=""(5937612)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""3/2""",4,4,,"=""""","=""L22456,L2543c164,L3082c164,L2670c164""",
