element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Fm,100,"=""""","=""""","=""0.0085525""","=""0.0000004""","=""""","=""1169250000""","=""""","=""1.5217e+08""","=""3.3374e-02""","=""1.8793e-05""","=""-1.17557""",AA,"=""0""","=""1169250000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Fm,100,"=""""","=""""","=""0.0086760""","=""0.0000006""","=""""","=""1152610000""","=""""","=""1.3819e+08""","=""1.5595e-02""","=""8.9085e-06""","=""-1.50599""",AA,"=""0""","=""1152610000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Fm,100,"=""""","=""""","=""0.0098720""","=""0.0000007""","=""""","=""1012970000""","=""""","=""5.1848e+08""","=""1.5151e-01""","=""9.8479e-05""","=""-0.51854""",AA,"=""0""","=""1012965600""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Fm,100,"=""""","=""""","=""0.0104458""","=""0.0000008""","=""""","=""957320000""","=""""","=""6.5161e+08""","=""1.0659e-01""","=""7.3312e-05""","=""-0.67124""",AA,"=""0""","=""957322000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Fm,100,"=""""","=""""","=""0.047190""","=""0.000012""","=""""","=""211910000""","=""""","=""6.6495e+07""","=""4.4399e-01""","=""1.3795e-03""","=""-0.05159""",AA,"=""(957322000)""","=""(1169231900)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Fm,100,"=""""","=""""","=""0.047432""","=""0.000012""","=""""","=""210830000""","=""""","=""1.4400e+07""","=""9.7139e-02""","=""3.0336e-04""","=""-0.71158""",AA,"=""(958420000)""","=""(1169250000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Fm,100,"=""""","=""""","=""0.051104""","=""0.000016""","=""""","=""195680000""","=""""","=""3.2000e+06""","=""1.2529e-02""","=""4.2158e-05""","=""-1.60105""",AA,"=""(957322000)""","=""(1153000000)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Fm,100,"=""""","=""""","=""0.051496""","=""0.000023""","=""""","=""194190000""","=""""","=""3.4831e+07""","=""1.3847e-01""","=""4.6952e-04""","=""-0.55760""",AA,"=""(958420000)""","=""(1152610000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Fm,100,"=""""","=""""","=""0.062403""","=""0.000021""","=""""","=""160250000""","=""""","=""6.3031e+07""","=""5.5197e-01""","=""4.5358e-03""","=""0.34397""",AA,"=""(1012965600)""","=""(1173214400)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Fm,100,"=""""","=""""","=""0.063993""","=""0.000022""","=""""","=""156270000""","=""""","=""1.0352e+07""","=""6.3557e-02""","=""5.3559e-04""","=""-0.59477""",AA,"=""(1012965600)""","=""(1169231900)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Fm,100,"=""""","=""""","=""0.07141""","=""0.00003""","=""""","=""140030000""","=""""","=""1.3519e+07""","=""5.1679e-02""","=""4.8597e-04""","=""-0.68463""",AA,"=""(1012965600)""","=""(1153000000)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Fm,100,"=""""","=""""","=""0.18333""","=""0.00004""","=""""","=""54546000""","=""""","=""2.2747e+06""","=""2.2924e-01""","=""2.7672e-03""","=""-0.33867""",AA,"=""(958420000)""","=""(1012965600)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Fm,98,"=""0.186130""","=""0.000021""","=""0.186130""","=""0.000021""","=""0.000000""","=""53726000""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""53726000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""3/2""",2,4,,"=""""","=""u57""",
Fm,98,"=""3.931""","=""0.008""","=""3.931""","=""0.008""","=""0.000""","=""2544000""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""2544000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""1/2""",2,2,,"=""""","=""u57""",
Fm,100,"=""""","=""""","=""9.11""","=""0.09""","=""""","=""1098000""","=""""","=""""","=""""","=""""","=""""",,"=""(957322000)""","=""(958420000)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
