element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Fr,87,"=""""","=""""","=""0.01192043""","=""0.00000014""","=""""","=""838896000""","=""""","=""9.0124e+07""","=""3.8398e-02""","=""3.0138e-05""","=""-1.11466""",AA,"=""0""","=""838896000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Fr,87,"=""""","=""""","=""0.0120412""","=""0.0000003""","=""""","=""830482000""","=""""","=""8.5409e+07""","=""1.8565e-02""","=""1.4719e-05""","=""-1.43027""",AA,"=""0""","=""830482000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Fr,85,"=""""","=""""","=""0.01360921""","=""0.00000015""","=""""","=""734797000""","=""""","=""""","=""""","=""""","=""""",,"=""[2061300]""","=""(736858000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01361453""","=""0.00000015""","=""""","=""734509000""","=""""","=""""","=""""","=""""","=""""",,"=""[2061300]""","=""(736570500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Fr,87,"=""""","=""""","=""0.01386298""","=""0.00000016""","=""""","=""721346000""","=""""","=""3.1621e+08""","=""1.8221e-01""","=""1.6632e-04""","=""-0.43840""",AA,"=""0""","=""721345620""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Fr,85,"=""""","=""""","=""0.01409449""","=""0.00000016""","=""""","=""709497000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""709497000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01410296""","=""0.00000016""","=""""","=""709071000""","=""""","=""""","=""""","=""""","=""""",,"=""[27787100]""","=""(736858000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01410868""","=""0.00000016""","=""""","=""708783000""","=""""","=""""","=""""","=""""","=""""",,"=""[27787100]""","=""(736570500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01411221""","=""0.00000016""","=""""","=""708606000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""708606100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01412172""","=""0.00000016""","=""""","=""708129000""","=""""","=""""","=""""","=""""","=""""",,"=""[2061300]""","=""(710190400)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01412210""","=""0.00000016""","=""""","=""708110000""","=""""","=""""","=""""","=""""","=""""",,"=""[27787100]""","=""(735897200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01412337""","=""0.00000016""","=""""","=""708046000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""708046300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01413315""","=""0.00000016""","=""""","=""707556000""","=""""","=""""","=""""","=""""","=""""",,"=""[2061300]""","=""(709617800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01413913""","=""0.00000016""","=""""","=""707257000""","=""""","=""""","=""""","=""""","=""""",,"=""[2061300]""","=""(709318200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01414111""","=""0.00000016""","=""""","=""707158000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""707157900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01414122""","=""0.00000016""","=""""","=""707153000""","=""""","=""""","=""""","=""""","=""""",,"=""[2061300]""","=""(709214100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Fr,87,"=""""","=""""","=""0.01442680""","=""0.00000017""","=""""","=""693154000""","=""""","=""3.7207e+08""","=""1.1610e-01""","=""1.1028e-04""","=""-0.63415""",AA,"=""0""","=""693154200""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Fr,85,"=""""","=""""","=""0.01464319""","=""0.00000017""","=""""","=""682911000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""682911200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01465409""","=""0.00000017""","=""""","=""682403000""","=""""","=""""","=""""","=""""","=""""",,"=""[27787100]""","=""(710190400)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01466640""","=""0.00000017""","=""""","=""681831000""","=""""","=""""","=""""","=""""","=""""",,"=""[27787100]""","=""(709617800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01467284""","=""0.00000017""","=""""","=""681531000""","=""""","=""""","=""""","=""""","=""""",,"=""[27787100]""","=""(709318200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01467509""","=""0.00000017""","=""""","=""681427000""","=""""","=""""","=""""","=""""","=""""",,"=""[27787100]""","=""(709214100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01467693""","=""0.00000017""","=""""","=""681341000""","=""""","=""""","=""""","=""""","=""""",,"=""[2061300]""","=""(683402700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Fr,85,"=""""","=""""","=""0.01468213""","=""0.00000017""","=""""","=""681100000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""681100100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
