element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ga,31,"=""""","=""""","=""0.096309301""","=""0.000000007""","=""""","=""103832131""","=""""","=""1.7811e+05""","=""2.4767e-03""","=""1.5705e-05""","=""-2.30509""",AA,"=""0""","=""103832131""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ga,31,"=""""","=""""","=""0.097513076""","=""0.000000007""","=""""","=""102550349""","=""""","=""3.1573e+05""","=""9.0017e-03""","=""5.7796e-05""","=""-1.74464""",AA,"=""0""","=""102550349""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ga,31,"=""""","=""""","=""0.097534300""","=""0.000000008""","=""""","=""102528034""","=""""","=""3.1116e+05""","=""4.4377e-03""","=""2.8499e-05""","=""-2.05181""",AA,"=""0""","=""102528034""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ga,31,"=""""","=""""","=""0.099833993""","=""0.000000009""","=""""","=""100166283""","=""""","=""6.2631e+05""","=""1.8717e-02""","=""1.2303e-04""","=""-1.42674""",AA,"=""0""","=""100166283""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ga,31,"=""""","=""""","=""0.099877498""","=""0.000000012""","=""""","=""100122652""","=""""","=""6.1968e+05""","=""9.2675e-03""","=""6.0945e-05""","=""-1.73201""",AA,"=""0""","=""100122652""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ga,30,"=""""","=""""","=""0.10158365""","=""0.00000009""","=""""","=""98441040""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""98441041""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""""","=""L12180""",
Ga,30,"=""""","=""""","=""0.10161109""","=""0.00000009""","=""""","=""98414450""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""98414452""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""""","=""L12180""",
Ga,30,"=""""","=""""","=""0.10393998""","=""0.00000010""","=""""","=""96209370""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""96209366""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""""","=""L12180""",
Ga,30,"=""""","=""""","=""0.10399641""","=""0.00000010""","=""""","=""96157160""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""96157162""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",1,3,,"=""""","=""L12180""",
Ga,31,"=""""","=""""","=""0.105245198""","=""0.000000015""","=""""","=""95016212""","=""""","=""1.5348e+06""","=""5.0975e-02""","=""3.5323e-04""","=""-0.99161""",AA,"=""0""","=""95016212""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
