element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Gd,64,"=""""","=""""","=""0.02350061""","=""0.00000008""","=""""","=""425520900""","=""""","=""2.7252e+07""","=""4.5127e-02""","=""6.9827e-05""","=""-1.04453""",AA,"=""0""","=""425520900""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Gd,64,"=""""","=""""","=""0.02361812""","=""0.00000011""","=""""","=""423403700""","=""""","=""2.6741e+07""","=""2.2363e-02""","=""3.4775e-05""","=""-1.34945""",AA,"=""0""","=""423403700""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Gd,64,"=""""","=""""","=""0.02758903""","=""0.00000004""","=""""","=""362462900""","=""""","=""9.8908e+07""","=""2.2573e-01""","=""4.1005e-04""","=""-0.34538""",AA,"=""0""","=""362462920""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Gd,62,"=""""","=""""","=""0.02767022""","=""0.00000015""","=""""","=""361399400""","=""""","=""""","=""""","=""""","=""""",,"=""[1236710]""","=""(362636100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02768667""","=""0.00000015""","=""""","=""361184600""","=""""","=""""","=""""","=""""","=""""",,"=""[1236710]""","=""(362421300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Gd,64,"=""""","=""""","=""0.02814147""","=""0.00000005""","=""""","=""355347500""","=""""","=""1.0733e+08""","=""1.2744e-01""","=""2.3612e-04""","=""-0.59368""",AA,"=""0""","=""355347510""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Gd,62,"=""""","=""""","=""0.02814304""","=""0.00000017""","=""""","=""355327700""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""355327700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02816304""","=""0.00000015""","=""""","=""355075400""","=""""","=""""","=""""","=""""","=""""",,"=""[7560740]""","=""(362636100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02816967""","=""0.00000017""","=""""","=""354991700""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""354991700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02818008""","=""0.00000015""","=""""","=""354860600""","=""""","=""""","=""""","=""""","=""""",,"=""[7560740]""","=""(362421300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02819806""","=""0.00000015""","=""""","=""354634300""","=""""","=""""","=""""","=""""","=""""",,"=""[1236710]""","=""(355871000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02819890""","=""0.00000017""","=""""","=""354623700""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""354623700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02821426""","=""0.00000015""","=""""","=""354430700""","=""""","=""""","=""""","=""""","=""""",,"=""[7560740]""","=""(361991400)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02821467""","=""0.00000015""","=""""","=""354425600""","=""""","=""""","=""""","=""""","=""""",,"=""[1236710]""","=""(355662300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02823171""","=""0.00000015""","=""""","=""354211600""","=""""","=""""","=""""","=""""","=""""",,"=""[1236710]""","=""(355448300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02823672""","=""0.00000015""","=""""","=""354148800""","=""""","=""""","=""""","=""""","=""""",,"=""[1236710]""","=""(355385500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02824603""","=""0.00000017""","=""""","=""354032000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""354032000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02867861""","=""0.00000017""","=""""","=""348691900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""348691900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02871004""","=""0.00000016""","=""""","=""348310300""","=""""","=""""","=""""","=""""","=""""",,"=""[7560740]""","=""(355871000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02872725""","=""0.00000016""","=""""","=""348101600""","=""""","=""""","=""""","=""""","=""""",,"=""[7560740]""","=""(355662300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02873775""","=""0.00000016""","=""""","=""347974400""","=""""","=""""","=""""","=""""","=""""",,"=""[1236710]""","=""(349211100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02874492""","=""0.00000016""","=""""","=""347887600""","=""""","=""""","=""""","=""""","=""""",,"=""[7560740]""","=""(355448300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02875011""","=""0.00000016""","=""""","=""347824800""","=""""","=""""","=""""","=""""","=""""",,"=""[7560740]""","=""(355385500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02875588""","=""0.00000017""","=""""","=""347755000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""347755000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02876338""","=""0.00000017""","=""""","=""347664300""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""347664300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02889494""","=""0.00000019""","=""""","=""346081400""","=""""","=""""","=""""","=""""","=""""",,"=""[1236710]""","=""(347318100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02926969""","=""0.00000016""","=""""","=""341650400""","=""""","=""""","=""""","=""""","=""""",,"=""[7560740]""","=""(349211100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Gd,62,"=""""","=""""","=""0.02943277""","=""0.00000020""","=""""","=""339757400""","=""""","=""""","=""""","=""""","=""""",,"=""[7560740]""","=""(347318100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Gd,64,"=""""","=""""","=""0.1425117""","=""0.0000009""","=""""","=""70169700""","=""""","=""9.9073e+06""","=""6.0332e-01""","=""5.6611e-03""","=""0.08157""",AA,"=""(355347510)""","=""(425517200)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Gd,64,"=""""","=""""","=""0.142724""","=""0.000003""","=""""","=""70065200""","=""""","=""3.4473e+06""","=""2.1056e-01""","=""1.9786e-03""","=""-0.37560""",AA,"=""(355455700)""","=""(425520900)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Gd,64,"=""""","=""""","=""0.146866""","=""0.000004""","=""""","=""68089400""","=""""","=""4.1035e+05""","=""1.3270e-02""","=""1.2832e-04""","=""-1.57611""",AA,"=""(355347510)""","=""(423436900)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Gd,64,"=""""","=""""","=""0.147171""","=""0.000004""","=""""","=""67948000""","=""""","=""4.4008e+06""","=""1.4290e-01""","=""1.3847e-03""","=""-0.54394""",AA,"=""(355455700)""","=""(423403700)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Gd,64,"=""""","=""""","=""0.1570238""","=""0.0000010""","=""""","=""63684600""","=""""","=""1.0746e+07""","=""5.9586e-01""","=""1.2321e-02""","=""0.37721""",AA,"=""(362462920)""","=""(426147530)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Gd,64,"=""""","=""""","=""0.1585935""","=""0.0000011""","=""""","=""63054300""","=""""","=""1.7815e+06""","=""6.7177e-02""","=""1.4029e-03""","=""-0.57072""",AA,"=""(362462920)""","=""(425517200)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Gd,64,"=""""","=""""","=""0.164004""","=""0.000005""","=""""","=""60974000""","=""""","=""1.2126e+06""","=""2.4449e-02""","=""5.2803e-04""","=""-1.00967""",AA,"=""(362462920)""","=""(423436900)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Gd,62,"=""1.322622""","=""0.000030""","=""1.32262""","=""0.00003""","=""0.00000""","=""7560740""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""7560740""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""3/2""",2,4,,"=""""","=""u57""",
Gd,64,"=""""","=""""","=""1.427099""","=""0.000016""","=""""","=""7007220""","=""""","=""1.4098e+04""","=""8.6091e-02""","=""8.0894e-03""","=""-0.76401""",AA,"=""(355455700)""","=""(362462920)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
