element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ge,32,"=""""","=""""","=""0.090306292""","=""0.000000007""","=""""","=""110734255""","=""""","=""2.0191e+05""","=""2.4686e-03""","=""1.4678e-05""","=""-2.30652""",AA,"=""0""","=""110734255""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ge,32,"=""""","=""""","=""0.091433615""","=""0.000000007""","=""""","=""109368967""","=""""","=""3.5833e+05""","=""8.9823e-03""","=""5.4075e-05""","=""-1.74558""",AA,"=""0""","=""109368967""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ge,32,"=""""","=""""","=""0.091454845""","=""0.000000008""","=""""","=""109343578""","=""""","=""3.5280e+05""","=""4.4238e-03""","=""2.6639e-05""","=""-2.05317""",AA,"=""0""","=""109343578""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ge,32,"=""""","=""""","=""0.093608581""","=""0.000000009""","=""""","=""106827813""","=""""","=""7.1083e+05""","=""1.8676e-02""","=""1.1511e-04""","=""-1.42769""",AA,"=""0""","=""106827813""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ge,32,"=""""","=""""","=""0.093652110""","=""0.000000011""","=""""","=""106778160""","=""""","=""7.0278e+05""","=""9.2409e-03""","=""5.6982e-05""","=""-1.73326""",AA,"=""0""","=""106778160""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ge,32,"=""""","=""""","=""0.098679228""","=""0.000000024""","=""""","=""101338450""","=""""","=""1.7418e+06""","=""5.0855e-02""","=""3.3042e-04""","=""-0.99263""",AA,"=""0""","=""101338450""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ge,32,"=""""","=""""","=""0.09879410""","=""0.00000003""","=""""","=""101220620""","=""""","=""1.7364e+06""","=""2.5408e-02""","=""1.6527e-04""","=""-1.29400""",AA,"=""0""","=""101220620""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ge,32,"=""""","=""""","=""0.116696126""","=""0.000000014""","=""""","=""85692648""","=""""","=""6.4770e+06""","=""2.6447e-01""","=""2.0321e-03""","=""-0.27659""",AA,"=""0""","=""85692647.7""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ge,32,"=""""","=""""","=""0.117239701""","=""0.000000014""","=""""","=""85295339""","=""""","=""6.6034e+06""","=""1.3607e-01""","=""1.0504e-03""","=""-0.56520""",AA,"=""0""","=""85295338.7""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
