obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""91.2323660""","=""0.0000008""","=""""","=""109610.2232""","=""""","=""1.2258e-06""","=""2.4474e-05""","=""1.4701e-04""","=""-4.31027""",AAA,"=""0.0000000000""","=""[109610.2232]""","=""1s""","=""2S""","=""1/2""","=""40""","=""""","=""""",2,3200,,"=""T8637""","=""""",
"=""""","=""""","=""91.2353295""","=""0.0000008""","=""""","=""109606.6628""","=""""","=""1.3913e-06""","=""2.6407e-05""","=""1.5863e-04""","=""-4.27724""",AAA,"=""0.0000000000""","=""[109606.6628]""","=""1s""","=""2S""","=""1/2""","=""39""","=""""","=""""",2,3042,,"=""T8637""","=""""",
"=""""","=""""","=""91.2385303""","=""0.0000008""","=""""","=""109602.8177""","=""""","=""1.5843e-06""","=""2.8550e-05""","=""1.7151e-04""","=""-4.24336""",AAA,"=""0.0000000000""","=""[109602.8177]""","=""1s""","=""2S""","=""1/2""","=""38""","=""""","=""""",2,2888,,"=""T8637""","=""""",
"=""""","=""""","=""91.2419943""","=""0.0000008""","=""""","=""109598.6566""","=""""","=""1.8103e-06""","=""3.0931e-05""","=""1.8582e-04""","=""-4.20857""",AAA,"=""0.0000000000""","=""[109598.6566]""","=""1s""","=""2S""","=""1/2""","=""37""","=""""","=""""",2,2738,,"=""T8637""","=""""",
"=""""","=""""","=""91.2457513""","=""0.0000008""","=""""","=""109594.1439""","=""""","=""2.0762e-06""","=""3.3585e-05""","=""2.0177e-04""","=""-4.17283""",AAA,"=""0.0000000000""","=""[109594.1439]""","=""1s""","=""2S""","=""1/2""","=""36""","=""""","=""""",2,2592,,"=""T8637""","=""""",
"=""""","=""""","=""91.2498352""","=""0.0000008""","=""""","=""109589.2390""","=""""","=""2.3903e-06""","=""3.6551e-05""","=""2.1960e-04""","=""-4.13607""",AAA,"=""0.0000000000""","=""[109589.2390]""","=""1s""","=""2S""","=""1/2""","=""35""","=""""","=""""",2,2450,,"=""T8637""","=""""",
"=""""","=""""","=""91.2542852""","=""0.0000008""","=""""","=""109583.8949""","=""""","=""2.7631e-06""","=""3.9877e-05""","=""2.3960e-04""","=""-4.09825""",AAA,"=""0.0000000000""","=""[109583.8949]""","=""1s""","=""2S""","=""1/2""","=""34""","=""""","=""""",2,2312,,"=""T8637""","=""""",
"=""""","=""""","=""91.2591463""","=""0.0000008""","=""""","=""109578.0577""","=""""","=""3.2081e-06""","=""4.3619e-05""","=""2.6210e-04""","=""-4.05929""",AAA,"=""0.0000000000""","=""[109578.0577]""","=""1s""","=""2S""","=""1/2""","=""33""","=""""","=""""",2,2178,,"=""T8637""","=""""",
"=""""","=""""","=""91.2644709""","=""0.0000008""","=""""","=""109571.6647""","=""""","=""3.7418e-06""","=""4.7845e-05""","=""2.8751e-04""","=""-4.01913""",AAA,"=""0.0000000000""","=""[109571.6647]""","=""1s""","=""2S""","=""1/2""","=""32""","=""""","=""""",2,2048,,"=""T8637""","=""""",
"=""""","=""""","=""91.2703197""","=""0.0000008""","=""""","=""109564.6431""","=""""","=""4.3857e-06""","=""5.2635e-05""","=""3.1631e-04""","=""-3.97769""",AAA,"=""0.0000000000""","=""[109564.6431]""","=""1s""","=""2S""","=""1/2""","=""31""","=""""","=""""",2,1922,,"=""T8637""","=""""",
"=""""","=""""","=""91.2767639""","=""0.0000008""","=""""","=""109556.9077""","=""""","=""5.1673e-06""","=""5.8087e-05""","=""3.4910e-04""","=""-3.93489""",AAA,"=""0.0000000000""","=""[109556.9077]""","=""1s""","=""2S""","=""1/2""","=""30""","=""""","=""""",2,1800,,"=""T8637""","=""""",
"=""""","=""""","=""91.2838873""","=""0.0000008""","=""""","=""109548.3584""","=""""","=""6.1221e-06""","=""6.4319e-05""","=""3.8658e-04""","=""-3.89063""",AAA,"=""0.0000000000""","=""[109548.3584]""","=""1s""","=""2S""","=""1/2""","=""29""","=""""","=""""",2,1682,,"=""T8637""","=""""",
"=""""","=""""","=""91.2917887""","=""0.0000008""","=""""","=""109538.8768""","=""""","=""7.2967e-06""","=""7.1476e-05""","=""4.2963e-04""","=""-3.84481""",AAA,"=""0.0000000000""","=""[109538.8768]""","=""1s""","=""2S""","=""1/2""","=""28""","=""""","=""""",2,1568,,"=""T8637""","=""""",
