element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
He,2,"=""""","=""""","=""23.4347160426""","=""0.0000000005""","=""""","=""426717.353085""","=""""","=""3.1586e+00""","=""5.2012e-03""","=""8.0254e-03""","=""-1.98287""",AA,"=""0.0000""","=""(426717.3530854)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""23.4347279561""","=""0.0000000005""","=""""","=""426717.136155""","=""""","=""3.1583e+00""","=""2.6003e-03""","=""4.0123e-03""","=""-2.28394""",AA,"=""0.0000""","=""(426717.1361554)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""23.7330663920""","=""0.0000000005""","=""""","=""421353.053787""","=""""","=""5.5036e+00""","=""9.2948e-03""","=""1.4524e-02""","=""-1.73073""",AA,"=""0.0000""","=""(421353.05378699)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""23.7330875061""","=""0.0000000005""","=""""","=""421352.678931""","=""""","=""5.5033e+00""","=""4.6472e-03""","=""7.2618e-03""","=""-2.03178""",AA,"=""0.0000""","=""(421352.6789311)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""24.3026444338""","=""0.0000000005""","=""""","=""411477.854899""","=""""","=""1.0917e+01""","=""1.9332e-02""","=""3.0935e-02""","=""-1.41268""",AA,"=""0.0000""","=""(411477.8548989)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""24.3026876757""","=""0.0000000005""","=""""","=""411477.122755""","=""""","=""1.0917e+01""","=""9.6662e-03""","=""1.5467e-02""","=""-1.71371""",AA,"=""0.0000""","=""(411477.1227550)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""25.6316562565""","=""0.0000000005""","=""""","=""390142.560431""","=""""","=""2.6778e+01""","=""5.2749e-02""","=""8.9022e-02""","=""-0.97676""",AA,"=""0.0000""","=""(390142.5604306)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""25.6317702737""","=""0.0000000005""","=""""","=""390140.824970""","=""""","=""2.6777e+01""","=""2.6374e-02""","=""4.4510e-02""","=""-1.27780""",AA,"=""0.0000""","=""(390140.8249696)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""30.3780409484""","=""0.0000000011""","=""""","=""329185.151109""","=""""","=""1.0029e+02""","=""2.7751e-01""","=""5.5507e-01""","=""-0.25569""",AA,"=""0.0000""","=""(329185.15110923)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""30.3785814724""","=""0.0000000011""","=""""","=""329179.293941""","=""""","=""1.0030e+02""","=""1.3878e-01""","=""2.7758e-01""","=""-0.55666""",AA,"=""0.0000""","=""(329179.2939406)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
He,1,"=""32.02926""","=""0.00010""","=""32.02935""","=""0.00012""","=""-0.00009""","=""312214.5""","=""10*""","=""""","=""""","=""""","=""""",,"=""[169087.82825101]""","=""481301.5""","=""1s.2p""","=""3P*""","=""0""","=""2p2""","=""3P""","=""0,1,2""",1,9,,"=""""","=""L1341""",
He,1,"=""32.02926""","=""0.00010""","=""32.02925""","=""0.00012""","=""0.00001""","=""312214.5""","=""10*""","=""""","=""""","=""""","=""""",,"=""[169086.84033581]""","=""481301.5""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""0,1,2""",3,9,,"=""""","=""L1341""",
He,1,"=""32.02926""","=""0.00010""","=""32.02924""","=""0.00012""","=""0.00002""","=""312214.5""","=""10*""","=""""","=""""","=""""","=""""",,"=""[169086.76391031]""","=""481301.5""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""0,1,2""",5,9,,"=""""","=""L1341""",
He,1,"=""50.561""","=""0.006""","=""50.5500354""","=""0.0000003""","=""0.011""","=""197781""","=""2""","=""""","=""""","=""""","=""""",,"=""[0.0000]""","=""[197823.798226967]""","=""1s2""","=""1S""","=""0""","=""1s.15p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
He,1,"=""50.575""","=""0.006""","=""50.5684333""","=""0.0000003""","=""0.007""","=""197726""","=""3""","=""""","=""""","=""""","=""""",,"=""[0.0000]""","=""[197751.825621340]""","=""1s2""","=""1S""","=""0""","=""1s.14p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
He,1,"=""50.590""","=""0.006""","=""50.5912527""","=""0.0000003""","=""-0.001""","=""197668""","=""4""","=""""","=""""","=""""","=""""",,"=""[0.0000]""","=""[197662.628889776]""","=""1s2""","=""1S""","=""0""","=""1s.13p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
He,1,"=""50.631""","=""0.006""","=""50.6200349""","=""0.0000003""","=""0.011""","=""197507""","=""5""","=""""","=""""","=""""","=""""",,"=""[0.0000]""","=""[197550.239243971]""","=""1s2""","=""1S""","=""0""","=""1s.12p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
He,1,"=""50.656""","=""0.002""","=""50.6570577""","=""0.0000003""","=""-0.0011""","=""197410""","=""7""","=""""","=""""","=""""","=""""",,"=""[0.0000]""","=""[197405.859192068]""","=""1s2""","=""1S""","=""0""","=""1s.11p""","=""1P*""","=""1""",1,3,,"=""""","=""L14922""",
He,1,"=""50.708""","=""0.002""","=""50.7058027""","=""0.0000003""","=""0.0022""","=""197208""","=""10""","=""1.5929e-01""","=""1.8420e-03""","=""3.0748e-03""","=""-2.73472""",AAA,"=""[0.0000]""","=""[197216.086955998]""","=""1s2""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
He,1,"=""50.771""","=""0.002""","=""50.7718102""","=""0.0000003""","=""-0.0008""","=""196963""","=""15""","=""2.1826e-01""","=""2.5304e-03""","=""4.2296e-03""","=""-2.59680""",AAA,"=""[0.0000]""","=""[196959.69020989]""","=""1s2""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
He,1,"=""50.863""","=""0.002""","=""50.8643383""","=""0.0000003""","=""-0.0013""","=""196607""","=""20""","=""3.1031e-01""","=""3.6108e-03""","=""6.0463e-03""","=""-2.44240""",AAA,"=""[0.0000]""","=""[196601.39764087]""","=""1s2""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
He,1,"=""50.997""","=""0.002""","=""50.9998300""","=""0.0000003""","=""-0.0028""","=""196090""","=""25""","=""4.6224e-01""","=""5.4073e-03""","=""9.0788e-03""","=""-2.26702""",AAA,"=""[0.0000]""","=""[196079.08496364]""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
He,1,"=""""","=""""","=""51.0132995""","=""0.0000003""","=""""","=""196027.3124""","=""""","=""1.07e-10""","=""2.09e-12""","=""1.24e-01""","=""-11.68""",C,"=""[0.0000]""","=""[196027.3124205]""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
He,1,"=""51.207""","=""0.002""","=""51.2098570""","=""0.0000003""","=""-0.0029""","=""195286""","=""35""","=""7.3174e-01""","=""8.6306e-03""","=""1.4550e-02""","=""-2.06396""",AAA,"=""[0.0000]""","=""[195274.90585994]""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
He,1,"=""""","=""""","=""51.2135649""","=""0.0000003""","=""""","=""195260.7679""","=""""","=""2.6480e-06""","=""5.2061e-08""","=""4.1650e-02""","=""-7.2835""",AAA,"=""[0.0000]""","=""[195260.76790341]""","=""1s2""","=""1S""","=""0""","=""1s.6d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
He,1,"=""""","=""""","=""51.2314135""","=""0.0000003""","=""""","=""195192.7404""","=""""","=""1.53e-10""","=""3.01e-12""","=""1.81e-01""","=""-11.52""",C,"=""[0.0000]""","=""[195192.7403680]""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
He,1,"=""51.5596""","=""0.002""","=""51.5616849""","=""0.0000003""","=""-0.0021""","=""193950""","=""50""","=""1.2582e+00""","=""1.5045e-02""","=""2.5538e-02""","=""-1.82262""",AAA,"=""[0.0000]""","=""[193942.45968763]""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
He,1,"=""""","=""""","=""51.5681122""","=""0.0000003""","=""""","=""193918.2873""","=""""","=""4.3136e-06""","=""8.5986e-08""","=""7.0229e-02""","=""-7.0656""",AAA,"=""[0.0000]""","=""[193918.28729754]""","=""1s2""","=""1S""","=""0""","=""1s.5d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
He,1,"=""""","=""""","=""51.5993995""","=""0.0000003""","=""""","=""193800.7050""","=""""","=""2.64e-10""","=""5.27e-12""","=""3.24e-01""","=""-11.28""",C,"=""[0.0000]""","=""[193800.7049900]""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
He,1,"=""52.2186""","=""0.002""","=""52.2213093""","=""0.0000003""","=""-0.0027""","=""191503""","=""100""","=""2.4356e+00""","=""2.9873e-02""","=""5.1357e-02""","=""-1.52472""",AAA,"=""[0.0000]""","=""[191492.7093035]""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
He,1,"=""""","=""""","=""52.2339267""","=""0.0000003""","=""""","=""191446.4531""","=""""","=""7.4848e-06""","=""1.5308e-07""","=""1.2993e-01""","=""-6.8151""",AAA,"=""[0.0000]""","=""[191446.45313936]""","=""1s2""","=""1S""","=""0""","=""1s.4d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
He,1,"=""""","=""""","=""52.2965949""","=""0.0000003""","=""""","=""191217.0384""","=""""","=""5.2e-10""","=""1.1e-11""","=""6.8e-01""","=""-11.0""",C,"=""[0.0000]""","=""[191217.0383609]""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
He,1,"=""53.70293""","=""0.00005""","=""53.7029926""","=""0.0000003""","=""-0.00006""","=""186209.58""","=""400""","=""5.6634e+00""","=""7.3460e-02""","=""1.2988e-01""","=""-1.13395""",AAA,"=""[0.0000]""","=""[186209.3623329]""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L551""",
He,1,"=""""","=""""","=""53.7331180""","=""0.0000003""","=""""","=""186104.9641""","=""""","=""1.299e-05""","=""2.811e-07""","=""2.597e-01""","=""-6.551""",AA,"=""[0.0000]""","=""[186104.96409510]""","=""1s2""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
He,1,"=""""","=""""","=""53.8896007""","=""0.0000003""","=""""","=""185564.5593""","=""""","=""1.21e-09""","=""2.63e-11""","=""1.84e+00""","=""-10.58""",C,"=""[0.0000]""","=""[185564.55932651]""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
He,1,"=""58.43339""","=""0.00005""","=""58.4334366""","=""0.0000004""","=""-0.00005""","=""171135.03""","=""1000""","=""1.7989e+01""","=""2.7625e-01""","=""5.3143e-01""","=""-0.55869""",AAA,"=""[0.0000]""","=""[171134.894441]""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L551""",
