element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Hf,72,"=""""","=""""","=""0.01821845""","=""0.00000010""","=""""","=""548894000""","=""""","=""4.3267e+07""","=""4.3059e-02""","=""5.1651e-05""","=""-1.06491""",AA,"=""0""","=""548894000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Hf,72,"=""""","=""""","=""0.01833692""","=""0.00000011""","=""""","=""545348000""","=""""","=""4.2096e+07""","=""2.1220e-02""","=""2.5620e-05""","=""-1.37222""",AA,"=""0""","=""545348000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Hf,70,"=""""","=""""","=""0.02124365""","=""0.00000013""","=""""","=""470729000""","=""""","=""""","=""""","=""""","=""""",,"=""[1490030]""","=""(472219000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Hf,70,"=""""","=""""","=""0.02125434""","=""0.00000013""","=""""","=""470492000""","=""""","=""""","=""""","=""""","=""""",,"=""[1490030]""","=""(471982100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Hf,72,"=""""","=""""","=""0.02132792""","=""0.00000006""","=""""","=""468869100""","=""""","=""1.5551e+08""","=""2.1210e-01""","=""2.9785e-04""","=""-0.37242""",AA,"=""0""","=""468869070""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Hf,70,"=""""","=""""","=""0.02172348""","=""0.00000014""","=""""","=""460332000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""460331500""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Hf,70,"=""""","=""""","=""0.02173803""","=""0.00000013""","=""""","=""460023000""","=""""","=""""","=""""","=""""","=""""",,"=""[12195710]""","=""(472219000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Hf,70,"=""""","=""""","=""0.02174604""","=""0.00000014""","=""""","=""459854000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""459853900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Hf,70,"=""""","=""""","=""0.02174923""","=""0.00000013""","=""""","=""459786000""","=""""","=""""","=""""","=""""","=""""",,"=""[12195710]""","=""(471982100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
