element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Hg,80,"=""""","=""""","=""0.01442752""","=""0.00000011""","=""""","=""693120000""","=""""","=""6.5226e+07""","=""4.0709e-02""","=""3.8671e-05""","=""-1.08928""",AA,"=""0""","=""693120000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Hg,80,"=""""","=""""","=""0.01454713""","=""0.00000019""","=""""","=""687421000""","=""""","=""6.2709e+07""","=""1.9895e-02""","=""1.9056e-05""","=""-1.40023""",AA,"=""0""","=""687421000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Hg,78,"=""""","=""""","=""0.01664403""","=""0.00000011""","=""""","=""600816000""","=""""","=""""","=""""","=""""","=""""",,"=""[1781630]""","=""(602597800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Hg,78,"=""""","=""""","=""0.01665130""","=""0.00000011""","=""""","=""600554000""","=""""","=""""","=""""","=""""","=""""",,"=""[1781630]""","=""(602335300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Hg,80,"=""""","=""""","=""0.01683444""","=""0.00000007""","=""""","=""594020000""","=""""","=""2.3169e+08""","=""1.9687e-01""","=""2.1822e-04""","=""-0.40479""",AA,"=""0""","=""594020250""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Hg,78,"=""0.017127""","=""0.000004""","=""0.01712777""","=""0.00000013""","=""-0.000001""","=""583860000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""583847200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""L22456,L8935""",
Hg,78,"=""""","=""""","=""0.01713859""","=""0.00000012""","=""""","=""583479000""","=""""","=""""","=""""","=""""","=""""",,"=""[19119200]""","=""(602597800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Hg,78,"=""""","=""""","=""0.01714630""","=""0.00000012""","=""""","=""583216000""","=""""","=""""","=""""","=""""","=""""",,"=""[19119200]""","=""(602335300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Hg,78,"=""""","=""""","=""0.01714741""","=""0.00000013""","=""""","=""583178000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""583178400""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Hg,78,"=""0.017162""","=""0.000004""","=""0.01716060""","=""0.00000012""","=""0.000001""","=""582670000""","=""""","=""""","=""""","=""""","=""""",,"=""[1781630]""","=""(584512000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""L22456,L8935""",
Hg,78,"=""""","=""""","=""0.01716201""","=""0.00000013""","=""""","=""582682000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""582682200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Hg,78,"=""0.017164""","=""0.000004""","=""0.01716372""","=""0.00000012""","=""0.000000""","=""582630000""","=""""","=""""","=""""","=""""","=""""",,"=""[19119200]""","=""(601743600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""L22456,L8935""",
Hg,78,"=""""","=""""","=""0.01717283""","=""0.00000012""","=""""","=""582315000""","=""""","=""""","=""""","=""""","=""""",,"=""[1781630]""","=""(584096700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Hg,78,"=""0.017180""","=""0.000004""","=""0.01718267""","=""0.00000012""","=""-0.000003""","=""582080000""","=""""","=""""","=""""","=""""","=""""",,"=""[1781630]""","=""(583763200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""L22456,L8935""",
Hg,78,"=""""","=""""","=""0.01718143""","=""0.00000012""","=""""","=""582024000""","=""""","=""""","=""""","=""""","=""""",,"=""[1781630]""","=""(583805300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Hg,78,"=""""","=""""","=""0.01718522""","=""0.00000013""","=""""","=""581895000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""581895300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Hg,80,"=""""","=""""","=""0.01739415""","=""0.00000008""","=""""","=""574906000""","=""""","=""2.6490e+08""","=""1.2016e-01""","=""1.3761e-04""","=""-0.61923""",AA,"=""0""","=""574906000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Hg,78,"=""0.017673""","=""0.000004""","=""0.01767181""","=""0.00000013""","=""0.000001""","=""565840000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""565873000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""L22456,L8935""",
Hg,78,"=""""","=""""","=""0.01768682""","=""0.00000013""","=""""","=""565393000""","=""""","=""""","=""""","=""""","=""""",,"=""[19119200]""","=""(584512000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Hg,78,"=""""","=""""","=""0.01769982""","=""0.00000013""","=""""","=""564978000""","=""""","=""""","=""""","=""""","=""""",,"=""[19119200]""","=""(584096700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Hg,78,"=""0.017707""","=""0.000004""","=""0.01771027""","=""0.00000013""","=""-0.000003""","=""564740000""","=""""","=""""","=""""","=""""","=""""",,"=""[19119200]""","=""(583763200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""L22456,L8935""",
Hg,78,"=""""","=""""","=""0.01770895""","=""0.00000013""","=""""","=""564686000""","=""""","=""""","=""""","=""""","=""""",,"=""[19119200]""","=""(583805300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Hg,78,"=""""","=""""","=""0.01771046""","=""0.00000013""","=""""","=""564638000""","=""""","=""""","=""""","=""""","=""""",,"=""[1781630]""","=""(566419700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Hg,78,"=""""","=""""","=""0.01771939""","=""0.00000014""","=""""","=""564353000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""564353400""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Hg,78,"=""""","=""""","=""0.01772097""","=""0.00000014""","=""""","=""564303000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""564303300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""""",
Hg,78,"=""0.017793""","=""0.000004""","=""0.01779205""","=""0.00000015""","=""0.000001""","=""562020000""","=""""","=""""","=""""","=""""","=""""",,"=""[1781630]""","=""(563830300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""L22456,L8935""",
Hg,78,"=""""","=""""","=""0.01827150""","=""0.00000013""","=""""","=""547300000""","=""""","=""""","=""""","=""""","=""""",,"=""[19119200]""","=""(566419700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Hg,78,"=""""","=""""","=""0.01835836""","=""0.00000016""","=""""","=""544711000""","=""""","=""""","=""""","=""""","=""""",,"=""[19119200]""","=""(563830300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Hg,80,"=""""","=""""","=""0.0845990""","=""0.0000013""","=""""","=""118204700""","=""""","=""2.5412e+07""","=""5.4534e-01""","=""3.0376e-03""","=""0.03769""",AA,"=""(574906000)""","=""(693110700)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Hg,80,"=""""","=""""","=""0.084792""","=""0.000004""","=""""","=""117935000""","=""""","=""7.6835e+06""","=""1.6564e-01""","=""9.2475e-04""","=""-0.47981""",AA,"=""(575184700)""","=""(693120000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Hg,80,"=""""","=""""","=""0.088806""","=""0.000006""","=""""","=""112605000""","=""""","=""1.1020e+06""","=""1.3030e-02""","=""7.6187e-05""","=""-1.58404""",AA,"=""(574906000)""","=""(687511000)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Hg,80,"=""""","=""""","=""0.089098""","=""0.000007""","=""""","=""112236000""","=""""","=""1.1888e+07""","=""1.4148e-01""","=""8.2998e-04""","=""-0.54827""",AA,"=""(575184700)""","=""(687421000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Hg,80,"=""""","=""""","=""0.0993403""","=""0.0000018""","=""""","=""100664000""","=""""","=""2.6077e+07""","=""5.7870e-01""","=""7.5704e-03""","=""0.36452""",AA,"=""(594020250)""","=""(694684300)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Hg,80,"=""""","=""""","=""0.1009179""","=""0.0000018""","=""""","=""99090400""","=""""","=""4.3083e+06""","=""6.5780e-02""","=""8.7418e-04""","=""-0.57984""",AA,"=""(594020250)""","=""(693110700)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Hg,80,"=""""","=""""","=""0.106962""","=""0.000009""","=""""","=""93491000""","=""""","=""3.8553e+06""","=""3.3064e-02""","=""4.6571e-04""","=""-0.87859""",AA,"=""(594020250)""","=""(687511000)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Hg,78,"=""0.523034""","=""0.000007""","=""0.523034""","=""0.000007""","="" 0.000000""","=""19119200""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""19119200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""3/2""",2,4,,"=""""","=""u57""",
Hg,80,"=""""","=""""","=""0.530911""","=""0.000009""","=""""","=""18835600""","=""""","=""1.6517e+05""","=""1.3959e-01""","=""4.8795e-03""","=""-0.55412""",AA,"=""(575184700)""","=""(594020250)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Hg,78,"=""5.6128""","=""0.0008""","=""5.6128""","=""0.0008""","="" 0.0000""","=""1781630""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""1781630""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""1/2""",2,2,,"=""""","=""u57""",
Hg,80,"=""""","=""""","=""35.88""","=""0.04""","=""""","=""278700""","=""""","=""""","=""""","=""""","=""""",,"=""(574906000)""","=""(575184700)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
Hg,3,"=""62.144""","=""""","=""""","=""""","=""""","=""160920""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3332""",
Hg,3,"=""67.968""","=""""","=""""","=""""","=""""","=""147128""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3332""",
Hg,1,"=""74.4573""","=""0.0025""","=""74.457""","=""0.003""","="" 0.000""","=""134305.""","=""a""","=""""","=""""","=""""","=""""",,"=""0.000""","=""134305""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).20p""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L2725""",
Hg,1,"=""74.4810""","=""0.0009""","=""74.4810""","=""0.0009""","="" 0.0000""","=""134262.4""","=""a""","=""""","=""""","=""""","=""""",,"=""0.000""","=""134262.4""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).19p""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L400""",
Hg,1,"=""74.5308""","=""0.0009""","=""74.5308""","=""0.0009""","="" 0.0000""","=""134172.7""","=""a""","=""""","=""""","=""""","=""""",,"=""0.000""","=""134172.7""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).18p""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L400""",
Hg,1,"=""74.5834""","=""0.0009""","=""74.5834""","=""0.0009""","=""0.0000""","=""134078.1""","=""a""","=""""","=""""","=""""","=""""",,"=""0.000""","=""134078.1""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).17p""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L400""",
Hg,1,"=""74.6533""","=""0.0009""","=""74.6533""","=""0.0009""","=""0.0000""","=""133952.6""","=""a""","=""""","=""""","=""""","=""""",,"=""0.000""","=""133952.6""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).16p""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L400""",
Hg,1,"=""74.6543""","=""0.0025""","=""74.6542""","=""0.0022""","=""0.0001""","=""133951.""","=""a""","=""""","=""""","=""""","=""""",,"=""0.000""","=""133951""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).13f""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2725""",
