element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ho,67,"=""""","=""""","=""0.02129883""","=""0.00000009""","=""""","=""469509400""","=""""","=""3.2630e+07""","=""4.4383e-02""","=""6.2241e-05""","=""-1.05175""",AA,"=""0""","=""469509400""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ho,67,"=""""","=""""","=""0.02141670""","=""0.00000011""","=""""","=""466925400""","=""""","=""3.1927e+07""","=""2.1954e-02""","=""3.0958e-05""","=""-1.35745""",AA,"=""0""","=""466925400""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ho,67,"=""""","=""""","=""0.02497920""","=""0.00000012""","=""""","=""400333100""","=""""","=""1.1803e+08""","=""2.2081e-01""","=""3.6317e-04""","=""-0.35494""",AA,"=""0""","=""400333120""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ho,65,"=""""","=""""","=""0.02498913""","=""0.00000016""","=""""","=""400174000""","=""""","=""""","=""""","=""""","=""""",,"=""[1327470]""","=""(401501500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Ho,65,"=""""","=""""","=""0.02500304""","=""0.00000016""","=""""","=""399951000""","=""""","=""""","=""""","=""""","=""""",,"=""[1327470]""","=""(401278900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Ho,65,"=""""","=""""","=""0.02546502""","=""0.00000018""","=""""","=""392696000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""392695600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ho,65,"=""""","=""""","=""0.02548272""","=""0.00000017""","=""""","=""392423000""","=""""","=""""","=""""","=""""","=""""",,"=""[9078770]""","=""(401501500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Ho,65,"=""""","=""""","=""0.02548996""","=""0.00000018""","=""""","=""392311000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""392311300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Ho,65,"=""""","=""""","=""0.02549719""","=""0.00000017""","=""""","=""392200000""","=""""","=""""","=""""","=""""","=""""",,"=""[9078770]""","=""(401278900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
