element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
I,53,"=""""","=""""","=""0.03500279""","=""0.00000005""","=""""","=""285691500""","=""""","=""1.2942e+07""","=""4.7543e-02""","=""1.0957e-04""","=""-1.02188""",AA,"=""0""","=""285691500""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
I,53,"=""""","=""""","=""0.03511917""","=""0.00000008""","=""""","=""284744800""","=""""","=""1.2800e+07""","=""2.3668e-02""","=""5.4727e-05""","=""-1.32482""",AA,"=""0""","=""284744800""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
I,53,"=""""","=""""","=""0.04122276""","=""0.00000004""","=""""","=""242584440""","=""""","=""4.7476e+07""","=""2.4190e-01""","=""6.5657e-04""","=""-0.31533""",AA,"=""0""","=""242584439""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
I,51,"=""""","=""""","=""0.04172244""","=""0.00000021""","=""""","=""239679200""","=""""","=""""","=""""","=""""","=""""",,"=""[941920]""","=""(240621100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
I,51,"=""""","=""""","=""0.04175568""","=""0.00000021""","=""""","=""239488400""","=""""","=""""","=""""","=""""","=""""",,"=""[941920]""","=""(240430300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
I,53,"=""""","=""""","=""0.04177142""","=""0.00000004""","=""""","=""239398130""","=""""","=""5.0145e+07""","=""1.3117e-01""","=""3.6077e-04""","=""-0.58113""",AA,"=""0""","=""239398127""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
I,51,"=""""","=""""","=""0.04217834""","=""0.00000023""","=""""","=""237088500""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""237088500""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
I,51,"=""""","=""""","=""0.04221018""","=""0.00000021""","=""""","=""236909700""","=""""","=""""","=""""","=""""","=""""",,"=""[3711400]""","=""(240621100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
I,51,"=""""","=""""","=""0.04221356""","=""0.00000023""","=""""","=""236890700""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""236890700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
I,51,"=""""","=""""","=""0.04224420""","=""0.00000021""","=""""","=""236718900""","=""""","=""""","=""""","=""""","=""""",,"=""[3711400]""","=""(240430300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
I,51,"=""""","=""""","=""0.04226493""","=""0.00000023""","=""""","=""236602800""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""236602800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
I,51,"=""""","=""""","=""0.04226564""","=""0.00000021""","=""""","=""236598800""","=""""","=""""","=""""","=""""","=""""",,"=""[941920]""","=""(237540700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
I,51,"=""""","=""""","=""0.04228940""","=""0.00000021""","=""""","=""236465900""","=""""","=""""","=""""","=""""","=""""",,"=""[941920]""","=""(237407800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
I,51,"=""""","=""""","=""0.04230392""","=""0.00000021""","=""""","=""236384700""","=""""","=""""","=""""","=""""","=""""",,"=""[3711400]""","=""(240096100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
I,51,"=""""","=""""","=""0.04231825""","=""0.00000021""","=""""","=""236304700""","=""""","=""""","=""""","=""""","=""""",,"=""[941920]""","=""(237246600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
