element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
In,49,"=""""","=""""","=""0.04121609""","=""0.00000005""","=""""","=""242623700""","=""""","=""9.4830e+06""","=""4.8302e-02""","=""1.3108e-04""","=""-1.01500""",AA,"=""0""","=""242623670""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
In,49,"=""""","=""""","=""0.04133212""","=""0.00000007""","=""""","=""241942600""","=""""","=""9.3991e+06""","=""2.4072e-02""","=""6.5511e-05""","=""-1.31745""",AA,"=""0""","=""241942600""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
In,49,"=""""","=""""","=""0.04858738""","=""0.00000003""","=""""","=""205814760""","=""""","=""3.4901e+07""","=""2.4705e-01""","=""7.9033e-04""","=""-0.30619""",AA,"=""0""","=""205814760""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
In,49,"=""""","=""""","=""0.04913487""","=""0.00000003""","=""""","=""203521440""","=""""","=""3.6559e+07""","=""1.3232e-01""","=""4.2808e-04""","=""-0.57734""",AA,"=""0""","=""203521440""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
In,47,"=""""","=""""","=""0.04934153""","=""0.00000024""","=""""","=""202669000""","=""""","=""""","=""""","=""""","=""""",,"=""[847190]""","=""(203516220)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
In,47,"=""""","=""""","=""0.04938645""","=""0.00000024""","=""""","=""202484700""","=""""","=""""","=""""","=""""","=""""",,"=""[847190]""","=""(203331870)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
In,47,"=""""","=""""","=""0.0497885""","=""0.0000003""","=""""","=""200849600""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""200849600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
In,47,"=""""","=""""","=""0.04982633""","=""0.00000025""","=""""","=""200697100""","=""""","=""""","=""""","=""""","=""""",,"=""[2819100]""","=""(203516220)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
In,47,"=""""","=""""","=""0.0498281""","=""0.0000003""","=""""","=""200689900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""200689900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
