element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ir,77,"=""""","=""""","=""0.0157131""","=""0.0000003""","=""""","=""636411000""","=""""","=""5.6226e+07""","=""4.1625e-02""","=""4.3065e-05""","=""-1.07962""",AA,"=""0""","=""636411000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ir,77,"=""""","=""""","=""0.0158323""","=""0.0000003""","=""""","=""631621000""","=""""","=""5.4326e+07""","=""2.0415e-02""","=""2.1281e-05""","=""-1.38902""",AA,"=""0""","=""631621000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ir,75,"=""""","=""""","=""0.0182025""","=""0.0000004""","=""""","=""549375000""","=""""","=""""","=""""","=""""","=""""",,"=""[1668000]""","=""(551043000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Ir,75,"=""""","=""""","=""0.0182109""","=""0.0000004""","=""""","=""549122000""","=""""","=""""","=""""","=""""","=""""",,"=""[1668000]""","=""(550790000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Ir,77,"=""""","=""""","=""0.0183582""","=""0.0000005""","=""""","=""544714000""","=""""","=""2.0066e+08""","=""2.0277e-01""","=""2.4510e-04""","=""-0.39196""",AA,"=""0""","=""544714390""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ir,75,"=""""","=""""","=""0.0186851""","=""0.0000004""","=""""","=""535186000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""535186000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ir,75,"=""""","=""""","=""0.0186971""","=""0.0000005""","=""""","=""534841000""","=""""","=""""","=""""","=""""","=""""",,"=""[16202000]""","=""(551043000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Ir,75,"=""""","=""""","=""0.0187057""","=""0.0000004""","=""""","=""534596000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""534596000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Ir,75,"=""""","=""""","=""0.0187060""","=""0.0000005""","=""""","=""534588000""","=""""","=""""","=""""","=""""","=""""",,"=""[16202000]""","=""(550790000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Ir,75,"=""""","=""""","=""0.0187209""","=""0.0000005""","=""""","=""534163000""","=""""","=""""","=""""","=""""","=""""",,"=""[1668000]""","=""(535831000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
