element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
K,19,"=""""","=""""","=""0.256506698""","=""0.000000003""","=""""","=""38985336.7""","=""""","=""1.5973e+04""","=""1.5755e-03""","=""2.6609e-05""","=""-2.50154""",AA,"=""0.0""","=""(38985336.71)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
K,19,"=""""","=""""","=""0.258449486""","=""0.000000003""","=""""","=""38692280.4""","=""""","=""2.5508e+04""","=""2.5544e-03""","=""4.3468e-05""","=""-2.29168""",AA,"=""0.0""","=""(38692280.42)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
K,19,"=""""","=""""","=""0.261717910""","=""0.000000003""","=""""","=""38209077.9""","=""""","=""4.4725e+04""","=""9.1855e-03""","=""1.5829e-04""","=""-1.73587""",AA,"=""0.0""","=""(38209077.93)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
K,19,"=""""","=""""","=""0.261739065""","=""0.000000003""","=""""","=""38205989.6""","=""""","=""4.4489e+04""","=""4.5693e-03""","=""7.8745e-05""","=""-2.03912""",AA,"=""0.0""","=""(38205989.6)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
K,19,"=""""","=""""","=""0.267980394""","=""0.000000004""","=""""","=""37316162.7""","=""""","=""8.8717e+04""","=""1.9103e-02""","=""3.3706e-04""","=""-1.41787""",AA,"=""0.0""","=""(37316162.7)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
K,19,"=""""","=""""","=""0.268023736""","=""0.000000005""","=""""","=""37310128.4""","=""""","=""8.8377e+04""","=""9.5180e-03""","=""1.6797e-04""","=""-1.72043""",AA,"=""0.0""","=""(37310128.4)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
K,19,"=""""","=""""","=""0.282588679""","=""0.000000007""","=""""","=""35387121.8""","=""""","=""2.1754e+05""","=""5.2087e-02""","=""9.6915e-04""","=""-0.98224""",AA,"=""0.0""","=""(35387121.8)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
K,19,"=""""","=""""","=""0.282702994""","=""0.000000009""","=""""","=""35372812.5""","=""""","=""2.1732e+05""","=""2.6038e-02""","=""4.8467e-04""","=""-1.28336""",AA,"=""0.0""","=""(35372812.5)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
K,18,"=""0.300860""","=""0.000011""","=""0.3008645""","=""0.0000003""","=""-0.000004""","=""33238100""","=""""","=""3.72e+05""","=""1.51e-01""","=""1.50e-03""","=""-0.821""",,"=""0.0""","=""(33237554)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T6456""","=""L6540""",
K,18,"=""0.30112""","=""0.00005""","=""0.3012174""","=""0.0000003""","=""-0.00010""","=""33209000""","=""""","=""9.10e+03""","=""3.71e-03""","=""3.68e-05""","=""-2.43""",,"=""0.0""","=""(33198614)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",1,3,,"=""T6456""","=""L4466c7""",
K,17,"=""0.30431""","=""0.00005""","=""0.30431""","=""0.00009""","="" 0.00000""","=""32861200""","=""13p""","=""""","=""""","=""""","=""""",,"=""0""","=""32861000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1S).3p""","=""2P*""","=""1/2,3/2""",2,6,,"=""""","=""L4466c7""",
K,17,"=""0.30608""","=""0.00019""","=""0.30608""","=""0.00019""","=""0.00000""","=""32671000""","=""*""","=""1.25e+05""","=""3.51e-02""","=""7.08e-04""","=""-1.15""",,"=""[273488]""","=""32945000""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2D""","=""3/2""",2,4,,"=""T5076""","=""L10003""",
K,17,"=""0.30608""","=""0.00005""","=""0.30608""","=""0.00019""","=""0.00000""","=""32671200""","=""*""","=""1.05e+05""","=""2.95e-02""","=""5.94e-04""","=""-1.23""",,"=""[273488]""","=""32945000""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s.(1S).3d""","=""2D""","=""3/2""",2,4,,"=""T5076""","=""L10003""",
K,17,"=""0.30608""","=""0.00019""","=""0.30608""","=""0.00019""","="" 0.00000""","=""32671000""","=""*""","=""3.12e+05""","=""6.57e-02""","=""2.65e-03""","=""-0.580""",,"=""[306028]""","=""32977000""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2D""","=""5/2""",4,6,,"=""T5076""","=""L10003""",
K,17,"=""0.30672""","=""0.00005""","=""0.30657""","=""0.00009""","=""0.00015""","=""32603000""","=""9*""","=""""","=""""","=""""","=""""",,"=""[273488]""","=""32892000""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2P""","=""1/2,3/2""",2,6,,"=""""","=""L4466c7""",
K,17,"=""0.30672""","=""0.00005""","=""0.30688""","=""0.00009""","=""-0.00016""","=""32603000""","=""9*""","=""""","=""""","=""""","=""""",,"=""[306028]""","=""32892000""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2P""","=""1/2,3/2""",4,6,,"=""""","=""L4466c7""",
K,17,"=""0.30742""","=""0.00005""","=""0.30727""","=""0.00009""","=""0.00015""","=""32528800""","=""9*""","=""""","=""""","=""""","=""""",,"=""[273488]""","=""32818000""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s.(3S).3d""","=""2D""","=""3/2,5/2""",2,10,,"=""""","=""L4466c7""",
K,17,"=""0.30742""","=""0.00005""","=""0.30758""","=""0.00009""","=""-0.00016""","=""32528800""","=""9*""","=""""","=""""","=""""","=""""",,"=""[306028]""","=""32818000""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s.(3S).3d""","=""2D""","=""3/2,5/2""",4,10,,"=""""","=""L4466c7""",
K,19,"=""""","=""""","=""0.334668919""","=""0.000000006""","=""""","=""29880277.0""","=""""","=""8.1275e+05""","=""2.7294e-01""","=""6.0144e-03""","=""-0.26290""",AA,"=""0.0""","=""(29880277.00)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
