element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Kr,36,"=""""","=""""","=""0.071086261""","=""0.000000008""","=""""","=""140674159""","=""""","=""3.2120e+05""","=""2.4334e-03""","=""1.1389e-05""","=""-2.31276""",AA,"=""0""","=""140674159""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Kr,36,"=""""","=""""","=""0.071968783""","=""0.000000008""","=""""","=""138949133""","=""""","=""5.7303e+05""","=""8.8993e-03""","=""4.2170e-05""","=""-1.74961""",AA,"=""0""","=""138949133""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Kr,36,"=""""","=""""","=""0.071990044""","=""0.000000009""","=""""","=""138908096""","=""""","=""5.6167e+05""","=""4.3640e-03""","=""2.0685e-05""","=""-2.05909""",AA,"=""0""","=""138908096""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Kr,35,"=""""","=""""","=""0.07312535""","=""0.00000007""","=""""","=""136751490""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""136751490""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.07313397""","=""0.00000007""","=""""","=""136735370""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""136735370""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""3P*""","=""1""",1,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.07366178""","=""0.00000008""","=""""","=""135755620""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""135755620""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.07367570""","=""0.00000008""","=""""","=""135729970""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""135729970""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""3P*""","=""1""",1,3,,"=""""","=""""",
Kr,36,"=""""","=""""","=""0.073676425""","=""0.000000010""","=""""","=""135728626""","=""""","=""1.1367e+06""","=""1.8501e-02""","=""8.9750e-05""","=""-1.43177""",AA,"=""0""","=""135728626""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Kr,36,"=""""","=""""","=""0.073720021""","=""0.000000018""","=""""","=""135648360""","=""""","=""1.1201e+06""","=""9.1265e-03""","=""4.4299e-05""","=""-1.73867""",AA,"=""0""","=""135648360""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Kr,35,"=""""","=""""","=""0.07456940""","=""0.00000008""","=""""","=""134103270""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""134103270""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.07459411""","=""0.00000008""","=""""","=""134058840""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""134058840""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.07630066""","=""0.00000008""","=""""","=""131060470""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""131060470""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.07635141""","=""0.00000008""","=""""","=""130973350""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""130973350""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",1,3,,"=""""","=""""",
Kr,36,"=""""","=""""","=""0.07765662""","=""0.00000003""","=""""","=""128772020""","=""""","=""2.7847e+06""","=""5.0353e-02""","=""2.5746e-04""","=""-0.99695""",AA,"=""0""","=""128772020""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Kr,36,"=""""","=""""","=""0.07777172""","=""0.00000004""","=""""","=""128581440""","=""""","=""2.7732e+06""","=""2.5147e-02""","=""1.2877e-04""","=""-1.29849""",AA,"=""0""","=""128581440""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Kr,35,"=""""","=""""","=""0.08032872""","=""0.00000009""","=""""","=""124488470""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""124488470""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.08046312""","=""0.00000009""","=""""","=""124280540""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""124280540""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",1,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.091411""","=""0.000020""","=""""","=""109396000""","=""""","=""""","=""""","=""""","=""""",,"=""(105041766)""","=""(214438000)""","=""1s.2p""","=""3P*""","=""0""","=""2p2""","=""1S""","=""0""",1,1,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.091428""","=""0.000020""","=""""","=""109375000""","=""""","=""""","=""""","=""""","=""""",,"=""(105062752)""","=""(214438000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""1S""","=""0""",3,1,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.091695""","=""0.000020""","=""""","=""109057000""","=""""","=""""","=""""","=""""","=""""",,"=""(105062752)""","=""(214120000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""2""",3,5,,"=""""","=""""",
Kr,36,"=""""","=""""","=""0.091779196""","=""0.000000016""","=""""","=""108957154""","=""""","=""1.0335e+07""","=""2.6102e-01""","=""1.5774e-03""","=""-0.28229""",AA,"=""0""","=""108957154.2""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Kr,35,"=""""","=""""","=""0.091854""","=""0.000020""","=""""","=""108868000""","=""""","=""""","=""""","=""""","=""""",,"=""(104684881)""","=""(213553000)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""1P*""","=""1""",3,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092028""","=""0.000020""","=""""","=""108663000""","=""""","=""""","=""""","=""""","=""""",,"=""(105775374)""","=""(214438000)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""1S""","=""0""",3,1,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092136""","=""0.000020""","=""""","=""108535000""","=""""","=""""","=""""","=""""","=""""",,"=""(105584988)""","=""(214120000)""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""2""",5,5,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092162""","=""0.000020""","=""""","=""108505000""","=""""","=""""","=""""","=""""","=""""",,"=""(104684881)""","=""(213190000)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""2""",3,5,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092177""","=""0.000020""","=""""","=""108487000""","=""""","=""""","=""""","=""""","=""""",,"=""(105065941)""","=""(213553000)""","=""1s.2s""","=""1S""","=""0""","=""2s.2p""","=""1P*""","=""1""",1,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092199""","=""0.000020""","=""""","=""108461000""","=""""","=""""","=""""","=""""","=""""",,"=""(105062752)""","=""(213524000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""1D""","=""2""",3,5,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092254""","=""0.000020""","=""""","=""108396000""","=""""","=""""","=""""","=""""","=""""",,"=""(105041766)""","=""(213438000)""","=""1s.2p""","=""3P*""","=""0""","=""2p2""","=""3P""","=""1""",1,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092272""","=""0.000020""","=""""","=""108375000""","=""""","=""""","=""""","=""""","=""""",,"=""(105062752)""","=""(213438000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""1""",3,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092298""","=""0.000020""","=""""","=""108345000""","=""""","=""""","=""""","=""""","=""""",,"=""(105775374)""","=""(214120000)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""3P""","=""2""",3,5,,"=""""","=""""",
Kr,36,"=""""","=""""","=""0.092323547""","=""0.000000016""","=""""","=""108314729""","=""""","=""1.0592e+07""","=""1.3535e-01""","=""8.2275e-04""","=""-0.56752""",AA,"=""0""","=""108314728.7""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Kr,35,"=""""","=""""","=""0.092616""","=""0.000021""","=""""","=""107973000""","=""""","=""""","=""""","=""""","=""""",,"=""(104684881)""","=""(212658000)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""1""",3,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092621""","=""0.000021""","=""""","=""107967000""","=""""","=""""","=""""","=""""","=""""",,"=""(105041766)""","=""(213009000)""","=""1s.2p""","=""3P*""","=""0""","=""2p2""","=""3P""","=""0""",1,1,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092639""","=""0.000021""","=""""","=""107946000""","=""""","=""""","=""""","=""""","=""""",,"=""(105062752)""","=""(213009000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""0""",3,1,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092645""","=""0.000021""","=""""","=""107939000""","=""""","=""""","=""""","=""""","=""""",,"=""(105584988)""","=""(213524000)""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""1D""","=""2""",5,5,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092695""","=""0.000021""","=""""","=""107880000""","=""""","=""""","=""""","=""""","=""""",,"=""(104684881)""","=""(212565000)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""0""",3,1,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092719""","=""0.000021""","=""""","=""107853000""","=""""","=""""","=""""","=""""","=""""",,"=""(105584988)""","=""(213438000)""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""1""",5,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092809""","=""0.000021""","=""""","=""107749000""","=""""","=""""","=""""","=""""","=""""",,"=""(105775374)""","=""(213524000)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""1D""","=""2""",3,5,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092883""","=""0.000021""","=""""","=""107663000""","=""""","=""""","=""""","=""""","=""""",,"=""(105775374)""","=""(213438000)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""3P""","=""1""",3,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.092944""","=""0.000021""","=""""","=""107592000""","=""""","=""""","=""""","=""""","=""""",,"=""(105065941)""","=""(212658000)""","=""1s.2s""","=""1S""","=""0""","=""2s.2p""","=""3P*""","=""1""",1,3,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.093016""","=""0.000021""","=""""","=""107508000""","=""""","=""""","=""""","=""""","=""""",,"=""(105041766)""","=""(212550000)""","=""1s.2p""","=""3P*""","=""0""","=""2s2""","=""1S""","=""0""",1,1,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.093024""","=""0.000021""","=""""","=""107499000""","=""""","=""""","=""""","=""""","=""""",,"=""(105065941)""","=""(212565000)""","=""1s.2s""","=""1S""","=""0""","=""2s.2p""","=""3P*""","=""0""",1,1,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.093034""","=""0.000021""","=""""","=""107487000""","=""""","=""""","=""""","=""""","=""""",,"=""(105062752)""","=""(212550000)""","=""1s.2p""","=""3P*""","=""1""","=""2s2""","=""1S""","=""0""",3,1,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.093254""","=""0.000021""","=""""","=""107234000""","=""""","=""""","=""""","=""""","=""""",,"=""(105775374)""","=""(213009000)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""3P""","=""0""",3,1,,"=""""","=""""",
Kr,35,"=""""","=""""","=""0.093655""","=""0.000021""","=""""","=""106775000""","=""""","=""""","=""""","=""""","=""""",,"=""(105775374)""","=""(212550000)""","=""1s.2p""","=""1P*""","=""1""","=""2s2""","=""1S""","=""0""",3,1,,"=""""","=""""",
Kr,34,"=""""","=""""","=""0.0943459""","=""0.0000004""","=""""","=""105993000""","=""""","=""""","=""""","=""""","=""""",,"=""[574615]""","=""(106567600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
Kr,34,"=""""","=""""","=""0.0944979""","=""0.0000004""","=""""","=""105822500""","=""""","=""""","=""""","=""""","=""""",,"=""[574615]""","=""(106397120)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""3/2""",2,4,,"=""""","=""""",
Kr,35,"=""0.0945400""","=""0.0000010""","=""0.09453996""","=""0.00000003""","=""0.0000000""","=""105775300""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""105775374""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""""","=""L21941""",
Kr,35,"=""0.094708""","=""0.000003""","=""0.09471043""","=""0.00000003""","=""-0.000002""","=""105588000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""105584988""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",1,5,M2,"=""""","=""L9556""",
