element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
La,57,"=""""","=""""","=""0.03004814""","=""0.00000007""","=""""","=""332799300""","=""""","=""1.7258e+07""","=""4.6720e-02""","=""9.2433e-05""","=""-1.02947""",AA,"=""0""","=""332799300""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
La,57,"=""""","=""""","=""0.03016488""","=""0.00000008""","=""""","=""331511300""","=""""","=""1.7027e+07""","=""2.3227e-02""","=""4.6132e-05""","=""-1.33297""",AA,"=""0""","=""331511300""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
La,57,"=""""","=""""","=""0.03534995""","=""0.00000004""","=""""","=""282885800""","=""""","=""6.3084e+07""","=""2.3637e-01""","=""5.5015e-04""","=""-0.32538""",AA,"=""0""","=""282885844""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
La,55,"=""""","=""""","=""0.03566042""","=""0.00000018""","=""""","=""280422900""","=""""","=""""","=""""","=""""","=""""",,"=""[1042860]""","=""(281465800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
La,55,"=""""","=""""","=""0.03568569""","=""0.00000018""","=""""","=""280224300""","=""""","=""""","=""""","=""""","=""""",,"=""[1042860]""","=""(281267200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
La,57,"=""""","=""""","=""0.03589988""","=""0.00000004""","=""""","=""278552400""","=""""","=""6.7239e+07""","=""1.2992e-01""","=""3.0709e-04""","=""-0.58531""",AA,"=""0""","=""278552450""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
La,55,"=""""","=""""","=""0.03612367""","=""0.00000020""","=""""","=""276826800""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""276826800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
La,55,"=""""","=""""","=""0.03615048""","=""0.00000018""","=""""","=""276621500""","=""""","=""""","=""""","=""""","=""""",,"=""[4844270]""","=""(281465800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
La,55,"=""""","=""""","=""0.03615526""","=""0.00000020""","=""""","=""276584900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""276584900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
