element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Li,3,"=""10.29""","=""10.285631619""","=""0.000000021""","=""0.00""","=""972000""","=""""","=""6.6910e+00""","=""2.1225e-03""","=""1.4374e-03""","=""-2.37213""",AA,"=""0.0000""","=""(972230.036081)""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
Li,3,"=""10.29""","=""10.285636521""","=""0.000000021""","=""0.00""","=""972000""","=""""","=""6.6898e+00""","=""1.0610e-03""","=""7.1857e-04""","=""-2.67324""",AA,"=""0.0000""","=""(972229.572685)""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L7397""",
Li,3,"=""10.34""","=""10.335850909""","=""0.000000021""","=""0.00""","=""967000""","=""""","=""1.0020e+01""","=""3.2095e-03""","=""2.1842e-03""","=""-2.19254""",AA,"=""0.0000""","=""(967506.215777)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
Li,3,"=""10.34""","=""10.335858299""","=""0.000000021""","=""0.00""","=""967000""","=""""","=""1.0019e+01""","=""1.6046e-03""","=""1.0920e-03""","=""-2.49361""",AA,"=""0.0000""","=""(967505.524056)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L7397""",
Li,3,"=""10.41""","=""10.414193182""","=""0.000000022""","="" 0.00""","=""961000""","=""""","=""1.5991e+01""","=""5.2002e-03""","=""3.5658e-03""","=""-1.98295""",AA,"=""0.0000""","=""(960228.010455)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
Li,3,"=""10.41""","=""10.414205096""","=""0.000000022""","="" 0.00""","=""961000""","=""""","=""1.5988e+01""","=""2.5996e-03""","=""1.7825e-03""","=""-2.28406""",AA,"=""0.0000""","=""(960226.912020)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L7397""",
Li,3,"=""10.55""","=""10.546772674""","=""0.000000022""","=""0.00""","=""948000""","=""""","=""2.7863e+01""","=""9.2931e-03""","=""6.4533e-03""","=""-1.73081""",AA,"=""0.0000""","=""(948157.347169)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
Li,3,"=""10.55""","=""10.546793788""","=""0.000000022""","=""0.00""","=""948000""","=""""","=""2.7859e+01""","=""4.6459e-03""","=""3.2262e-03""","=""-2.03190""",AA,"=""0.0000""","=""(948155.449056)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L7397""",
Li,3,"=""10.80""","=""10.799879057""","=""0.000000023""","=""0.00""","=""926000""","=""""","=""5.5269e+01""","=""1.9329e-02""","=""1.3745e-02""","=""-1.41276""",AA,"=""0.0000""","=""(925936.294951)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
Li,3,"=""10.80""","=""10.799922298""","=""0.000000023""","=""0.00""","=""926000""","=""""","=""5.5263e+01""","=""9.6636e-03""","=""6.8717e-03""","=""-1.71383""",AA,"=""0.0000""","=""(925932.587659)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L7397""",
Li,3,"=""11.39""","=""11.39045690""","=""0.00000003""","="" 0.00""","=""878000""","=""""","=""1.3557e+02""","=""5.2737e-02""","=""3.9552e-02""","=""-0.97685""",AA,"=""0.0000""","=""(877927.908420)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
Li,3,"=""11.39""","=""11.39057091""","=""0.00000003""","="" 0.00""","=""878000""","=""""","=""1.3557e+02""","=""2.6369e-02""","=""1.9776e-02""","=""-1.27787""",AA,"=""0.0000""","=""(877919.12067)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L7397""",
Li,2,"=""12.55""","=""12.54""","=""0.08""","=""0.01""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494260.30]""","=""1292000""","=""1s.2p""","=""3P*""","=""1""","=""2p.3p""","=""3P""","=""1""",3,3,,"=""""","=""L3160,L1992""",
Li,2,"=""12.55""","=""12.54""","=""0.08""","=""0.01""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494262.57]""","=""1292000""","=""1s.2p""","=""3P*""","=""2""","=""2p.3p""","=""3P""","=""1""",5,3,,"=""""","=""L3160,L1992""",
Li,2,"=""12.55""","=""12.54""","=""0.08""","=""0.01""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494260.30]""","=""1292000""","=""1s.2p""","=""3P*""","=""1""","=""2p.3p""","=""3P""","=""0""",3,1,,"=""""","=""L3160,L1992""",
Li,2,"=""12.55""","=""12.54""","=""0.08""","=""0.01""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494262.57]""","=""1292000""","=""1s.2p""","=""3P*""","=""2""","=""2p.3p""","=""3P""","=""2""",5,5,,"=""""","=""L3160,L1992""",
Li,2,"=""12.55""","=""12.54""","=""0.08""","=""0.01""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494260.30]""","=""1292000""","=""1s.2p""","=""3P*""","=""1""","=""2p.3p""","=""3P""","=""2""",3,5,,"=""""","=""L3160,L1992""",
Li,2,"=""12.55""","=""12.54""","=""0.08""","=""0.01""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494265.70]""","=""1292000""","=""1s.2p""","=""3P*""","=""0""","=""2p.3p""","=""3P""","=""1""",1,3,,"=""""","=""L3160,L1992""",
Li,2,"=""12.55""","=""12.55""","=""0.08""","="" 0.00""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494262.57]""","=""1291000""","=""1s.2p""","=""3P*""","=""2""","=""2p.3p""","=""3D""","=""3""",5,7,,"=""""","=""L3160,L1992""",
Li,2,"=""12.55""","=""12.55""","=""0.08""","="" 0.00""","=""797000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494265.70]""","=""1291000""","=""1s.2p""","=""3P*""","=""0""","=""2p.3p""","=""3D""","=""1""",1,3,,"=""""","=""L3160,L1992""",
