element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Lr,103,"=""""","=""0.0079439""","=""0.0000005""","=""""","=""1258830000""","=""""","=""1.6939e+08""","=""3.2050e-02""","=""1.6764e-05""","=""-1.19314""",AA,"=""0""","=""1258830000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Lr,103,"=""""","=""0.0080682""","=""0.0000007""","=""""","=""1239430000""","=""""","=""1.5165e+08""","=""1.4799e-02""","=""7.8619e-06""","=""-1.52872""",AA,"=""0""","=""1239430000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Lr,103,"=""""","=""0.0091511""","=""0.0000008""","=""""","=""1092760000""","=""""","=""5.7237e+08""","=""1.4372e-01""","=""8.6596e-05""","=""-0.54145""",AA,"=""0""","=""1092759100""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Lr,103,"=""""","=""0.0097279""","=""0.0000009""","=""""","=""1027970000""","=""""","=""7.3247e+08""","=""1.0392e-01""","=""6.6560e-05""","=""-0.68228""",AA,"=""0""","=""1027969000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Lr,103,"=""""","=""0.043321""","=""0.000013""","=""""","=""230830000""","=""""","=""7.5569e+07""","=""4.2524e-01""","=""1.2130e-03""","=""-0.07033""",AA,"=""(1027969000)""","=""(1258801700)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Lr,103,"=""""","=""0.043582""","=""0.000014""","=""""","=""229450000""","=""""","=""1.5108e+07""","=""8.6046e-02""","=""2.4692e-04""","=""-0.76424""",AA,"=""(1029380000)""","=""(1258830000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Lr,103,"=""""","=""0.047176""","=""0.000017""","=""""","=""211970000""","=""""","=""3.7232e+06""","=""1.2423e-02""","=""3.8588e-05""","=""-1.60475""",AA,"=""(1027969000)""","=""(1239940000)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Lr,103,"=""""","=""0.047608""","=""0.000024""","=""""","=""210050000""","=""""","=""4.0550e+07""","=""1.3778e-01""","=""4.3190e-04""","=""-0.55977""",AA,"=""(1029380000)""","=""(1239430000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Lr,103,"=""""","=""0.058633""","=""0.000024""","=""""","=""170550000""","=""""","=""7.0811e+07""","=""5.4743e-01""","=""4.2268e-03""","=""0.34039""",AA,"=""(1092759100)""","=""(1263312000)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Lr,103,"=""""","=""0.06023""","=""0.00003""","=""""","=""166040000""","=""""","=""1.1617e+07""","=""6.3172e-02""","=""5.0100e-04""","=""-0.59741""",AA,"=""(1092759100)""","=""(1258801700)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Lr,103,"=""""","=""0.06794""","=""0.00004""","=""""","=""147180000""","=""""","=""1.6073e+07""","=""5.5620e-02""","=""4.9764e-04""","=""-0.65271""",AA,"=""(1092759100)""","=""(1239940000)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Lr,103,"=""""","=""0.15778""","=""0.00004""","=""""","=""63379000""","=""""","=""3.2792e+06""","=""2.4477e-01""","=""2.5429e-03""","=""-0.31020""",AA,"=""(1029380000)""","=""(1092759100)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Lr,103,"=""""","=""7.09""","=""0.07""","=""""","=""1411000""","=""""","=""""","=""""","=""""","=""""",,"=""(1027969000)""","=""(1029380000)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
