element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Lu,71,"=""""","=""""","=""0.01878339""","=""0.00000013""","=""""","=""532385000""","=""""","=""4.0962e+07""","=""4.3333e-02""","=""5.3591e-05""","=""-1.06215""",AA,"=""0""","=""532385200""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Lu,71,"=""""","=""""","=""0.01890173""","=""0.00000013""","=""""","=""529052000""","=""""","=""3.9902e+07""","=""2.1373e-02""","=""2.6599e-05""","=""-1.36911""",AA,"=""0""","=""529052000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Lu,69,"=""""","=""""","=""0.02193008""","=""0.00000016""","=""""","=""455995000""","=""""","=""""","=""""","=""""","=""""",,"=""[1456000]""","=""(457450600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02194134""","=""0.00000016""","=""""","=""455761000""","=""""","=""""","=""""","=""""","=""""",,"=""[1456000]""","=""(457216700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Lu,71,"=""""","=""""","=""0.02199757""","=""0.00000013""","=""""","=""454596000""","=""""","=""1.4742e+08""","=""2.1389e-01""","=""3.0979e-04""","=""-0.36878""",AA,"=""0""","=""454595650""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Lu,69,"=""""","=""""","=""0.02240922""","=""0.00000017""","=""""","=""446245000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""446244800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02242436""","=""0.00000017""","=""""","=""445944000""","=""""","=""""","=""""","=""""","=""""",,"=""[11506900]""","=""(457450600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02243223""","=""0.00000017""","=""""","=""445787000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""445787200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02243612""","=""0.00000017""","=""""","=""445710000""","=""""","=""""","=""""","=""""","=""""",,"=""[11506900]""","=""(457216700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02245236""","=""0.00000016""","=""""","=""445387000""","=""""","=""""","=""""","=""""","=""""",,"=""[1456000]""","=""(446843400)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02245347""","=""0.00000017""","=""""","=""445366000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""445365500""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02246116""","=""0.00000017""","=""""","=""445213000""","=""""","=""""","=""""","=""""","=""""",,"=""[11506900]""","=""(456719800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02246647""","=""0.00000016""","=""""","=""445108000""","=""""","=""""","=""""","=""""","=""""",,"=""[1456000]""","=""(446563800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02247958""","=""0.00000016""","=""""","=""444848000""","=""""","=""""","=""""","=""""","=""""",,"=""[1456000]""","=""(446304100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02248079""","=""0.00000016""","=""""","=""444824000""","=""""","=""""","=""""","=""""","=""""",,"=""[1456000]""","=""(446280200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02248737""","=""0.00000017""","=""""","=""444694000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""444694100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Lu,71,"=""""","=""""","=""0.02255290""","=""0.00000014""","=""""","=""443402000""","=""""","=""1.6334e+08""","=""1.2455e-01""","=""1.8495e-04""","=""-0.60362""",AA,"=""0""","=""443402000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Lu,69,"=""""","=""""","=""0.02294814""","=""0.00000017""","=""""","=""435765000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""435765200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02297074""","=""0.00000017""","=""""","=""435336000""","=""""","=""""","=""""","=""""","=""""",,"=""[11506900]""","=""(446843400)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02298550""","=""0.00000017""","=""""","=""435057000""","=""""","=""""","=""""","=""""","=""""",,"=""[11506900]""","=""(446563800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02299610""","=""0.00000017""","=""""","=""434856000""","=""""","=""""","=""""","=""""","=""""",,"=""[1456000]""","=""(436312300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02299923""","=""0.00000017""","=""""","=""434797000""","=""""","=""""","=""""","=""""","=""""",,"=""[11506900]""","=""(446304100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02300049""","=""0.00000017""","=""""","=""434773000""","=""""","=""""","=""""","=""""","=""""",,"=""[11506900]""","=""(446280200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Lu,69,"=""""","=""""","=""0.02301003""","=""0.00000017""","=""""","=""434593000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""434593100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""""",
