element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Md,101,"=""""","=""0.0083440""","=""0.0000004""","=""""","=""1198470000""","=""""","=""1.5779e+08""","=""3.2939e-02""","=""1.8097e-05""","=""-1.18125""",AA,"=""0""","=""1198470000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Md,101,"=""""","=""0.0084678""","=""0.0000007""","=""""","=""1180950000""","=""""","=""1.4265e+08""","=""1.5334e-02""","=""8.5495e-06""","=""-1.51330""",AA,"=""0""","=""1180950000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Md,101,"=""""","=""0.0096251""","=""0.0000008""","=""""","=""1038960000""","=""""","=""5.3619e+08""","=""1.4894e-01""","=""9.4388e-05""","=""-0.52596""",AA,"=""0""","=""1038955200""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Md,101,"=""""","=""0.0101998""","=""0.0000009""","=""""","=""980410000""","=""""","=""6.7785e+08""","=""1.0572e-01""","=""7.1003e-05""","=""-0.67479""",AA,"=""0""","=""980410000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Md,101,"=""""","=""0.045864""","=""0.000012""","=""""","=""218030000""","=""""","=""6.9421e+07""","=""4.3786e-01""","=""1.3222e-03""","=""-0.05764""",AA,"=""(980410000)""","=""(1198444300)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Md,101,"=""""","=""0.046111""","=""0.000013""","=""""","=""216870000""","=""""","=""1.4660e+07""","=""9.3457e-02""","=""2.8374e-04""","=""-0.72836""",AA,"=""(981600000)""","=""(1198470000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Md,101,"=""""","=""0.049759""","=""0.000016""","=""""","=""200970000""","=""""","=""3.3662e+06""","=""1.2495e-02""","=""4.0936e-05""","=""-1.60223""",AA,"=""(980410000)""","=""(1181380000)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Md,101,"=""""","=""0.050163""","=""0.000023""","=""""","=""199350000""","=""""","=""3.6649e+07""","=""1.3826e-01""","=""4.5664e-04""","=""-0.55829""",AA,"=""(981600000)""","=""(1180950000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Md,101,"=""""","=""0.061109""","=""0.000022""","=""""","=""163640000""","=""""","=""6.5550e+07""","=""5.5047e-01""","=""4.4297e-03""","=""0.34279""",AA,"=""(1038955200)""","=""(1202597100)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Md,101,"=""""","=""0.062700""","=""0.000023""","=""""","=""159490000""","=""""","=""1.0762e+07""","=""6.3427e-02""","=""5.2370e-04""","=""-0.59566""",AA,"=""(1038955200)""","=""(1198444300)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Md,101,"=""""","=""0.07021""","=""0.00003""","=""""","=""142420000""","=""""","=""1.4329e+07""","=""5.2951e-02""","=""4.8958e-04""","=""-0.67406""",AA,"=""(1038955200)""","=""(1181380000)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Md,101,"=""""","=""0.17435""","=""0.00004""","=""""","=""57355000""","=""""","=""2.5714e+06""","=""2.3437e-01""","=""2.6905e-03""","=""-0.32906""",AA,"=""(981600000)""","=""(1038955200)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Md,101,"=""""","=""8.40""","=""0.09""","=""""","=""1190000""","=""""","=""""","=""""","=""""","=""""",,"=""(980410000)""","=""(981600000)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
