element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mg,12,"=""""","=""""","=""0.6380854471""","=""0.0000000024""","=""""","=""15671882.26""","=""6g""","=""8.7279e+02""","=""1.0655e-03""","=""4.4765e-05""","=""-2.67141""",AA,"=""0.00""","=""(15671882.2619)""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Mg,12,"=""""","=""""","=""0.6380879295""","=""0.0000000024""","=""""","=""15671821.29""","=""3g""","=""8.7016e+02""","=""5.3115e-04""","=""2.2315e-05""","=""-2.97375""",AA,"=""0.00""","=""(15671821.293)""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Mg,12,"=""""","=""""","=""0.6395989033""","=""0.0000000025""","=""""","=""15634798.54""","=""7g""","=""1.1992e+03""","=""1.4709e-03""","=""6.1944e-05""","=""-2.53138""",AA,"=""0.00""","=""(15634798.5416)""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Mg,12,"=""""","=""""","=""0.6396023248""","=""0.0000000025""","=""""","=""15634714.90""","=""3g""","=""1.1957e+03""","=""7.3332e-04""","=""3.0882e-05""","=""-2.83368""",AA,"=""0.00""","=""(15634714.903)""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Mg,12,"=""""","=""""","=""0.6417269142""","=""0.0000000025""","=""""","=""15582952.47""","=""4g""","=""1.7112e+03""","=""2.1130e-03""","=""8.9279e-05""","=""-2.37408""",AA,"=""0.00""","=""(15582952.467)""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Mg,12,"=""""","=""""","=""0.6417318188""","=""0.0000000025""","=""""","=""15582833.37""","=""8g""","=""1.7064e+03""","=""1.0535e-03""","=""4.4515e-05""","=""-2.67632""",AA,"=""0.00""","=""(15582833.369)""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Mg,12,"=""""","=""""","=""0.644856451""","=""0.000000003""","=""""","=""15507327.22""","=""5g""","=""2.5628e+03""","=""3.1954e-03""","=""1.3567e-04""","=""-2.19445""",AA,"=""0.00""","=""(15507327.222)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Mg,12,"=""""","=""""","=""0.644863845""","=""0.000000003""","=""""","=""15507149.43""","=""10g""","=""2.5560e+03""","=""1.5935e-03""","=""6.7658e-05""","=""-2.49662""",AA,"=""0.00""","=""(15507149.426)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Mg,12,"=""0.65035""","=""""","=""0.649738702""","=""0.000000003""","=""0.00061""","=""15376300""","=""20g*""","=""4.0900e+03""","=""5.1772e-03""","=""2.2148e-04""","=""-1.98488""",AA,"=""0.00""","=""(15390802.451)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L2560c7""",
Mg,12,"=""0.65035""","=""""","=""0.649750622""","=""0.000000003""","=""0.00060""","=""15376300""","=""10g*""","=""4.0802e+03""","=""2.5825e-03""","=""1.1048e-04""","=""-2.28693""",AA,"=""0.00""","=""(15390520.088)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L2560c7""",
