element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mn,25,"=""""","=""""","=""0.148758692""","=""0.000000005""","=""""","=""67222962.7""","=""""","=""7.5965e+04""","=""2.5202e-03""","=""2.4685e-05""","=""-2.29753""",AA,"=""0.0""","=""(67222962.7)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Mn,25,"=""""","=""""","=""0.150630392""","=""0.000000005""","=""""","=""66387665.1""","=""""","=""1.3382e+05""","=""9.1044e-03""","=""9.0296e-05""","=""-1.73972""",AA,"=""0.0""","=""(66387665.1)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Mn,25,"=""""","=""""","=""0.150651576""","=""0.000000006""","=""""","=""66378330""","=""""","=""1.3259e+05""","=""4.5113e-03""","=""4.4749e-05""","=""-2.04467""",AA,"=""0.0""","=""(66378329.8)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Mn,25,"=""""","=""""","=""0.154226415""","=""0.000000007""","=""""","=""64839736""","=""""","=""2.6546e+05""","=""1.8933e-02""","=""1.9225e-04""","=""-1.42176""",AA,"=""0.0""","=""(64839735.8)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Mn,25,"=""""","=""""","=""0.154269831""","=""0.000000008""","=""""","=""64821488""","=""""","=""2.6367e+05""","=""9.4078e-03""","=""9.5560e-05""","=""-1.72548""",AA,"=""0.0""","=""(64821488)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Mn,24,"=""""","=""""","=""0.15841158""","=""0.00000015""","=""""","=""63126700""","=""""","=""2.18e+05""","=""2.46e-02""","=""1.28e-04""","=""-1.609""",C+,"=""0""","=""63126700""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5297interp""","=""""",
Mn,24,"=""""","=""""","=""0.15844750""","=""0.00000015""","=""""","=""63112390""","=""""","=""2.2e+04""","=""2.5e-03""","=""1.3e-05""","=""-2.60""",E,"=""0""","=""63112387""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""T5297interp""","=""""",
Mn,24,"=""""","=""""","=""0.16207142""","=""0.00000016""","=""""","=""61701190""","=""""","=""4.32e+05""","=""5.10e-02""","=""2.72e-04""","=""-1.292""",C+,"=""0""","=""61701194""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5297interp""","=""""",
Mn,24,"=""""","=""""","=""0.16214549""","=""0.00000016""","=""""","=""61673010""","=""""","=""4.3e+04""","=""5.1e-03""","=""2.7e-05""","=""-2.29""",E,"=""0""","=""61673009""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",1,3,,"=""T5297interp""","=""""",
Mn,25,"=""""","=""""","=""0.162612906""","=""0.000000012""","=""""","=""61495734""","=""""","=""6.5075e+05""","=""5.1596e-02""","=""5.5243e-04""","=""-0.98636""",AA,"=""0.0""","=""(61495734)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
