element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mo,42,"=""""","=""""","=""0.052522740""","=""""","=""""","=""190393720""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""""","=""1s""","=""2S""","=""1/2""","=""""","=""""","=""""",2,1,,"=""""","=""L11926""",
Mo,42,"=""""","=""""","=""0.053763430""","=""""","=""""","=""186000040""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""""","=""1s""","=""2S""","=""1/2""","=""""","=""""","=""""",2,1,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.05416518""","=""0.00000006""","=""""","=""184620450""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""184620450""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.05418843""","=""0.00000006""","=""""","=""184541250""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""184541250""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.05542150""","=""0.00000007""","=""""","=""180435390""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""180435390""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.05546922""","=""0.00000007""","=""""","=""180280160""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""180280160""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",1,3,,"=""""","=""L11926""",
Mo,42,"=""""","=""""","=""0.05665406""","=""0.00000003""","=""""","=""176509870""","=""""","=""5.1419e+06""","=""4.9485e-02""","=""1.8459e-04""","=""-1.00450""",AA,"=""0""","=""176509870""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Mo,42,"=""""","=""""","=""0.05676955""","=""0.00000007""","=""""","=""176150760""","=""""","=""5.1112e+06""","=""2.4695e-02""","=""9.2307e-05""","=""-1.30636""",AA,"=""0""","=""176150760""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Mo,41,"=""""","=""""","=""0.05834423""","=""0.00000008""","=""""","=""171396540""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""171396540""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.05847037""","=""0.00000008""","=""""","=""171026790""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""171026790""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",1,3,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.066506""","=""0.000018""","=""""","=""150360000""","=""""","=""""","=""""","=""""","=""""",,"=""(144427509)""","=""(294790000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""1S""","=""0""",3,1,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.066661""","=""0.000018""","=""""","=""150010000""","=""""","=""""","=""""","=""""","=""""",,"=""(144427509)""","=""(294440000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""2""",3,5,,"=""""","=""L11926""",
Mo,42,"=""""","=""""","=""0.066885696""","=""0.000000020""","=""""","=""149508800""","=""""","=""1.9016e+07""","=""2.5508e-01""","=""1.1234e-03""","=""-0.29229""",AA,"=""0""","=""149508797.1""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Mo,41,"=""""","=""""","=""0.066939""","=""0.000018""","=""""","=""149390000""","=""""","=""""","=""""","=""""","=""""",,"=""(143970529)""","=""(293360000)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""1P*""","=""1""",3,3,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.067067""","=""0.000018""","=""""","=""149110000""","=""""","=""""","=""""","=""""","=""""",,"=""(145684468)""","=""(294790000)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""1S""","=""0""",3,1,,"=""""","=""L7187""",
Mo,41,"=""""","=""""","=""0.067125""","=""0.000018""","=""""","=""148980000""","=""""","=""""","=""""","=""""","=""""",,"=""(145464509)""","=""(294440000)""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""2""",5,5,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.067123""","=""0.000018""","=""""","=""148980000""","=""""","=""""","=""""","=""""","=""""",,"=""(143970529)""","=""(292950000)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""2""",3,5,,"=""""","=""L7187""",
Mo,41,"=""""","=""""","=""0.067140""","=""0.000018""","=""""","=""148940000""","=""""","=""""","=""""","=""""","=""""",,"=""(144427509)""","=""(293370000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""1D""","=""2""",3,5,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.067150""","=""0.000018""","=""""","=""148920000""","=""""","=""""","=""""","=""""","=""""",,"=""(144440364)""","=""(293360000)""","=""1s.2s""","=""1S""","=""0""","=""2s.2p""","=""1P*""","=""1""",1,3,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.067180""","=""0.000018""","=""""","=""148850000""","=""""","=""""","=""""","=""""","=""""",,"=""(144416379)""","=""(293270000)""","=""1s.2p""","=""3P*""","=""0""","=""2p2""","=""3P""","=""1""",1,3,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.067185""","=""0.000018""","=""""","=""148840000""","=""""","=""""","=""""","=""""","=""""",,"=""(144427509)""","=""(293270000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""1""",3,3,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.067224""","=""0.000018""","=""""","=""148760000""","=""""","=""""","=""""","=""""","=""""",,"=""(145684468)""","=""(294440000)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""3P""","=""2""",3,5,,"=""""","=""L11926""",
Mo,42,"=""""","=""""","=""0.067431378""","=""0.000000020""","=""""","=""148298910""","=""""","=""1.9668e+07""","=""1.3407e-01""","=""5.9527e-04""","=""-0.57162""",AA,"=""0""","=""148298913""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Mo,41,"=""""","=""""","=""0.067572""","=""0.000018""","=""""","=""147990000""","=""""","=""""","=""""","=""""","=""""",,"=""(143970529)""","=""(291960000)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""1""",3,3,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.067576""","=""0.000018""","=""""","=""147980000""","=""""","=""""","=""""","=""""","=""""",,"=""(144427509)""","=""(292410000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""0""",3,1,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.067611""","=""0.000018""","=""""","=""147910000""","=""""","=""""","=""""","=""""","=""""",,"=""(145464509)""","=""(293370000)""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""1D""","=""2""",5,5,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.067627""","=""0.000018""","=""""","=""147870000""","=""""","=""""","=""""","=""""","=""""",,"=""(143970529)""","=""(291840000)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""0""",3,1,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.067656""","=""0.000018""","=""""","=""147810000""","=""""","=""""","=""""","=""""","=""""",,"=""(145464509)""","=""(293270000)""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""1""",5,3,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.067711""","=""0.000018""","=""""","=""147690000""","=""""","=""""","=""""","=""""","=""""",,"=""(145684468)""","=""(293370000)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""1D""","=""2""",3,5,,"=""""","=""L7187""",
Mo,41,"=""""","=""""","=""0.067757""","=""0.000018""","=""""","=""147590000""","=""""","=""""","=""""","=""""","=""""",,"=""(145684468)""","=""(293270000)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""3P""","=""1""",3,3,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.067788""","=""0.000018""","=""""","=""147520000""","=""""","=""""","=""""","=""""","=""""",,"=""(144440364)""","=""(291960000)""","=""1s.2s""","=""1S""","=""0""","=""2s.2p""","=""3P*""","=""1""",1,3,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.067869""","=""0.000018""","=""""","=""147340000""","=""""","=""""","=""""","=""""","=""""",,"=""(144427509)""","=""(291770000)""","=""1s.2p""","=""3P*""","=""1""","=""2s2""","=""1S""","=""0""",3,1,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.068154""","=""0.000019""","=""""","=""146730000""","=""""","=""""","=""""","=""""","=""""",,"=""(145684468)""","=""(292410000)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""3P""","=""0""",3,1,,"=""""","=""L11926""",
Mo,40,"=""0.068341""","=""0.000014""","=""0.0683459""","=""0.0000003""","=""-0.000005""","=""146330000""","=""""","=""""","=""""","=""""","=""""",,"=""[694510]""","=""(147009150)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""L22456,L4281c164""",
Mo,40,"=""0.068420""","=""0.000013""","=""0.0684281""","=""0.0000003""","=""-0.000008""","=""146160000""","=""""","=""""","=""""","=""""","=""""",,"=""[694510]""","=""(146833380)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""L22456,L4281c164""",
Mo,41,"=""""","=""""","=""0.068453""","=""0.000019""","=""""","=""146090000""","=""""","=""""","=""""","=""""","=""""",,"=""(145684468)""","=""(291770000)""","=""1s.2p""","=""1P*""","=""1""","=""2s2""","=""1S""","=""0""",3,1,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.06864150""","=""0.00000004""","=""""","=""145684470""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""145684468""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""""","=""L11926""",
Mo,41,"=""""","=""""","=""0.06874529""","=""0.00000005""","=""""","=""145464510""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""145464509""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",1,5,,"=""""","=""L11926""",
Mo,40,"=""""","=""""","=""0.0687731""","=""0.0000004""","=""""","=""145405700""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""145405710""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Mo,40,"=""0.068824""","=""0.000010""","=""0.0688227""","=""0.0000004""","=""0.000001""","=""145299000""","=""g*""","=""""","=""""","=""""","=""""",,"=""0""","=""145300810""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""L22456,L4281c164""",
Mo,40,"=""0.068824""","=""0.000010""","=""0.0688235""","=""0.0000003""","=""0.000001""","=""145299000""","=""*""","=""""","=""""","=""""","=""""",,"=""[1709860]""","=""(147009150)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""L22456,L4281c164""",
Mo,40,"=""0.068873""","=""0.000031""","=""0.0689068""","=""0.0000003""","=""-0.000034""","=""145190000""","=""""","=""""","=""""","=""""","=""""",,"=""[1709860]""","=""(146833380)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""L22456,L4281c164""",
Mo,40,"=""0.068915""","=""0.000011""","=""0.0689225""","=""0.0000004""","=""-0.000007""","=""145106000""","=""g""","=""""","=""""","=""""","=""""",,"=""0""","=""145090520""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""L22456,L4281c164""",
Mo,40,"=""0.068943""","=""0.000016""","=""0.0689344""","=""0.0000003""","=""0.000009""","=""145050000""","=""*""","=""""","=""""","=""""","=""""",,"=""[694510]""","=""(145760060)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""L22456,L4281c164""",
Mo,40,"=""0.068943""","=""0.000016""","=""0.0689707""","=""0.0000003""","=""-0.000028""","=""145050000""","=""*""","=""""","=""""","=""""","=""""",,"=""[694510]""","=""(145683680)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""L22456,L4281c164""",
Mo,40,"=""0.069037""","=""0.000011""","=""0.0690234""","=""0.0000003""","=""0.000014""","=""144850000""","=""*""","=""""","=""""","=""""","=""""",,"=""[1709860]""","=""(146588300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""L22456,L4281c164""",
Mo,40,"=""0.069037""","=""0.000011""","=""0.0690347""","=""0.0000003""","=""0.000002""","=""144850000""","=""*""","=""""","=""""","=""""","=""""",,"=""[694510]""","=""(145549220)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""L22456,L4281c164""",
Mo,40,"=""0.069075""","=""0.000011""","=""0.0690844""","=""0.0000003""","=""-0.000009""","=""144771000""","=""""","=""""","=""""","=""""","=""""",,"=""[694510]""","=""(145445090)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""L22456,L4281c164""",
Mo,40,"=""0.069128""","=""0.000016""","=""0.0691104""","=""0.0000004""","=""0.000018""","=""144660000""","=""g""","=""""","=""""","=""""","=""""",,"=""0""","=""144696100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""L22456,L4281c164""",
Mo,41,"=""""","=""""","=""0.06923889""","=""0.00000004""","=""""","=""144427510""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""144427509""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",1,3,,"=""""","=""L11926""",
Mo,40,"=""0.069299""","=""0.000016""","=""0.0693126""","=""0.0000004""","=""-0.000014""","=""144300000""","=""g""","=""""","=""""","=""""","=""""",,"=""0""","=""144273950""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""L22456,L4281c164""",
Mo,40,"=""""","=""""","=""0.0694202""","=""0.0000003""","=""""","=""144050200""","=""""","=""""","=""""","=""""","=""""",,"=""[1709860]""","=""(145760060)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Mo,40,"=""""","=""""","=""0.0694571""","=""0.0000003""","=""""","=""143973800""","=""""","=""""","=""""","=""""","=""""",,"=""[1709860]""","=""(145683680)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
