element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
N,7,"=""""","=""""","=""1.9117875293""","=""0.0000000022""","=""""","=""5230706.785""","=""""","=""4.7392e+02""","=""5.1936e-03""","=""6.5376e-04""","=""-1.98350""",AA,"=""0.000""","=""(5230706.7846)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
N,7,"=""""","=""""","=""1.9117994445""","=""0.0000000022""","=""""","=""5230674.184""","=""""","=""4.7353e+02""","=""2.5947e-03""","=""3.2662e-04""","=""-2.28488""",AA,"=""0.000""","=""(5230674.1843)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
N,7,"=""""","=""""","=""1.9361181681""","=""0.0000000023""","=""""","=""5164974.000""","=""""","=""8.2580e+02""","=""9.2816e-03""","=""1.1832e-03""","=""-1.73135""",AA,"=""0.000""","=""(5164974.0004)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
N,7,"=""""","=""""","=""1.9361392863""","=""0.0000000023""","=""""","=""5164917.664""","=""""","=""8.2520e+02""","=""4.6376e-03""","=""5.9120e-04""","=""-2.03268""",AA,"=""0.000""","=""(5164917.6642)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
N,7,"=""""","=""""","=""1.9825676053""","=""0.0000000024""","=""""","=""5043964.187""","=""""","=""1.6380e+03""","=""1.9305e-02""","=""2.5200e-03""","=""-1.41330""",AA,"=""0.000""","=""(5043964.1872)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
N,7,"=""""","=""""","=""1.9826108575""","=""0.0000000025""","=""""","=""5043854.149""","=""""","=""1.6372e+03""","=""9.6482e-03""","=""1.2595e-03""","=""-1.71453""",AA,"=""0.000""","=""(5043854.1492)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
N,7,"=""""","=""""","=""2.090945682""","=""0.000000003""","=""""","=""4782525.002""","=""""","=""4.0176e+03""","=""5.2668e-02""","=""7.2509e-03""","=""-0.97743""",AA,"=""0.000""","=""(4782525.0020)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
N,7,"=""""","=""""","=""2.091059731""","=""0.000000003""","=""""","=""4782264.157""","=""""","=""4.0171e+03""","=""2.6333e-02""","=""3.6256e-03""","=""-1.27846""",AA,"=""0.000""","=""(4782264.157)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
N,6,"=""""","=""""","=""2.3024314""","=""0.0000013""","=""""","=""4343235""","=""""","=""6.290e+02""","=""1.500e-02""","=""1.137e-03""","=""-1.824""",AA,"=""0.00""","=""(4343234.7)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
N,6,"=""""","=""""","=""2.3282137""","=""0.0000014""","=""""","=""4295138""","=""""","=""1.091e+03""","=""2.659e-02""","=""2.037e-03""","=""-1.575""",AA,"=""0.00""","=""(4295138.3)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
N,6,"=""""","=""""","=""2.3771641""","=""0.0000014""","=""""","=""4206693""","=""""","=""2.145e+03""","=""5.451e-02""","=""4.266e-03""","=""-1.263""",AA,"=""0.00""","=""(4206693.2)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
N,6,"=""""","=""""","=""2.382778""","=""0.000003""","=""""","=""4196782""","=""""","=""4.59e-07""","=""1.17e-11""","=""6.91e-08""","=""-10.931""",C,"=""0.00""","=""(4196781.7)""","=""1s2""","=""1S""","=""0""","=""1s.4s""","=""3S""","=""1""",1,3,M1,"=""T4905""","=""""",
N,7,"=""""","=""""","=""2.477920351""","=""0.000000005""","=""""","=""4035642.225""","=""""","=""1.5044e+04""","=""2.7697e-01""","=""4.5188e-02""","=""-0.25654""",AA,"=""0.000""","=""(4035642.2253)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
N,7,"=""""","=""""","=""2.478460996""","=""0.000000005""","=""""","=""4034761.900""","=""""","=""1.5057e+04""","=""1.3867e-01""","=""2.2628e-02""","=""-0.55700""",AA,"=""0.000""","=""(4034761.9005)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
N,6,"=""""","=""""","=""2.4900454""","=""0.0000019""","=""""","=""4015991""","=""""","=""5.158e+03""","=""1.438e-01""","=""1.179e-02""","=""-0.842""",AA,"=""0.00""","=""(4015991.0)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
N,6,"=""""","=""""","=""2.4914477""","=""0.0000013""","=""""","=""4013730.6""","=""""","=""5.777e-01""","=""1.790e-05""","=""2.476e-03""","=""-4.747""",AA,"=""0.00""","=""(4013730.6)""","=""1s2""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",1,5,E2,"=""T3908""","=""""",
N,6,"=""""","=""""","=""2.505112""","=""0.000003""","=""""","=""3991837""","=""""","=""8.36e-07""","=""2.36e-11""","=""1.46e-07""","=""-10.627""",C,"=""0.00""","=""(3991836.7)""","=""1s2""","=""1S""","=""0""","=""1s.3s""","=""3S""","=""1""",1,3,M1,"=""T4905""","=""""",
N,6,"=""""","=""""","=""2.8786962""","=""0.0000006""","=""""","=""3473794.8""","=""""","=""1.809e+04""","=""6.742e-01""","=""6.390e-02""","=""-0.171""",AA,"=""0.00""","=""(3473794.8085)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
N,5,"=""""","=""""","=""2.90565""","=""0.00007""","=""""","=""3441570""","=""""","=""""","=""""","=""""","=""""",,"=""80463.8""","=""(3522030)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
N,5,"=""""","=""""","=""2.90587""","=""0.00007""","=""""","=""3441310""","=""""","=""""","=""""","=""""","=""""",,"=""80723.0""","=""(3522030)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2S""","=""1/2""",4,2,,"=""""","=""""",
N,6,"=""""","=""""","=""2.9081856""","=""0.0000006""","=""""","=""3438570.1""","=""""","=""1.03e-03""","=""6.53e-08""","=""7.19e-01""","=""-7.185""",A,"=""0.00""","=""(3438570.098)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",1,5,M2,"=""T1494""","=""""",
N,6,"=""""","=""""","=""2.9084317""","=""0.0000006""","=""""","=""3438279.1""","=""""","=""""","=""""","=""""","=""""",,"=""0.00""","=""(3438279.098)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",1,3,,"=""""","=""""",
N,5,"=""2.9147""","=""0.0006""","=""2.91500""","=""0.00004""","=""-0.0003""","=""3430800""","=""*""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(3430535)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L22456,L18552c220""",
N,5,"=""2.9147""","=""0.0006""","=""2.91501""","=""0.00004""","=""-0.0003""","=""3430800""","=""*""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(3430524)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L22456,L18552c220""",
N,5,"=""2.9427""","=""0.0005""","=""2.943005""","=""0.000011""","=""-0.0003""","=""3398300""","=""*""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(3397887)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L22456,L18552c220,L4172""",
N,5,"=""2.9427""","=""0.0005""","=""2.943180""","=""0.000012""","=""-0.0005""","=""3398300""","=""*""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(3397685)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L22456,L18552c220,L4172""",
N,5,"=""2.9460""","=""0.0020""","=""2.946359""","=""0.000015""","=""-0.0004""","=""3394400""","=""*""","=""""","=""""","=""""","=""""",,"=""80463.8""","=""(3474483)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""3/2""",2,4,,"=""""","=""L22456,L4172""",
N,5,"=""2.9460""","=""0.0020""","=""2.946584""","=""0.000015""","=""-0.0006""","=""3394400""","=""*""","=""""","=""""","=""""","=""""",,"=""80723.0""","=""(3474483)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""3/2""",4,4,,"=""""","=""L22456,L4172""",
