element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Na,11,"=""""","=""""","=""0.7676597052""","=""0.0000000024""","=""""","=""13026605.32""","=""""","=""1.8098e+03""","=""3.1978e-03""","=""1.6163e-04""","=""-2.19412""",AA,"=""0.00""","=""(13026605.321)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3620""",
Na,11,"=""""","=""""","=""0.7676670981""","=""0.0000000024""","=""""","=""13026479.87""","=""""","=""1.8058e+03""","=""1.5954e-03""","=""8.0639e-05""","=""-2.49611""",AA,"=""0.00""","=""(13026479.870)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3620""",
Na,11,"=""""","=""""","=""0.7734728605""","=""0.0000000024""","=""""","=""12928701.85""","=""""","=""2.8884e+03""","=""5.1812e-03""","=""2.6386e-04""","=""-1.98454""",AA,"=""0.00""","=""(12928701.847)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3620""",
Na,11,"=""""","=""""","=""0.7734847799""","=""0.0000000024""","=""""","=""12928502.62""","=""""","=""2.8825e+03""","=""2.5854e-03""","=""1.3167e-04""","=""-2.28645""",AA,"=""0.00""","=""(12928502.616)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3620""",
Na,11,"=""""","=""""","=""0.7833107487""","=""0.0000000025""","=""""","=""12766325.52""","=""""","=""5.0328e+03""","=""9.2591e-03""","=""4.7754e-04""","=""-1.73240""",AA,"=""0.00""","=""(12766325.518)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3620""",
Na,11,"=""""","=""""","=""0.783331875""","=""0.000000003""","=""""","=""12765981.21""","=""""","=""5.0241e+03""","=""4.6218e-03""","=""2.3837e-04""","=""-2.03416""",AA,"=""0.00""","=""(12765981.210)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3620""",
Na,11,"=""""","=""""","=""0.802092185""","=""0.000000003""","=""""","=""12467394.88""","=""""","=""9.9832e+03""","=""1.9258e-02""","=""1.0170e-03""","=""-1.41436""",AA,"=""0.00""","=""(12467394.885)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3620""",
Na,11,"=""""","=""""","=""0.802135458""","=""0.000000003""","=""""","=""12466722.29""","=""""","=""9.9705e+03""","=""9.6177e-03""","=""5.0795e-04""","=""-1.71590""",AA,"=""0.00""","=""(12466722.295)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3620""",
Na,11,"=""0.84588""","=""0.00007""","=""0.845911479""","=""0.000000004""","=""-0.00003""","=""11822000""","=""bl*""","=""2.4484e+04""","=""5.2532e-02""","=""2.9259e-03""","=""-0.97854""",AA,"=""0.00""","=""(11821567.91)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L6845""",
Na,11,"=""0.84588""","=""0.00007""","=""0.846025592""","=""0.000000005""","=""-0.00015""","=""11822000""","=""bl*""","=""2.4476e+04""","=""2.6265e-02""","=""1.4630e-03""","=""-1.27960""",AA,"=""0.00""","=""(11819973.41)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L6845""",
