element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Nb,41,"=""""","=""""","=""0.05952624""","=""0.00000003""","=""""","=""167993150""","=""""","=""4.6722e+06""","=""4.9640e-02""","=""1.9456e-04""","=""-1.00314""",AA,"=""0""","=""167993150""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Nb,41,"=""""","=""""","=""0.05964167""","=""0.00000004""","=""""","=""167668000""","=""""","=""4.6459e+06""","=""2.4776e-02""","=""9.7294e-05""","=""-1.30494""",AA,"=""0""","=""167668000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Nb,41,"=""""","=""""","=""0.070289997""","=""0.000000021""","=""""","=""142267750""","=""""","=""1.7290e+07""","=""2.5614e-01""","=""1.1854e-03""","=""-0.29050""",AA,"=""0""","=""142267753.6""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Nb,41,"=""""","=""""","=""0.070835442""","=""0.000000021""","=""""","=""141172270""","=""""","=""1.7853e+07""","=""1.3430e-01""","=""6.2637e-04""","=""-0.57089""",AA,"=""0""","=""141172268""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Nb,39,"=""""","=""""","=""0.0718921""","=""0.0000003""","=""""","=""139097400""","=""""","=""""","=""""","=""""","=""""",,"=""[673896]""","=""(139771280)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Nb,39,"=""""","=""""","=""0.0719825""","=""0.0000003""","=""""","=""138922600""","=""""","=""""","=""""","=""""","=""""",,"=""[673896]""","=""(139596480)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Nb,39,"=""""","=""""","=""0.0723161""","=""0.0000004""","=""""","=""138281800""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""138281750""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Nb,39,"=""""","=""""","=""0.0723675""","=""0.0000004""","=""""","=""138183600""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""138183610""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Nb,39,"=""""","=""""","=""0.0723684""","=""0.0000003""","=""""","=""138181900""","=""""","=""""","=""""","=""""","=""""",,"=""[1589393]""","=""(139771280)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Nb,39,"=""""","=""""","=""0.0724600""","=""0.0000003""","=""""","=""138007100""","=""""","=""""","=""""","=""""","=""""",,"=""[1589393]""","=""(139596480)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
