element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Nd,60,"=""""","=""""","=""0.02696214""","=""0.00000007""","=""""","=""370890500""","=""""","=""2.1132e+07""","=""4.6061e-02""","=""8.1770e-05""","=""-1.03563""",AA,"=""0""","=""370890500""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Nd,60,"=""""","=""""","=""0.02707915""","=""0.00000008""","=""""","=""369287800""","=""""","=""2.0806e+07""","=""2.2872e-02""","=""4.0780e-05""","=""-1.33966""",AA,"=""0""","=""369287800""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Nd,60,"=""""","=""""","=""0.03169203""","=""0.00000004""","=""""","=""315536700""","=""""","=""7.7024e+07""","=""2.3196e-01""","=""4.8403e-04""","=""-0.33356""",AA,"=""0""","=""315536730""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Nd,58,"=""""","=""""","=""0.03189135""","=""0.00000016""","=""""","=""313564600""","=""""","=""""","=""""","=""""","=""""",,"=""[1123280]""","=""(314687900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Nd,58,"=""""","=""""","=""0.03191223""","=""0.00000016""","=""""","=""313359500""","=""""","=""""","=""""","=""""","=""""",,"=""[1123280]""","=""(314482800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Nd,60,"=""""","=""""","=""0.03224299""","=""0.00000004""","=""""","=""310144900""","=""""","=""8.2704e+07""","=""1.2890e-01""","=""2.7365e-04""","=""-0.58872""",AA,"=""0""","=""310144930""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Nd,58,"=""""","=""""","=""0.03235916""","=""0.00000019""","=""""","=""309031500""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""309031500""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Nd,58,"=""""","=""""","=""0.03238277""","=""0.00000017""","=""""","=""308806200""","=""""","=""""","=""""","=""""","=""""",,"=""[5881680]""","=""(314687900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Nd,58,"=""""","=""""","=""0.03238843""","=""0.00000019""","=""""","=""308752200""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""308752200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Nd,58,"=""""","=""""","=""0.03240429""","=""0.00000017""","=""""","=""308601100""","=""""","=""""","=""""","=""""","=""""",,"=""[5881680]""","=""(314482800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Nd,58,"=""""","=""""","=""0.03242340""","=""0.00000016""","=""""","=""308419200""","=""""","=""""","=""""","=""""","=""""",,"=""[1123280]""","=""(309542500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Nd,58,"=""""","=""""","=""0.03242396""","=""0.00000019""","=""""","=""308413900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""308413900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Nd,58,"=""""","=""""","=""0.03244205""","=""0.00000016""","=""""","=""308241900""","=""""","=""""","=""""","=""""","=""""",,"=""[1123280]""","=""(309365200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
