element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ne,10,"=""""","=""""","=""0.936157861""","=""0.000000003""","=""""","=""10681959.12""","=""""","=""1.9731e+03""","=""5.1849e-03""","=""3.1959e-04""","=""-1.98423""",AA,"=""0.00""","=""(10681959.1156)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""0.936169779""","=""0.000000003""","=""""","=""10681823.13""","=""""","=""1.9698e+03""","=""2.5882e-03""","=""1.5953e-04""","=""-2.28598""",AA,"=""0.00""","=""(10681823.127)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""0.948067037""","=""0.000000003""","=""""","=""10547777.33""","=""""","=""3.4381e+03""","=""9.2659e-03""","=""5.7841e-04""","=""-1.73208""",AA,"=""0.00""","=""(10547777.331)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""0.948088161""","=""0.000000003""","=""""","=""10547542.32""","=""""","=""3.4331e+03""","=""4.6264e-03""","=""2.8880e-04""","=""-2.03373""",AA,"=""0.00""","=""(10547542.316)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""0.970802754""","=""0.000000003""","=""""","=""10300753.64""","=""""","=""6.8198e+03""","=""1.9272e-02""","=""1.2318e-03""","=""-1.41405""",AA,"=""0.00""","=""(10300753.643)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""0.970846021""","=""0.000000003""","=""""","=""10300294.57""","=""""","=""6.8127e+03""","=""9.6267e-03""","=""6.1536e-04""","=""-1.71549""",AA,"=""0.00""","=""(10300294.573)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""1.023848727""","=""0.000000004""","=""""","=""9767067.86""","=""""","=""1.6726e+04""","=""5.2572e-02""","=""3.5440e-03""","=""-0.97822""",AA,"=""0.00""","=""(9767067.862)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ne,10,"=""""","=""""","=""1.023962821""","=""0.000000004""","=""""","=""9765979.58""","=""""","=""1.6722e+04""","=""2.6286e-02""","=""1.7722e-03""","=""-1.27925""",AA,"=""0.00""","=""(9765979.58)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ne,9,"=""""","=""""","=""1.0640263""","=""0.0000008""","=""""","=""9398264""","=""""","=""3.01e+03""","=""1.532e-02""","=""5.37e-04""","=""-1.815""",AA,"=""0.0""","=""(9398263.8)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.0642433""","=""0.0000008""","=""""","=""9396348""","=""""","=""2.067e+00""","=""1.053e-05""","=""3.69e-07""","=""-4.977""",AA,"=""0.0""","=""(9396347.5)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""3P*""","=""1""",1,3,,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.0764398""","=""0.0000008""","=""""","=""9289883""","=""""","=""5.20e+03""","=""2.71e-02""","=""9.60e-04""","=""-1.567""",AA,"=""0.0""","=""(9289882.9)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T7543""","=""""",
Ne,9,"=""""","=""""","=""1.0768263""","=""0.0000008""","=""""","=""9286549""","=""""","=""3.52e+00""","=""1.837e-05""","=""6.51e-07""","=""-4.736""",AA,"=""0.0""","=""(9286549.2)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""T7543""","=""""",
