element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ni,28,"=""""","=""""","=""0.118336451""","=""0.000000005""","=""""","=""84504816""","=""""","=""1.1907e+05""","=""2.4997e-03""","=""1.9477e-05""","=""-2.30108""",AA,"=""0""","=""84504816.0""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ni,28,"=""""","=""""","=""0.119820744""","=""0.000000005""","=""""","=""83458003""","=""""","=""2.1037e+05""","=""9.0559e-03""","=""7.1444e-05""","=""-1.74204""",AA,"=""0""","=""83458003.1""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ni,28,"=""""","=""""","=""0.119841947""","=""0.000000006""","=""""","=""83443237""","=""""","=""2.0791e+05""","=""4.4766e-03""","=""3.5324e-05""","=""-2.04802""",AA,"=""0""","=""83443237""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ni,28,"=""""","=""""","=""0.122677184""","=""0.000000006""","=""""","=""81514750""","=""""","=""4.1731e+05""","=""1.8831e-02""","=""1.5211e-04""","=""-1.42409""",AA,"=""0""","=""81514750""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ni,28,"=""""","=""""","=""0.122720644""","=""0.000000010""","=""""","=""81485883""","=""""","=""4.1375e+05""","=""9.3417e-03""","=""7.5483e-05""","=""-1.72854""",AA,"=""0""","=""81485883""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ni,27,"=""""","=""""","=""0.12534907""","=""0.00000011""","=""""","=""79777220""","=""""","=""3.35e+05""","=""2.37e-02""","=""9.77e-05""","=""-1.626""",B,"=""0.0""","=""(79777215)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T3221""","=""""",
Ni,27,"=""""","=""""","=""0.12537964""","=""0.00000011""","=""""","=""79757770""","=""""","=""5.2e+04""","=""3.7e-03""","=""1.5e-05""","=""-2.43""",E,"=""0.0""","=""(79757768)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""T5298interp""","=""""",
Ni,27,"=""""","=""""","=""0.12825228""","=""0.00000012""","=""""","=""77971330""","=""""","=""6.38e+05""","=""4.72e-02""","=""1.99e-04""","=""-1.326""",B,"=""0.0""","=""(77971326)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T3221""","=""""",
Ni,27,"=""""","=""""","=""0.12831519""","=""0.00000012""","=""""","=""77933090""","=""""","=""1.0e+05""","=""7.4e-03""","=""3.1e-05""","=""-2.13""",E,"=""0.0""","=""(77933093)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",1,3,,"=""T5298interp""","=""""",
Ni,28,"=""""","=""""","=""0.129337956""","=""0.000000016""","=""""","=""77316824""","=""""","=""1.0228e+06""","=""5.1301e-02""","=""4.3688e-04""","=""-0.98884""",AA,"=""0""","=""77316824""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ni,28,"=""""","=""""","=""0.129452637""","=""0.000000017""","=""""","=""77248330""","=""""","=""1.0205e+06""","=""2.5638e-02""","=""2.1853e-04""","=""-1.29008""",AA,"=""0""","=""77248330""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ni,26,"=""0.1303""","=""0.0002""","=""0.130301+""","=""""","="" 0.00000""","=""76750000""","=""""","=""""","=""""","=""""","=""""",,"=""[604597]""","=""77350000""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.4p""","=""2D""","=""5/2""",4,6,,"=""""","=""L6483""",
Ni,27,"=""""","=""""","=""0.13500551""","=""0.00000013""","=""""","=""74071050""","=""""","=""1.63e+06""","=""1.34e-01""","=""5.94e-04""","=""-0.874""",B,"=""0.0""","=""(74071052)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T3221""","=""""",
Ni,27,"=""""","=""""","=""0.13517311""","=""0.00000013""","=""""","=""73979210""","=""""","=""2.4e+05""","=""2.0e-02""","=""8.8e-05""","=""-1.71""",E,"=""0.0""","=""(73979212)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",1,3,,"=""T5298interp""","=""""",
