element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
No,102,"=""""","=""0.0081411""","=""0.0000004""","=""""","=""1228330000""","=""""","=""1.6353e+08""","=""3.2499e-02""","=""1.7420e-05""","=""-1.18710""",AA,"=""0""","=""1228330000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
No,102,"=""""","=""0.0082652""","=""0.0000006""","=""""","=""1209890000""","=""""","=""1.4714e+08""","=""1.5070e-02""","=""8.2011e-06""","=""-1.52086""",AA,"=""0""","=""1209890000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
No,102,"=""""","=""0.0093848""","=""0.0000008""","=""""","=""1065560000""","=""""","=""5.5418e+08""","=""1.4635e-01""","=""9.0430e-05""","=""-0.53359""",AA,"=""0""","=""1065558300""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
No,102,"=""""","=""0.0099605""","=""0.0000009""","=""""","=""1003970000""","=""""","=""7.0483e+08""","=""1.0483e-01""","=""6.8752e-05""","=""-0.67847""",AA,"=""0""","=""1003966000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
No,102,"=""""","=""0.044576""","=""0.000013""","=""""","=""224340000""","=""""","=""7.2445e+07""","=""4.3161e-01""","=""1.2667e-03""","=""-0.06388""",AA,"=""(1003966000)""","=""(1228304300)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
No,102,"=""""","=""0.044829""","=""0.000012""","=""""","=""223070000""","=""""","=""1.4896e+07""","=""8.9756e-02""","=""2.6493e-04""","=""-0.74591""",AA,"=""(1005260000)""","=""(1228330000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
No,102,"=""""","=""0.048449""","=""0.000017""","=""""","=""206400000""","=""""","=""3.5407e+06""","=""1.2460e-02""","=""3.9747e-05""","=""-1.60346""",AA,"=""(1003966000)""","=""(1210370000)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
No,102,"=""""","=""0.048869""","=""0.000022""","=""""","=""204630000""","=""""","=""3.8550e+07""","=""1.3802e-01""","=""4.4410e-04""","=""-0.55902""",AA,"=""(1005260000)""","=""(1209890000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
No,102,"=""""","=""0.059853""","=""0.000023""","=""""","=""167070000""","=""""","=""6.8141e+07""","=""5.4896e-01""","=""4.3268e-03""","=""0.34160""",AA,"=""(1065558300)""","=""(1232633000)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
No,102,"=""""","=""0.061445""","=""0.000024""","=""""","=""162750000""","=""""","=""1.1184e+07""","=""6.3302e-02""","=""5.1221e-04""","=""-0.59652""",AA,"=""(1065558300)""","=""(1228304300)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
No,102,"=""""","=""0.06906""","=""0.00003""","=""""","=""144810000""","=""""","=""1.5181e+07""","=""5.4267e-02""","=""4.9348e-04""","=""-0.66341""",AA,"=""(1065558300)""","=""(1210370000)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
No,102,"=""""","=""0.16584""","=""0.00004""","=""""","=""60298000""","=""""","=""2.9048e+06""","=""2.3955e-01""","=""2.6158e-03""","=""-0.31957""",AA,"=""(1005260000)""","=""(1065558300)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
No,102,"=""""","=""7.73""","=""0.08""","=""""","=""1294000""","=""""","=""""","=""""","=""""","=""""",,"=""(1003966000)""","=""(1005260000)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
