element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
O,8,"=""""","=""""","=""1.4634278582""","=""0.0000000021""","=""""","=""6833271.585""","=""""","=""8.0840e+02""","=""5.1911e-03""","=""5.0019e-04""","=""-1.98371""",AA,"=""0.000""","=""(6833271.5850)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""1.4634397743""","=""0.0000000022""","=""""","=""6833215.945""","=""""","=""8.0753e+02""","=""2.5928e-03""","=""2.4983e-04""","=""-2.28520""",AA,"=""0.000""","=""(6833215.9446)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""1.4820501188""","=""0.0000000022""","=""""","=""6747410.140""","=""""","=""1.4086e+03""","=""9.2771e-03""","=""9.0527e-04""","=""-1.73156""",AA,"=""0.000""","=""(6747410.1402)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""1.4820712386""","=""0.0000000022""","=""""","=""6747313.988""","=""""","=""1.4073e+03""","=""4.6344e-03""","=""4.5224e-04""","=""-2.03298""",AA,"=""0.000""","=""(6747313.9882)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""1.5176017358""","=""0.0000000023""","=""""","=""6589344.071""","=""""","=""2.7941e+03""","=""1.9295e-02""","=""1.9280e-03""","=""-1.41352""",AA,"=""0.000""","=""(6589344.0711)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""1.5176449925""","=""0.0000000025""","=""""","=""6589156.258""","=""""","=""2.7922e+03""","=""9.6417e-03""","=""9.6345e-04""","=""-1.71482""",AA,"=""0.000""","=""(6589156.258)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""1.600551532""","=""0.000000003""","=""""","=""6247846.321""","=""""","=""6.8532e+03""","=""5.2641e-02""","=""5.5475e-03""","=""-0.97765""",AA,"=""0.000""","=""(6247846.321)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
O,8,"=""""","=""""","=""1.600665594""","=""0.000000003""","=""""","=""6247401.103""","=""""","=""6.8520e+03""","=""2.6319e-02""","=""2.7738e-03""","=""-1.27869""",AA,"=""0.000""","=""(6247401.103)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
O,7,"=""""","=""""","=""1.7805310""","=""0.0000023""","=""""","=""5616302""","=""""","=""1.84e-06""","=""2.62e-11""","=""1.16e-07""","=""-10.581""",C,"=""0.0""","=""(5616302.2)""","=""1s2""","=""1S""","=""0""","=""1s.4s""","=""3S""","=""1""",1,3,M1,"=""T4905""","=""""",
O,7,"=""""","=""""","=""1.8628151""","=""0.0000014""","=""""","=""5368219""","=""""","=""9.365e+03""","=""1.461e-01""","=""8.962e-03""","=""-0.835""",AA,"=""0.0""","=""(5368219.4)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
O,7,"=""""","=""""","=""1.8637378""","=""0.0000015""","=""""","=""5365562""","=""""","=""1.451e+00""","=""2.514e-05""","=""1.457e-03""","=""-4.600""",AA,"=""0.0""","=""(5365561.6)""","=""1s2""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",1,5,E2,"=""T3908""","=""""",
O,7,"=""""","=""""","=""1.8727765""","=""0.0000025""","=""""","=""5339666""","=""""","=""3.57e-06""","=""5.63e-11""","=""2.61e-07""","=""-10.249""",C,"=""0.0""","=""(5339665.5)""","=""1s2""","=""1S""","=""0""","=""1s.3s""","=""3S""","=""1""",1,3,M1,"=""T4905""","=""""",
