element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Os,76,"=""""","=""""","=""0.01617540""","=""0.00000008""","=""""","=""618223000""","=""""","=""5.3435e+07""","=""4.1920e-02""","=""4.4646e-05""","=""-1.07654""",AA,"=""0""","=""618222900""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Os,76,"=""""","=""""","=""0.01629442""","=""0.00000016""","=""""","=""613707000""","=""""","=""5.1706e+07""","=""2.0582e-02""","=""2.2081e-05""","=""-1.38549""",AA,"=""0""","=""613707000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Os,74,"=""""","=""""","=""0.01876331""","=""0.00000012""","=""""","=""532955000""","=""""","=""""","=""""","=""""","=""""",,"=""[1630880]""","=""(534585800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Os,74,"=""""","=""""","=""0.01877209""","=""0.00000012""","=""""","=""532706000""","=""""","=""""","=""""","=""""","=""""",,"=""[1630880]""","=""(534336600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Os,76,"=""""","=""""","=""0.01890623""","=""0.00000006""","=""""","=""528926200""","=""""","=""1.9098e+08""","=""2.0468e-01""","=""2.5480e-04""","=""-0.38789""",AA,"=""0""","=""528926230""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Os,74,"=""""","=""""","=""0.01924543""","=""0.00000013""","=""""","=""519604000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""519603900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Os,74,"=""""","=""""","=""0.01925795""","=""0.00000012""","=""""","=""519266000""","=""""","=""""","=""""","=""""","=""""",,"=""[15319640]""","=""(534585800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Os,74,"=""""","=""""","=""0.01926641""","=""0.00000013""","=""""","=""519038000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""519038000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Os,74,"=""""","=""""","=""0.01926719""","=""0.00000012""","=""""","=""519017000""","=""""","=""""","=""""","=""""","=""""",,"=""[15319640]""","=""(534336600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Os,74,"=""""","=""""","=""0.01928231""","=""0.00000012""","=""""","=""518610000""","=""""","=""""","=""""","=""""","=""""",,"=""[1630880]""","=""(520240900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Os,74,"=""""","=""""","=""0.01928358""","=""0.00000013""","=""""","=""518576000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""518575800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Os,74,"=""""","=""""","=""0.01928757""","=""0.00000012""","=""""","=""518469000""","=""""","=""""","=""""","=""""","=""""",,"=""[15319640]""","=""(533788300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Os,74,"=""""","=""""","=""0.01929523""","=""0.00000012""","=""""","=""518263000""","=""""","=""""","=""""","=""""","=""""",,"=""[1630880]""","=""(519893600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Os,74,"=""""","=""""","=""0.01930596""","=""0.00000012""","=""""","=""517975000""","=""""","=""""","=""""","=""""","=""""",,"=""[1630880]""","=""(519605600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
