element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
P,15,"=""""","=""""","=""0.4153930146""","=""0.0000000020""","=""""","=""24073587.30""","=""""","=""9.9795e+03""","=""5.1632e-03""","=""1.4122e-04""","=""-1.98605""",AA,"=""0.00""","=""(24073587.30)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
P,15,"=""""","=""""","=""0.4154049398""","=""0.0000000021""","=""""","=""24072896.21""","=""""","=""9.9417e+03""","=""2.5720e-03""","=""7.0346e-05""","=""-2.28871""",AA,"=""0.00""","=""(24072896.21)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
P,15,"=""""","=""""","=""0.4206718042""","=""0.0000000021""","=""""","=""23771500.49""","=""""","=""1.7390e+04""","=""9.2272e-03""","=""2.5558e-04""","=""-1.73390""",AA,"=""0.00""","=""(23771500.49)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
P,15,"=""""","=""""","=""0.4206929435""","=""0.0000000024""","=""""","=""23770306.00""","=""""","=""1.7333e+04""","=""4.5989e-03""","=""1.2739e-04""","=""-2.03631""",AA,"=""0.00""","=""(23770306.00)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
P,15,"=""""","=""""","=""0.430749491""","=""0.000000003""","=""""","=""23215349.52""","=""""","=""3.4495e+04""","=""1.9191e-02""","=""5.4429e-04""","=""-1.41587""",AA,"=""0.00""","=""(23215349.52)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
P,15,"=""""","=""""","=""0.430792794""","=""0.000000004""","=""""","=""23213015.93""","=""""","=""3.4413e+04""","=""9.5746e-03""","=""2.7158e-04""","=""-1.71785""",AA,"=""0.00""","=""(23213015.93)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
P,15,"=""""","=""""","=""0.454259968""","=""0.000000005""","=""""","=""22013826.25""","=""""","=""8.4592e+04""","=""5.2339e-02""","=""1.5654e-03""","=""-0.98014""",AA,"=""0.00""","=""(22013826.25)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
P,15,"=""""","=""""","=""0.454374170""","=""0.000000009""","=""""","=""22008293.3""","=""""","=""8.4540e+04""","=""2.6167e-02""","=""7.8283e-04""","=""-1.28122""",AA,"=""0.00""","=""(22008293.3)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
P,15,"=""""","=""""","=""0.538134176""","=""0.000000005""","=""""","=""18582726.09""","=""""","=""3.1636e+05""","=""2.7469e-01""","=""9.7329e-03""","=""-0.26012""",AA,"=""0.00""","=""(18582726.091)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
P,15,"=""""","=""""","=""0.538675393""","=""0.000000005""","=""""","=""18564055.70""","=""""","=""3.1768e+05""","=""1.3820e-01""","=""4.9016e-03""","=""-0.55846""",AA,"=""0.00""","=""(18564055.697)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
P,13,"=""""","=""""","=""0.578436""","=""0.000005""","=""""","=""17287990""","=""""","=""""","=""""","=""""","=""""",,"=""[208188.6]""","=""(17496180)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
P,13,"=""0.57885""","=""0.00014""","=""0.578812""","=""0.000005""","=""0.00004""","=""17276000""","=""""","=""""","=""""","=""""","=""""",,"=""[219413.3]""","=""(17496180)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2S""","=""1/2""",4,2,,"=""""","=""L22456,L2560c164""",
P,13,"=""0.57933""","=""0.00018""","=""0.579323""","=""0.000004""","=""0.00001""","=""17261000""","=""g*""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(17261520)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L22456,L2560c164""",
P,13,"=""0.57933""","=""0.00018""","=""0.579400""","=""0.000004""","=""-0.00007""","=""17261000""","=""g*""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(17259240)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L22456,L2560c164""",
P,13,"=""0.58182""","=""0.00014""","=""0.581713""","=""0.000004""","=""0.00011""","=""17187000""","=""g*""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(17190620)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L22456,L2560c164""",
P,13,"=""0.58182""","=""0.00014""","=""0.581916""","=""0.000004""","=""-0.00010""","=""17187000""","=""g*""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(17184610)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L22456,L2560c164""",
P,13,"=""0.58242""","=""0.00014""","=""0.582059""","=""0.000004""","=""0.00036""","=""17170000""","=""*""","=""""","=""""","=""""","=""""",,"=""[208188.6]""","=""(17388570)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""3/2""",2,4,,"=""""","=""L22456,L2560c164""",
P,13,"=""0.58242""","=""0.00014""","=""0.582425""","=""0.000004""","=""-0.00001""","=""17170000""","=""*""","=""""","=""""","=""""","=""""",,"=""[208188.6]""","=""(17377770)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""1/2""",2,2,,"=""""","=""L22456,L2560c164""",
P,13,"=""0.58242""","=""0.00014""","=""0.582440""","=""0.000004""","=""-0.00002""","=""17170000""","=""*""","=""""","=""""","=""""","=""""",,"=""[219413.3]""","=""(17388570)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""3/2""",4,4,,"=""""","=""L22456,L2560c164""",
P,13,"=""""","=""""","=""0.582806""","=""0.000004""","=""""","=""17158360""","=""""","=""""","=""""","=""""","=""""",,"=""[219413.3]""","=""(17377770)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""1/2""",4,2,,"=""""","=""""",
P,13,"=""0.58328""","=""0.00014""","=""0.583317""","=""0.000005""","=""-0.00004""","=""17144000""","=""""","=""""","=""""","=""""","=""""",,"=""[208188.6]""","=""(17351530)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2D""","=""3/2""",2,4,,"=""""","=""L22456,L2560c164""",
P,13,"=""0.58376""","=""0.00018""","=""0.583699""","=""0.000005""","=""0.00006""","=""17130000""","=""*""","=""""","=""""","=""""","=""""",,"=""[219413.3]""","=""(17351530)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""3/2""",4,4,,"=""""","=""L22456,L2560c164""",
P,13,"=""0.58376""","=""0.00018""","=""0.583736""","=""0.000004""","=""0.00002""","=""17130000""","=""*""","=""""","=""""","=""""","=""""",,"=""[219413.3]""","=""(17350440)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""5/2""",4,6,,"=""""","=""L22456,L2560c164""",
P,13,"=""""","=""""","=""0.586625""","=""0.000004""","=""""","=""17046650""","=""""","=""""","=""""","=""""","=""""",,"=""[208188.6]""","=""(17254840)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""5/2""",2,6,,"=""""","=""""",
P,13,"=""0.58697""","=""0.00033""","=""0.587119""","=""0.000004""","=""-0.00015""","=""17037000""","=""g""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(17032330)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""5/2""",2,6,,"=""""","=""L22456,L5716""",
P,13,"=""0.58699""","=""0.00022""","=""0.586820""","=""0.000004""","=""0.00017""","=""17036000""","=""*""","=""""","=""""","=""""","=""""",,"=""[208188.6]""","=""(17249200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""3/2""",2,4,,"=""""","=""L22456,L2560c164""",
P,13,"=""0.58699""","=""0.00022""","=""0.586992""","=""0.000004""","="" 0.00000""","=""17036000""","=""*""","=""""","=""""","=""""","=""""",,"=""[208188.6]""","=""(17244210)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""1/2""",2,2,,"=""""","=""L22456,L2560c164""",
P,13,"=""0.58699""","=""0.00022""","=""0.587012""","=""0.000004""","=""-0.00002""","=""17036000""","=""*""","=""""","=""""","=""""","=""""",,"=""[219413.3]""","=""(17254840)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""5/2""",4,6,,"=""""","=""L22456,L2560c164""",
P,13,"=""0.58699""","=""0.00022""","=""0.587206""","=""0.000004""","=""-0.00022""","=""17036000""","=""*""","=""""","=""""","=""""","=""""",,"=""[219413.3]""","=""(17249200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""3/2""",4,4,,"=""""","=""L22456,L2560c164""",
P,13,"=""0.58699""","=""0.00022""","=""0.587378""","=""0.000004""","=""-0.00039""","=""17036000""","=""g*""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(17024810)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""3/2""",2,4,,"=""""","=""L22456,L2560c164""",
P,13,"=""0.58699""","=""0.00022""","=""0.587379""","=""0.000004""","=""-0.00039""","=""17036000""","=""*""","=""""","=""""","=""""","=""""",,"=""[219413.3]""","=""(17244210)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""1/2""",4,2,,"=""""","=""L22456,L2560c164""",
