element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Pa,91,"=""""","=""""","=""0.0107345""","=""0.0000003""","=""""","=""931575000""","=""""","=""1.0698e+08""","=""3.6961e-02""","=""2.6124e-05""","=""-1.13123""",AA,"=""0""","=""931575000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Pa,91,"=""""","=""""","=""0.0108560""","=""0.0000004""","=""""","=""921150000""","=""""","=""1.0033e+08""","=""1.7727e-02""","=""1.2671e-05""","=""-1.45032""",AA,"=""0""","=""921150000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Pa,89,"=""""","=""""","=""0.0121760""","=""0.0000004""","=""""","=""821290000""","=""""","=""""","=""""","=""""","=""""",,"=""[2231000]""","=""(823520000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0121805""","=""0.0000004""","=""""","=""820990000""","=""""","=""""","=""""","=""""","=""""",,"=""[2231000]""","=""(823218000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Pa,91,"=""""","=""""","=""0.0124574""","=""0.0000005""","=""""","=""802730000""","=""""","=""3.7236e+08""","=""1.7327e-01""","=""1.4212e-04""","=""-0.46026""",AA,"=""0""","=""802732600""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Pa,89,"=""""","=""""","=""0.0126615""","=""0.0000004""","=""""","=""789798000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""789798000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0126689""","=""0.0000004""","=""""","=""789340000""","=""""","=""""","=""""","=""""","=""""",,"=""[34184000]""","=""(823520000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0126737""","=""0.0000004""","=""""","=""789030000""","=""""","=""""","=""""","=""""","=""""",,"=""[34184000]""","=""(823218000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0126783""","=""0.0000004""","=""""","=""788749000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""788749000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0126854""","=""0.0000004""","=""""","=""788310000""","=""""","=""""","=""""","=""""","=""""",,"=""[34184000]""","=""(822494000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0126862""","=""0.0000004""","=""""","=""788260000""","=""""","=""""","=""""","=""""","=""""",,"=""[2231000]""","=""(790492000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0126879""","=""0.0000004""","=""""","=""788151000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""788151000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0126973""","=""0.0000004""","=""""","=""787570000""","=""""","=""""","=""""","=""""","=""""",,"=""[2231000]""","=""(789800000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
