element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Pb,82,"=""""","=""""","=""0.01364653""","=""0.00000012""","=""""","=""732787000""","=""""","=""7.1769e+07""","=""4.0074e-02""","=""3.6008e-05""","=""-1.09610""",AA,"=""0""","=""732787000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Pb,82,"=""""","=""""","=""0.01376644""","=""0.00000021""","=""""","=""726404000""","=""""","=""6.8746e+07""","=""1.9532e-02""","=""1.7704e-05""","=""-1.40822""",AA,"=""0""","=""726404000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Pb,80,"=""""","=""""","=""0.01569797""","=""0.00000011""","=""""","=""637025000""","=""""","=""""","=""""","=""""","=""""",,"=""1860300""","=""(638885500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01570461""","=""0.00000011""","=""""","=""636756000""","=""""","=""""","=""""","=""""","=""""",,"=""1860300""","=""(638616100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Pb,82,"=""""","=""""","=""0.01590875""","=""0.00000008""","=""""","=""628585000""","=""""","=""2.5409e+08""","=""1.9282e-01""","=""2.0197e-04""","=""-0.41382""",AA,"=""0""","=""628584830""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Pb,80,"=""""","=""""","=""0.01618231""","=""0.00000013""","=""""","=""617959000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""617958900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01619238""","=""0.00000012""","=""""","=""617574000""","=""""","=""""","=""""","=""""","=""""",,"=""[21311100]""","=""(638885500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01619945""","=""0.00000012""","=""""","=""617305000""","=""""","=""""","=""""","=""""","=""""",,"=""[21311100]""","=""(638616100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01620135""","=""0.00000013""","=""""","=""617233000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""617232700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01621336""","=""0.00000012""","=""""","=""616775000""","=""""","=""""","=""""","=""""","=""""",,"=""1860300""","=""(618635700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01621485""","=""0.00000013""","=""""","=""616719000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""616718800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01621558""","=""0.00000012""","=""""","=""616691000""","=""""","=""""","=""""","=""""","=""""",,"=""[21311100]""","=""(638001800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01622532""","=""0.00000012""","=""""","=""616321000""","=""""","=""""","=""""","=""""","=""""",,"=""1860300""","=""(618180900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01623305""","=""0.00000012""","=""""","=""616027000""","=""""","=""""","=""""","=""""","=""""",,"=""1860300""","=""(617887500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01623460""","=""0.00000012""","=""""","=""615968000""","=""""","=""""","=""""","=""""","=""""",,"=""1860300""","=""(617828500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01623630""","=""0.00000013""","=""""","=""615904000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""615904000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Pb,82,"=""""","=""""","=""0.01646956""","=""0.00000008""","=""""","=""607181000""","=""""","=""2.9278e+08""","=""1.1906e-01""","=""1.2911e-04""","=""-0.62320""",AA,"=""0""","=""607180900""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Pb,80,"=""""","=""""","=""0.01672761""","=""0.00000013""","=""""","=""597814000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""597814100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01674132""","=""0.00000012""","=""""","=""597325000""","=""""","=""""","=""""","=""""","=""""",,"=""[21311100]""","=""(618635700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01675407""","=""0.00000012""","=""""","=""596870000""","=""""","=""""","=""""","=""""","=""""",,"=""[21311100]""","=""(618180900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01676231""","=""0.00000012""","=""""","=""596576000""","=""""","=""""","=""""","=""""","=""""",,"=""[21311100]""","=""(617887500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01676397""","=""0.00000012""","=""""","=""596517000""","=""""","=""""","=""""","=""""","=""""",,"=""[21311100]""","=""(617828500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01676469""","=""0.00000012""","=""""","=""596492000""","=""""","=""""","=""""","=""""","=""""",,"=""1860300""","=""(598352000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01677241""","=""0.00000013""","=""""","=""596217000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""596217200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Pb,80,"=""""","=""""","=""0.01677464""","=""0.00000013""","=""""","=""596138000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""596138000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""""",
