element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Pd,46,"=""""","=""""","=""0.04697539""","=""0.00000003""","=""""","=""212877410""","=""""","=""7.3804e+06""","=""4.8832e-02""","=""1.5104e-04""","=""-1.01026""",AA,"=""0""","=""212877410""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Pd,46,"=""""","=""""","=""0.04709118""","=""0.00000007""","=""""","=""212354000""","=""""","=""7.3250e+06""","=""2.4352e-02""","=""7.5507e-05""","=""-1.31243""",AA,"=""0""","=""212354000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Pd,46,"=""""","=""""","=""0.05541380""","=""0.00000003""","=""""","=""180460480""","=""""","=""2.7222e+07""","=""2.5064e-01""","=""9.1448e-04""","=""-0.29992""",AA,"=""0""","=""180460479""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Pd,46,"=""""","=""""","=""0.05596048""","=""0.00000003""","=""""","=""178697550""","=""""","=""2.8352e+07""","=""1.3311e-01""","=""4.9045e-04""","=""-0.57476""",AA,"=""0""","=""178697551""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Pd,44,"=""""","=""""","=""0.0564196""","=""0.0000003""","=""""","=""177243300""","=""""","=""""","=""""","=""""","=""""",,"=""[779860]""","=""(178023130)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Pd,44,"=""""","=""""","=""0.0564771""","=""0.0000003""","=""""","=""177063000""","=""""","=""""","=""""","=""""","=""""",,"=""[779860]""","=""(177842870)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Pd,44,"=""""","=""""","=""0.0568588""","=""0.0000003""","=""""","=""175874300""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""175874340""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Pd,44,"=""""","=""""","=""0.0569017""","=""0.0000003""","=""""","=""175741700""","=""""","=""""","=""""","=""""","=""""",,"=""[2281470]""","=""(178023130)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Pd,44,"=""""","=""""","=""0.0569023""","=""0.0000003""","=""""","=""175739900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""175739860""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Pd,44,"=""""","=""""","=""0.0569601""","=""0.0000003""","=""""","=""175561400""","=""""","=""""","=""""","=""""","=""""",,"=""[2281470]""","=""(177842870)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Pd,44,"=""""","=""""","=""0.0569796""","=""0.0000003""","=""""","=""175501500""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""175501470""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Pd,44,"=""""","=""""","=""0.0569848""","=""0.0000003""","=""""","=""175485400""","=""""","=""""","=""""","=""""","=""""",,"=""[779860]""","=""(176265280)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Pd,44,"=""""","=""""","=""0.0570161""","=""0.0000003""","=""""","=""175389200""","=""""","=""""","=""""","=""""","=""""",,"=""[779860]""","=""(176169020)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Pd,44,"=""""","=""""","=""0.0570502""","=""0.0000003""","=""""","=""175284200""","=""""","=""""","=""""","=""""","=""""",,"=""[2281470]""","=""(177565720)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Pd,44,"=""""","=""""","=""0.0570618""","=""0.0000003""","=""""","=""175248500""","=""""","=""""","=""""","=""""","=""""",,"=""[779860]""","=""(176028400)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
